,minimum,maximum
12DGR180tex,3.4521818693452015,3.452181869345194
12DGR180tipp,3.452181869345201,3.452181869345206
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-1000.0000000000001,0.0
26DAP_Mtex,2.0272004304611175,1000.0
26DAPt2rpp,2.02720043046112,1000.0000000000001
2AHBUTI,0.0,0.0
2MBCOATA,6.904363738690402,6.904363738690389
3HAD10M12,6.904363738690403,6.904363738690454
3HAD11M12,6.904363738690403,6.904363738690453
3HAD12M14,6.904363738690403,6.904363738690454
3HAD13M14,6.904363738690403,6.904363738690453
3HAD14M16,6.904363738690403,6.904363738690454
3HAD15M16,6.904363738690403,6.904363738690453
3HAD4M6,6.904363738690403,6.904363738690454
3HAD5M6,6.904363738690397,6.90436373869045
3HAD6M8,6.904363738690403,6.904363738690438
3HAD7M8,6.904363738690403,6.904363738690436
3HAD8M10,6.904363738690403,6.904363738690438
3HAD9M10,6.904363738690403,6.904363738690436
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.904363738690401,6.904363738690437
3OAR11M12,6.904363738690401,6.904363738690435
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.904363738690401,6.904363738690437
3OAR13M14,6.904363738690401,6.904363738690435
3OAR140,16.227005516772792,16.227005516772874
3OAR14M15,0.0,0.0
3OAR14M16,6.904363738690401,6.904363738690437
3OAR15M16,6.904363738690401,6.904363738690435
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.904363738690401,6.904363738690437
3OAR5M6,6.904363738690397,6.904363738690432
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.904363738690401,6.904363738690437
3OAR7M8,6.904363738690401,6.904363738690435
3OAR80,0.0,0.0
3OAR8M10,6.904363738690401,6.904363738690437
3OAR8M9,0.0,0.0
3OAR9M10,6.904363738690401,6.904363738690435
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.904363738690402,6.904363738690438
3OAS11M12,6.904363738690402,6.904363738690436
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.904363738690402,6.904363738690438
3OAS13M14,6.904363738690402,6.904363738690436
3OAS140,16.227005516772792,16.227005516772874
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.904363738690398,6.904363738690297
3OAS4M3O6,6.904363738690402,6.904363738690478
3OAS4M5,0.0,0.0
3OAS4M6,6.904363738690402,6.9043637386904795
3OAS5M6,6.904363738690402,6.904363738690476
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.904363738690402,6.9043637386904795
3OAS7M8,6.904363738690402,6.904363738690478
3OAS80,0.0,0.0
3OAS8M10,6.904363738690402,6.9043637386904795
3OAS8M9,0.0,0.0
3OAS9M10,6.904363738690402,6.904363738690478
4ABUTtex,-2.8726913007406214e-12,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,2.6486684059485433e-11
5DOAN,0.0,0.0
A5PISO,10.140703188847343,10.140703188847333
AACOAT,0.0,0.0
