,minimum,maximum
12PPD_Stex,-54.80845748999153,604.2554416066391
12PPDtpp,-54.80845748995742,604.2554416067208
1HIBUPGLU_Stex,0.0,1.8669705875088868e-11
1HIBUP_S_GLCAASEepp,0.0,-1.5168169657845934e-11
1HIBUP_Stex,-1.5764872105086044e-12,0.0
1HMDGLUC_GLCAASEepp,0.0,4.362692512937222e-12
1HMDGLUCtex,0.0,-1.6853521842051035e-12
1OHMDZtex,-1.6254431807821886e-11,0.0
1P4H2CBXLAH,0.0,0.0
22IDPOR,0.0,0.0
23DAPAL,0.0,0.0
23DHMPO,-28.78959147095992,-28.78959147095996
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLAT,-1000.0000000000005,0.0
26DAP_Mtex,27.63328536790833,27.633285367907916
2AHBUTI,28.789591470959934,28.789591470959945
2DDPENTHL,0.0,0.0
2DHPL,-6.477779926165859e-12,0.0
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HATVACIDGLUC_GLCAASEepp,0.0,1.9632116308217136e-11
2HATVACIDGLUCtex,0.0,-2.0645564256512517e-11
2HATVACIDtex,-4.536572996111126e-11,0.0
2HATVLACGLUC_GLCAASEepp,0.0,-6.434971456582479e-12
2HATVLACGLUCtex,0.0,7.373415805897326e-12
2HATVLACtex,-1.8502665287923617e-11,0.0
2HEDCCL,0.0,0.0
2HIBUPGLU_Stex,0.0,9.13984081460336e-11
2HIBUP_S_GLCAASEepp,0.0,9.058767990102432e-12
2HIBUP_Stex,-3.7904891418796044e-11,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,5.831897707176908,5.831897707176919
2OBUTt2rpp,985.214499852981,995.5239161284313
2OBUTtex,985.2144998529916,995.523916128428
2OH_CBZ_GLC_GLCAASEepp,0.0,-2.808805656388547e-12
2OH_CBZ_GLCtex,0.0,1.2218803335487e-11
2OH_CBZtex,-2.5528542393583033e-11,0.0
2OH_MTZ_GLC_GLCAASEepp,0.0,3.1738588031618027e-11
2OH_MTZ_GLCtex,0.0,8.637429944051156e-12
2OH_MTZtex,-2.3664348233650814e-11,0.0
2OSAHL,0.0,0.0
2S6HCC,0.0,2.7702119274973366e-13
34DHOXPEGOX,0.0,0.0
3CALACL,0.0,0.0
3HAD100,29.21439751908309,29.214397519083036
3HAD10M12,5.831897707176906,5.831897707176911
3HAD11M12,5.831897707176906,5.831897707176911
3HAD120,29.214397519083082,29.214397519083175
3HAD12M14,5.831897707176905,5.831897707176911
3HAD13M14,5.831897707176905,5.8318977071769105
3HAD140,7.957540920397937,7.957540920397944
3HAD14M16,5.831897707176903,5.83189770717691
3HAD15M16,5.831897707176903,5.83189770717691
3HAD160,5.831897707176905,5.8318977071769105
3HAD180,5.831897707176903,5.83189770717691
3HAD40,29.2143975190831,29.2143975190832
3HAD4M6,5.831897707176909,5.831897707176912
3HAD5M6,5.831897707176909,5.831897707176916
3HAD60,29.214397519083096,29.214397519083192
3HAD6M8,5.831897707176908,5.831897707176912
3HAD7M8,5.831897707176908,5.831897707176914
3HAD80,29.214397519083082,29.214397519083185
3HAD8M10,5.831897707176907,5.831897707176912
3HAD9M10,5.831897707176907,5.831897707176913
3HIBUPGLU_Stex,0.0,3.511967472914411e-11
3HIBUP_S_GLCAASEepp,0.0,-2.675496592425602e-11
3HIBUP_Stex,-3.06556345537151e-11,0.0
3HXKYNDCL,0.0,0.0
3MEACMPtex,-6.31480396519351e-11,0.0
3MOBS,-1.2483344753184166e-11,0.0
3OAR100,29.214397519083086,29.21439751908318
3OAR10M11,0.0,0.0
3OAR10M12,5.831897707176906,5.831897707176903
3OAR11M12,5.831897707176906,5.831897707176902
3OAR120,29.21439751908308,29.214397519083178
3OAR12M13,0.0,0.0
3OAR12M14,5.831897707176905,5.8318977071769025
3OAR13M14,5.831897707176905,5.8318977071769
3OAR140,24.963026199346135,24.963026199346128
3OAR14M15,0.0,0.0
3OAR14M16,5.831897707176904,5.831897707176901
3OAR15M16,5.831897707176904,5.831897707176899
3OAR160,5.831897707176905,5.831897707176901
3OAR180,5.831897707176904,5.8318977071769
3OAR40,29.2143975190831,29.214397519083196
3OAR4M5,0.0,0.0
3OAR4M6,5.831897707176909,5.831897707176907
3OAR5M6,5.831897707176909,5.831897707176905
3OAR60,29.214397519083093,29.214397519083192
3OAR6M7,0.0,0.0
3OAR6M8,5.831897707176907,5.831897707176905
3OAR7M8,5.831897707176907,5.831897707176904
3OAR80,29.21439751908309,29.21439751908319
3OAR8M10,5.831897707176906,5.831897707176904
3OAR8M9,0.0,0.0
3OAR9M10,5.831897707176906,5.831897707176903
3OAS100,29.21439751908309,29.214397519083185
3OAS10M11,0.0,0.0
3OAS10M12,5.831897707176905,5.831897707176902
3OAS11M12,5.831897707176905,5.831897707176901
3OAS120,29.21439751908308,29.214397519083178
3OAS12M13,0.0,0.0
3OAS12M14,5.831897707176904,5.831897707176901
3OAS13M14,5.831897707176904,5.831897707176899
3OAS140,24.96302619934614,24.96302619934612
3OAS160,5.831897707176905,5.8318977071769025
3OAS180,5.831897707176904,5.831897707176901
3OAS2M3,0.0,0.0
3OAS3M4,5.831897707176909,5.831897707176906
3OAS4M3O6,5.831897707176909,5.831897707176907
3OAS4M5,0.0,0.0
3OAS4M6,5.831897707176907,5.831897707176916
3OAS5M6,5.831897707176907,5.831897707176915
3OAS60,29.214397519083096,29.21439751908323
3OAS6M7,0.0,0.0
3OAS6M8,5.831897707176907,5.831897707176908
3OAS7M8,5.831897707176907,5.831897707176907
3OAS80,29.21439751908309,29.214397519083185
3OAS8M10,5.831897707176906,5.831897707176907
3OAS8M9,0.0,0.0
3OAS9M10,5.831897707176906,5.831897707176918
3OH_CBZ_GLC_GLCAASEepp,0.0,3.141138609314779e-11
3OH_CBZ_GLCtex,0.0,7.162746782871689e-12
3OH_CBZtex,-2.0085482810215627e-11,0.0
3OH_DLOR_GLC_GLCAASEepp,0.0,1.3524346790105198e-11
3OH_DLOR_GLCtex,0.0,2.7759912839144283e-13
3OH_DLORtex,-2.0224226210461243e-11,-1.2004848217381252e-13
3OH_MDEA_GLC_GLCAASEepp,0.0,1.76689046773956e-11
3OH_MDEA_GLCtex,0.0,1.5168169657845934e-11
3OH_MDEAtex,-5.546117797510728e-12,0.0
3OH_MXN_GLC_GLCAASEepp,0.0,5.2461377468070715e-11
3OH_MXN_GLCtex,0.0,-6.320070690769138e-12
3OH_MXNtex,-1.8558088209999767e-11,0.0
4ABUTtex,-3.16003534538457e-11,0.0
4DH_TPNO_1GLC_GLCAASEepp,0.0,1.0906731282343093e-12
4DH_TPNO_1GLCtex,0.0,2.2962923509794534e-11
4DH_TPNOtex,-1.6839770295413678e-11,0.0
4HBZCL,0.0,0.0
4HMDGLUC_GLCAASEepp,0.0,2.7703097457151482e-11
4HMDGLUCtex,0.0,1.2640141381538276e-11
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
4OHMDZtex,-9.032434362224232e-12,0.0
4OH_DCF_GLC_GLCAASEepp,0.0,6.456784919147053e-11
4OH_DCF_GLCtex,0.0,4.2133804605127586e-12
4OH_DCFtex,-3.747285533641925e-11,0.0
4OH_KP_GLC_GLCAASEepp,0.0,7.329323421734512e-11
4OH_KP_GLCtex,0.0,-5.477394598666587e-12
4OH_KPtex,-2.991500126964058e-11,0.0
4OH_LEVOLE_GLC_GLCAASEepp,0.0,2.563081851350556e-11
4OH_LEVOLE_GLCtex,0.0,1.5589507703897208e-11
4OH_LEVOLEtex,-1.906554658382024e-11,0.0
4OH_METH_GLC_GLCAASEepp,0.0,4.7335213765367025e-11
4OH_METH_GLCtex,0.0,3.181102247687133e-11
4OH_METHtex,-1.439132763543889e-11,0.0
4OH_PROPL_GLC_GLCAASEepp,0.0,2.4103876133978235e-11
4OH_PROPL_GLCtex,0.0,-4.2133804605127587e-13
4OH_PROPLtex,-1.0480783895525493e-11,0.0
4OH_TRZ_GLC_GLCAASEepp,0.0,3.446527085220364e-11
4OH_TRZ_GLCtex,0.0,1.0533451151281896e-12
