,minimum,maximum
12PPD_Stex,-16.96005538464781,0.0
12PPDtpp,-16.960055384656094,0.0
23DHMPO,-23.811619918176525,-23.811619918176508
26DAPLLAT,-884.1262232199368,0.0
26DAP_Mtex,2.1343235928583577,1000.0
26DAPt2rpp,2.134323592866905,1000.0000000000001
2AHBUTI,23.811619918176493,23.811619918176515
2MBCOATA,6.203266921653489,6.203266921653512
3HAD10M12,6.203266921653497,6.203266921653504
3HAD11M12,6.203266921653497,6.203266921653505
3HAD12M14,6.203266921653497,6.203266921653502
3HAD13M14,6.203266921653497,6.203266921653502
3HAD14M16,6.203266921653497,6.203266921653502
3HAD15M16,6.203266921653497,6.203266921653502
3HAD4M6,6.203266921653497,6.2032669216535
3HAD5M6,6.203266921653497,6.203266921653501
3HAD6M8,6.203266921653497,6.203266921653501
3HAD7M8,6.203266921653497,6.203266921653501
3HAD8M10,6.203266921653497,6.203266921653501
3HAD9M10,6.203266921653497,6.203266921653501
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.203266921653497,6.2032669216535
3OAR11M12,6.203266921653497,6.2032669216535
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.203266921653497,6.203266921653502
3OAR13M14,6.203266921653497,6.203266921653502
3OAR140,14.57925022049583,14.579250220495831
3OAR14M15,0.0,0.0
3OAR14M16,6.203266921653497,6.203266921653502
3OAR15M16,6.203266921653497,6.203266921653502
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.203266921653492,6.203266921653499
3OAR5M6,6.203266921653497,6.2032669216535
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.203266921653497,6.2032669216535
3OAR7M8,6.203266921653497,6.2032669216535
3OAR80,0.0,0.0
3OAR8M10,6.203266921653497,6.2032669216535
3OAR8M9,0.0,0.0
3OAR9M10,6.203266921653497,6.2032669216535
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.203266921653497,6.2032669216535
3OAS11M12,6.203266921653497,6.2032669216535
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.203266921653497,6.203266921653501
3OAS13M14,6.203266921653497,6.203266921653501
3OAS140,14.579250220495828,14.57925022049583
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.203266921653497,6.2032669216535
3OAS4M3O6,6.203266921653491,6.203266921653499
3OAS4M5,0.0,0.0
3OAS4M6,6.203266921653497,6.2032669216535
3OAS5M6,6.203266921653497,6.2032669216535
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.203266921653497,6.2032669216535
3OAS7M8,6.203266921653497,6.2032669216535
3OAS80,0.0,0.0
3OAS8M10,6.203266921653497,6.2032669216535
3OAS8M9,0.0,0.0
3OAS9M10,6.203266921653497,6.2032669216535
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,-2.474365956318958e-13,0.0
5DOAN,0.0,0.0
A5PISO,9.110975469205883,9.110975469205899
AACGLYDH,0.0,0.0
AACOAT,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
ACBIPGT,0.22549323843562238,0.2254932384356224
ACGALK3,0.0,15.667374341931499
ACGALt2rpp,0.0,15.667374341931081
ACGALtex,-1000.0,15.667374341931081
ACGAM2E,10.932325828163853,10.932325828163862
ACGAMK,0.0,19.6269052575318
ACGAMT,0.0,0.0
ACGAMtex,-1000.0,30.559231085690783
ACGAMtr2pp,10.932325828163853,30.55923108570201
ACGK,0.0,0.0
ACHBPL,23.81161991817649,23.811619918176525
ACITL,0.22549323843562236,0.22549323843562247
ACKr,-945.2895437264918,-945.2895437264913
ACLS_a,49.91268983576455,49.9126898357646
ACLS_b,-26.10106991758797,-26.10106991758798
ACNAMabcpp,0.0,0.0
ACNAMtex,-1000.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,3.1016334608267484
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.1016334608267497,3.1016334608267515
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.1016334608267484,3.1016334608267497
ACOATA,0.0,0.0
ACODAr,0.0,0.0
ACOTA,0.0,0.0
ACPS1,0.22549323843562238,0.22549323843562227
ACtex,-1000.0,-980.3730947424775
ACtrpp,-1000.0,-980.3730947424677
ADK1,360.77150656390194,360.7715065639121
ADK2,0.2254932384337794,0.2254932384371974
ADNCNT3tcpp,-10.876107265249638,999.9999999999997
ADNtex,-10.876107265250612,1000.0
ADOCBIK,0.22549323843562236,0.2254932384356227
ADOCBLS,0.22549323843562236,0.22549323843562255
ADOCBLabcpp,0.0,0.0
ADOCBLtex,0.0,0.0
ADPRDP,0.0,0.0
ADPT,11.14715064759908,16.919311490930564
ADSL1r,6.540513547299698e-15,5.772160843326513
ADSL2r,0.0,3.3162348700025053e-13
ADSS,0.0,5.772160843333035
AEPPT,0.0,0.0
AGDC,0.0,19.626905257531885
AGDC2,0.0,15.667374341922496
AGMD,0.0,0.0
AGMHE,7.285401435831875,7.285401435831875
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,3.101633460826748
AGPAT181,0.0,0.0
AGPR,0.0,0.0
AHCYSNS_r,0.4509864768712259,0.45098647687139004
AHEXASE3,0.0,0.0
AHMMPS,0.0,0.0
AHSERL2,0.0,6.2216544697572
AHSERL3,-6.2216544697559515,-2.847708784460528e-14
AICART,5.772160843326717,5.772160843326715
AIHPDCOATA,6.203266921653497,6.203266921653501
AIPDCOATA,0.0,0.0
AIRC4,-2.7529124350100604e-12,0.0
AKP1,0.0,0.0
ALAALA,1.821350358957969,1.8213503589579698
ALAASP1c,0.0,0.0
ALACI,-973.8989300824119,1000.0
ALAD_R,-36.401264611813374,-36.40126461181319
ALAGLN1c,0.0,0.0
ALAGLU1c,0.0,0.0
ALAGLY1c,0.0,0.0
ALAHIS1c,0.0,0.0
ALALEU1c,0.0,0.0
ALAR,3.642700717915938,3.6427007179159383
ALATHR1c,0.0,0.0
ALDD2x,21.57227143597354,41.199176693502345
ALKP,0.0,0.0
AMALT1,0.0,0.0
AMALT2,0.0,1.128153493557166e-11
AMALT3,0.0,5.915635318337541e-12
AMALT4,0.0,3.9437568788916945e-12
AMAOTr,0.0,0.0
AMMQLT8,0.22549323843562236,0.2254932384356229
AMMQT7rev,0.4509864768712537,0.45098647687125093
AMPMS2,0.22549323843560515,0.2254932384357677
AMPN,0.0,3.4216941595344433e-13
AMPTASECG,0.0,0.0
AMPTASEGC,0.0,0.0
AOXSr,0.0,0.0
APRAUR,0.0,0.0
ARABASE3epp,0.0,354.4826062039454
ARABTTRtex,0.0,354.482606203946
ARAB_Ltex,-1000.0,63.447818611837874
ARAI,0.0,63.44781861182873
ARBabcpp,0.0,1.073742638351167e-12
ARBt2rpp,-6.5992712247618054e-12,63.44781861182613
ARGDC,0.0,0.0
ARGSL,0.0,3.0780622299400102e-12
ARGSS,0.0,3.495130157450162e-13
ARG_Ltex,17.96518066269683,17.96518066270565
ARGt2pp,17.965180662707652,17.965180662705635
ASAD,-9.53214134826043,-9.532141348260122
ASNS1,0.0,14.624836775399986
ASNS2,0.0,14.62483677539997
ASP1DC,0.4509864768713595,0.45098647687126375
ASPCT,0.0,0.0
ASPKi,9.532141348260435,9.532141348260122
ASPO1,0.0,307.4078755534736
ASPO5,0.0,0.6764797153080471
ASPO6,0.0,0.676479715309734
ASPTA,-350.2032370663969,-39.90928109123935
ATPPRT,5.772160843326716,5.77216084332673
ATPS4pp,1000.0000000000108,1000.0
BAMPPALDOX,0.0,0.0
BGLA,0.0,2.8228976816159177e-12
BPNT,0.2254932384356224,0.22549323843562227
BTS4,0.0,0.0
CA2tex,0.22549323843562238,0.2254932384356225
CBIAT,0.22549323843562236,0.22549323843562247
CBL1abcpp,0.0,0.0
CBL1tex,0.0,0.0
CBL2abcpp,0.0,0.0
CBL2tex,0.0,0.0
CBPS,0.0,0.0
CD2abc1pp,0.0,-1.2831353098254173e-13
CD2t6rpp,-3.6928361128666835e-13,0.0
CD2tex,0.0,0.0
CDOSKT,3.644812555123957,3.644812555123956
CDPMEK,22.289786332893833,22.289786332893826
CELLBabcpp,0.0,-7.912667743923399e-13
CELLBtex,0.0,3.0580892324751975e-13
CHOLSH,0.0,0.0
CHORM,20.266100122815818,20.266100122815818
CHORS,20.49159336125144,20.491593361251436
CHRPL,0.2254932384356177,0.225493238435616
CITCAtpp,0.22549323843562238,0.22549323843562233
CITtex,0.22549323843562238,0.22549323843562233
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.7754083652066871,0.775408365206687
CLPNSAI15,0.0,0.0
CLPNSAI17,0.7754083652066871,0.775408365206687
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.7754083652066871,0.775408365206687
CLtex,0.22549323843562233,0.2254932384356223
CMLDC,0.0,0.0
CO2tex,-821.7357952562817,241.14854253557337
CO2tpp,-821.7357952562862,241.14854253558113
COBALT2tex,0.22549323843562233,0.2254932384356224
COBALTt5pp,-0.22549323843562252,-0.22549323843562233
CORE2tex,-1000.0,1000.0
CORE3tex,-1000.0,1000.0
CORE4tex,0.0,1000.0
CORE5tex,0.0,1000.0
CORE6tex,-1000.0,1000.0
CORE7tex,0.0,1000.0
CORE8tex,0.0,1000.0
CPPPGO2,0.0,0.0
CRO4t3pp,0.0,0.0
CRO4tex,0.0,0.0
CTPS1,0.0,47.84556531897774
CTPS2,0.0,47.845565318979624
CU2tex,0.22549323843562238,0.2254932384356227
CYSDS,0.0,-7.271100089010757e-13
CYSS,0.0,6.221654469762072
CYSS3r,0.0,6.221654469762014
CYSTL,0.0,0.0
CYTBD2pp,77.52266267037074,1000.0
CYTBDpp,77.52266267036745,1000.0
CYTD,204.41246308288098,726.9842865319541
CYTDK1,0.0,6.093581573629598e-12
CYTDK2,0.0,5.339186427072374e-12
CYTDK3,0.0,4.7482373251876125e-12
CYTDK4,0.0,3.5749115421499193e-12
CYTDt2rpp,163.7068008983036,686.2786243473747
CYTDtex,163.70680089830836,686.278624347376
CYTK1,0.0,0.0
CYTK2,0.0,0.0
Cuabcpp,0.22549323843562236,0.22549323843896008
Cut1pp,0.0,1.9789365907096293e-12
DADNt2rpp,-989.3038358292669,27.344432279303913
DAD_2tex,-989.30383582927,27.344432279306695
DAGK120,0.0,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DAPDC,0.3129732339067726,998.1786496410418
DAPE,0.0,884.1262232199385
DAPMDH,0.0,884.1262232199402
DASYN120,0.0,0.0
DASYN140,0.0,1.9587317242640523e-12
DASYN141,0.0,9.293748533742738e-13
DASYN160,0.0,9.293748533742738e-13
DASYN161,0.0,1.6134980093303364e-12
DASYN180,3.1016334608267484,3.1016334608267506
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,3.1016334608267484,3.1016334608267497
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,3.1016334608267484,3.1016334608267506
DB4PS,0.0,0.0
DBTS,0.0,0.0
DCMPDA,4.6138205410153614e-12,0.0
DCYTD,0.0,22.768590803334956
DCYTt2rpp,-3.2078382745635415e-12,22.768590803337396
DCYTtex,-5.132541239301657e-13,22.76859080333385
DDCAtex,-70.79439050471814,-70.79439050471623
DDCAtpp,-70.79439050471805,-70.79439050471717
DDPA,20.491593361251443,20.491593361251443
DGK1,0.0,0.0
DGSNt2pp,0.0,1000.0000000000001
DGSNtex,0.0,1000.0
DHAD1,26.101069917588145,26.1010699175881
DHAD2,23.811619918176493,23.81161991817648
DHFOR2,-0.6764797153066693,-0.6764797153070101
DHFR,0.6764797153069626,3.8181652611148102
DHFS,0.0,1.5679436588376833e-12
DHNAOT4,0.45098647687124477,0.4509864768712446
DHNAOT7,0.45098647687120924,0.4509864768712451
DHNAS,0.0,0.0
DHNPA,0.0,0.0
DHORD2,0.0,0.0
DHORD5,0.0,0.0
DHORTS,0.0,0.0
