,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
2AHBUTI,-1000.0,1000.0
2MBCOATA,1.4884165117222856,1.4884165117213142
2OMMBOX,0.05410501653604104,0.0541050165353595
2OMPHH,0.054105016538705156,0.05410501653535907
3CARLPDH,0.0,0.0
3HAD100,6.298127954196792,6.298127954195519
3HAD10M11,0.0,-9.24234050969498e-13
3HAD10M12,1.4884165117222874,1.4884165117229051
3HAD11M12,1.4884165117222874,1.488416511723598
3HAD120,6.298127954196792,6.298127954198641
3HAD12M13,0.0,-7.48189469832448e-13
3HAD12M14,1.4884165117222874,1.4884165117217347
3HAD13M14,1.4884165117222874,1.4884165117236399
3HAD140,1.9254326811283622,1.9254326811295985
3HAD14M15,0.0,-4.5131428982406513e-13
3HAD14M16,1.4884165117222874,1.4884165117217987
3HAD15M16,1.4884165117222874,1.488416511723254
3HAD160,1.4884165117222992,1.4884165117227073
3HAD180,1.4884165117222985,1.4884165117224448
3HAD40,6.298127954196792,6.298127954198117
3HAD4M5,0.0,0.0
3HAD4M6,1.4884165117222874,1.4884165117222468
3HAD5M6,1.4884165117222874,1.4884165117235826
3HAD60,6.298127954196792,6.2981279541982795
3HAD6M7,0.0,0.0
3HAD6M8,1.4884165117222874,1.4884165117226122
3HAD7M8,1.4884165117222874,1.4884165117233588
3HAD80,6.298127954196792,6.298127954197748
3HAD8M10,1.4884165117222874,1.4884165117226122
3HAD8M9,0.0,0.0
3HAD9M10,1.4884165117222874,1.4884165117236035
3HBCOAHL,0.0,0.0
3OAR100,6.298127954196792,6.298127954198129
3OAR10M11,0.0,7.544767763016293e-14
3OAR10M12,1.4884165117222876,1.4884165117240933
3OAR11M12,1.4884165117222876,1.4884165117236035
3OAR120,6.298127954196792,6.298127954198129
3OAR12M13,0.0,7.544767763016293e-14
3OAR12M14,1.4884165117222876,1.4884165117240933
3OAR13M14,1.4884165117222876,1.4884165117236035
3OAR140,5.423588899583105,5.423588899584222
3OAR14M15,0.0,-1.6804255472172666e-13
3OAR14M16,1.4884165117222876,1.4884165117228514
3OAR15M16,1.4884165117222876,1.4884165117223258
3OAR160,1.4884165117222992,1.4884165117216093
3OAR180,1.4884165117222985,1.4884165117207084
3OAR40,6.298127954196792,6.298127954199141
3OAR4M5,0.0,0.0
3OAR4M6,1.4884165117222876,1.488416511722409
3OAR5M6,1.4884165117222876,1.4884165117236035
3OAR60,6.298127954196792,6.298127954198129
3OAR6M7,0.0,0.0
3OAR6M8,1.4884165117222876,1.488416511722409
3OAR7M8,1.4884165117222876,1.4884165117236035
3OAR80,6.298127954196792,6.298127954198129
3OAR8M10,1.4884165117222876,1.488416511722409
3OAR8M9,0.0,0.0
3OAR9M10,1.4884165117222876,1.4884165117236035
3OAS100,6.298127954196791,6.298127954198129
3OAS10M11,0.0,7.544767763016293e-14
3OAS10M12,1.4884165117222874,1.488416511724093
3OAS11M12,1.4884165117222874,1.4884165117236035
3OAS120,6.298127954196791,6.298127954198129
3OAS12M13,0.0,7.201823773788281e-14
3OAS12M14,1.4884165117222874,1.4884165117228512
3OAS13M14,1.4884165117222874,1.4884165117223256
3OAS140,5.423588899583105,5.4235888995823
3OAS160,1.4884165117222992,1.4884165117220511
3OAS180,1.4884165117222987,1.4884165117207082
3OAS2M3,0.0,0.0
3OAS3M4,1.4884165117222874,1.4884165117244215
3OAS4M3O6,1.4884165117222874,1.4884165117233115
3OAS4M5,0.0,0.0
3OAS4M6,1.4884165117222874,1.4884165117233932
3OAS5M6,1.4884165117222874,1.4884165117236035
3OAS60,6.298127954196791,6.298127954198129
3OAS6M7,0.0,0.0
3OAS6M8,1.4884165117222874,1.4884165117224093
3OAS7M8,1.4884165117222874,1.4884165117236035
3OAS80,6.298127954196791,6.298127954198129
3OAS8M10,1.4884165117222874,1.4884165117224093
3OAS8M9,0.0,6.892983659044541e-13
3OAS9M10,1.4884165117222874,1.4884165117244215
4HTHDR,-994.5755025065656,5.424497493434248
4HTHDS,-994.5755025065657,5.424497493434173
4HTHRS,0.0,0.0
5AIZCDC,0.0,-2.27179897042059e-13
A5PISO,0.0,0.0
AACGLYDH,0.0,0.0
ABUTD,0.0,1000.0000000000001
ABUTR,-1000.0,0.0
ACBIPGT,0.0541050165353595,0.054105016535359395
ACCOACL,57.75205983467911,57.75205983468336
ACCOAL,0.0,0.0
ACGAMtex,0.0,0.0
ACGAptspp,0.0,0.0
ACGK,4.364683921516206,4.364683921516043
ACGS,4.364683921516206,4.364683921516547
ACHBPL,0.0,0.0
ACLS_a,0.0,6.262710266963726
ACLS_b,-6.262710266963855,-6.262710266980396
ACOAAGPAT140,0.0,1.0741953663642315e-12
ACOAAGPAT160,0.0,-4.144447785273174e-13
ACOAAGPAT180,0.0,0.7442082558612303
ACOAAGPATAI15,0.0,-2.5700976410805506e-13
ACOAAGPATAI17,0.7442082558611427,0.744208255861261
ACOAAGPATI14,0.0,-6.172232545910452e-13
ACOAAGPATI15,0.0,3.536287556004814e-13
ACOAAGPATI16,0.0,1.6460168336313934e-13
ACOAAGPATI17,0.7442082558611438,0.7442082558611108
ACOATA,6.2981279541967945,6.298127954195923
ACOCT,0.0,0.0
ACODAr,4.364683921516205,4.364683921516196
ACONTa,-3.198332073087599e-14,461.77956283076736
ACONTb,0.0,461.77956283076685
ACOTA,-4.3646839215149935,-4.364683921516205
ACPS1,0.0541050165353595,0.05410501653535934
ACS,6.113762030743576,6.113762030744412
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.8455266744631
ADK11,-1000.0,1000.0
ADK2,0.05410501653535949,0.05410501653535906
ADK3,-1000.0,994.9415872002326
ADK5,-1000.0,990.6211972289294
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.720065729077
ADK9,-1000.0,999.7200657290772
ADNK1,0.21642006614143794,0.21642006614143441
ADOCBIK,0.05410501653535949,0.05410501653535886
ADOCBLS,0.0541050165353595,0.05410501653535886
ADSL1r,2.530084416057475,2.5300844160585623
ADSL2r,5.284242054155046,5.284242054156222
ADSS,2.530084416057475,2.5300844160567246
AGMHE,1.7480646776242543,1.7480646776242657
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.7442082558616308
AGPAT181,0.0,0.0
AGPR,-4.364683921516187,-4.364683921516205
AHC,0.21642006614143794,0.2164200661414336
AICART,5.284242054154529,5.284242054155256
AIHPDCOATA,1.4884165117222876,1.4884165117222208
AIPDCOATA,0.0,-3.1648309795124113e-12
AIRC4,5.284242054154528,5.2842420541400665
AKGS,0.0,-1.6435305575571025e-11
AKGt2rpp,-474.8369738009898,15.733246071044372
AKGtex,-474.83697380098613,15.73324607104788
ALAALA,0.43701616940606364,0.43701616940606197
ALAASP1c,0.0,-3.819798116588109e-12
ALAASPabcpp,0.0,-1.720582963939234e-11
ALAASPtex,0.0,-1.720582963939234e-11
ALACI,-993.7372897330499,1000.0
ALAGLN1c,0.0,25.569517109625348
ALAGLNabcpp,0.0,25.569517109630993
ALAGLNtex,0.0,25.56951710963099
ALAGLU1c,0.0,5.543823139004081e-12
ALAGLUabcpp,0.0,-1.776006928944578e-11
ALAGLUtex,0.0,-1.776006928944578e-11
ALAGLY1c,0.0,-1.7760069289445763e-11
ALAGLYabcpp,0.0,-1.6820466008455893e-11
ALAGLYtex,0.0,-1.682046600845589e-11
ALAHIS1c,0.0,-9.900747291400602e-12
ALAHISabcpp,0.0,-9.563829265386208e-12
ALAHIStex,0.0,-9.563829265386206e-12
ALALEU1c,0.0,-3.651348795518247e-12
ALALEUabcpp,0.0,-1.5535603404233333e-11
ALALEUtex,0.0,-1.553560340423333e-11
ALAPAT4tepp,-999.9999999999998,1000.0
ALAR,-999.1259676611878,1000.0
ALAS,0.432840132282876,0.43284013228287754
ALATHR1c,3.688017387413474,3.688017387411048
ALATHRabcpp,3.6880173874117146,3.688017387411049
ALATHRtex,3.6880173874117146,3.6880173874110485
ALA_Dtex,-999.1259676611882,999.9999999999999
ALA_Ltex,-1000.0,1000.0
ALCD19,0.0,0.0
ALCD2x,0.0,0.0
ALDD2x,0.0,0.0
AMMQT8r,-0.05410501653535894,-0.0541050165353595
AMPMS3,0.0,0.0
AMPTASECG,0.0,1.4928109608289084
AMPTASEGC,0.0,1.492810960828954
AOBUTDs,0.0,0.0
APRAUR,0.108210033070719,0.10821003307072127
ARABDt2pp,2.1860942786334348,2.1860942786344375
ARAB_Dtex,2.1860942786334348,2.1860942786335444
ARBTptspp,0.0,0.0
ARBTtex,0.0,0.0
ARGDC,0.0,2.0268750077729018e-13
ARGSL,4.3105789049808445,4.31057890498124
ARGSS,4.310578904980845,4.31057890498124
ASAD,-5.424497493433738,-5.424497493434163
ASN_Ltex,28.63928006377054,544.0208042131928
ASNt2rpp,28.639280063775157,544.0208042131925
ASP1DC,0.10821003307071932,0.10821003307072867
ASPCT,4.054040925722924,4.054040925722885
ASPKi,5.424497493434164,5.424497493424847
ASPTA,-0.09056234481443905,1000.0
ASP_Ltex,0.0,-1.3554301386968265e-13
ASPabcpp,0.0,-5.975088531646424e-12
ATPS4pp,999.9999999999972,1000.0
BACCLi,0.0,0.0
BPNT,0.0541050165353595,0.05410501653535918
BTNCLi,57.752059834679116,57.75205983468132
BTNabcpp,0.0,0.0
BTNtex,0.0,0.0
CA2tex,0.0541050165353595,0.05410501653535908
CAt4ipp,0.0541050165353595,0.0541050165353593
CBIAT,0.0541050165353595,0.05410501653535929
CBPS,8.364619830703768,8.364619830703742
CDOSKT,0.8745390546136854,0.8745390546135765
CDPMEK,5.240017995749574,5.24001799575037
CGLYabcpp,1.8374339752004112e-16,1.4928109608289275
CGLYtex,0.0,1.4928109608289468
CHORM,0.0,7.573164961583323e-13
CHORS,0.0541050165353595,0.05410501653532644
CHRPL,0.054105016535359506,0.05410501653535948
CITtex,0.0,0.1082100330707196
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.18605206396528595,0.1860520639649802
CLPNSAI15,0.0,0.0
CLPNSAI17,0.18605206396528595,0.18605206396554602
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.18605206396528595,0.1860520639652265
CLtex,0.054105016535359485,0.05410501653535939
CO2tex,-1000.0,-332.31967798843954
CO2tpp,-1000.0,-332.319677988426
COBALT2tex,0.05410501653535949,0.05410501653535956
COBALTt5pp,-0.05410501653535964,-0.0541050165353595
COCHL,0.0,0.0
CTPS1,1.7494799872694515,1.7494799872798914
CTPS2,0.0,2.239535236950489e-12
CU2tex,0.05410501653535959,0.05410501653535975
CYOmqpp,287.133658789851,1000.0
CYTDK3,0.0,0.0
CYTK1,9.658737041966441,9.766947075036724
CYTK2,0.0,0.0
Cuabcpp,0.0541050165353595,0.054105016537008235
Cut1pp,0.0,2.500776135876327e-12
DALAt2rpp,-999.1259676611877,999.9999999999993
DAPDA,0.0,0.0
DAPDC,4.987481324028101,4.987481324028082
DAPE,5.424497493434164,5.424497493434186
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,0.7442082558611438,0.7442082558614902
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,0.7442082558611443,0.7442082558622242
DASYNI14,0.0,-1.4496625124276573e-13
DASYNI15,0.0,-3.7529382144880705e-13
DASYNI16,0.0,-4.450015800964237e-13
DASYNI17,0.7442082558611438,0.7442082558607764
DB4PS,0.21642006614143802,0.21642006614143797
DCTPD,0.0,-7.74145751628506e-12
DCTPD2,0.0,1.2605760410980418e-12
DDPA,0.054105016535359485,0.0541050165357905
DDPGA,0.0,0.0
DGK1,0.0,0.0
DHAD1,6.262710266962924,6.262710266963704
DHAD2,0.0,0.0
DHDPRy,0.0,1000.0
DHDPS,0.0,1000.0000000000001
DHFOR2,-0.1623150496060813,-0.16231504960607915
DHFR,0.8797722057366759,0.8797722057366858
DHFS,0.0,0.0
DHORD2,0.0,4.054040925722977
DHORD5,0.0,4.054040925722981
DHORDi,0.0,0.0
DHORTS,-4.0540409257229495,-4.054040925722927
DHPPDA,0.10821003307071883,0.10821003307071989
DHPPDA2,0.0,0.0
DHQS,0.05410501653536059,0.05410501653675331
DHQTi,0.05410501653536058,0.054105016535770364
DMATT,0.4911211859414241,0.4911211859414246
DMPPS,0.0,1000.0
DMPPS2r,-999.5088788140587,0.49112118594136556
DMQMT,0.0,2.285512539758537e-12
DMQMT2,0.05410501653704412,0.05410501653535964
DM_atp_c_,0.0,1.101375123616227e-11
DM_clpn180(c),0.0,5.258145615253763e-14
DM_clpnai17(c),0.0,4.840837318285273e-14
DM_clpni17(c),0.0,1.275166098894702e-13
DM_kdo2lipid4L(c),0.0,5.455176004954254e-14
DM_this[c],0.0,0.0
DPCOAK,0.10821003307072853,0.10821003307071836
DPRr,0.10821003307072867,0.10821003307071979
DSERt2rpp,0.0,0.0
DTMPK,0.717457156130598,0.7174571561306055
DUTPDP,0.0,5.506875618081142e-12
DXPRIr,5.240017995749426,5.240017995749593
DXPS,5.240017995749427,5.240017995749633
DXYTST,0.0,0.0
E4PD,0.0,0.0
EAR100x,6.298127954196792,6.298127954198992
EAR10M11x,0.0,1.0067549483774858e-12
EAR10M12x,1.4884165117222876,1.4884165117228436
EAR11M12x,1.4884165117222876,1.488416511722704
EAR120x,6.298127954196792,6.298127954197409
EAR12M13x,0.0,5.941504613375328e-13
EAR12M14x,1.4884165117222876,1.4884165117224035
EAR13M14x,1.4884165117222876,1.4884165117235746
EAR140x,1.9254326811283624,1.9254326811299467
EAR14M15x,0.0,-1.8406784952907464e-14
EAR14M16x,1.4884165117222876,1.488416511722578
EAR15M16x,1.4884165117222876,1.4884165117219268
EAR160x,1.4884165117222992,1.4884165117219041
EAR180x,1.4884165117222878,1.4884165117225139
EAR40x,6.298127954196792,6.298127954197199
EAR4M5x,0.0,0.0
EAR4M6x,1.4884165117222876,1.488416511722446
EAR5M6x,1.4884165117222876,1.4884165117224455
EAR60x,6.298127954196792,6.298127954197708
EAR6M7x,0.0,0.0
EAR6M8x,1.4884165117222876,1.4884165117224162
EAR7M8x,1.4884165117222876,1.4884165117228694
EAR80x,6.298127954196792,6.298127954197116
EAR8M10x,1.4884165117222876,1.4884165117225088
EAR8M9x,0.0,0.0
EAR9M10x,1.4884165117222876,1.4884165117235795
EDA_R,0.0,0.0
EDD,0.0,0.0
EDTXS1,0.8745390546136855,0.8745390546137892
EDTXS2,0.4370161694060636,0.437016169406065
EHGLAT,0.0,0.0
ENO,4.027883906603536,4.02788390658721
EX_acgam(e),0.0,0.0
EX_akg(e),-15.733246071046207,474.8369738009839
EX_ala_D(e),-1000.0,999.1259676611863
EX_ala_L(e),-1000.0,1000.0
EX_alaasp(e),9.153493314078418e-12,0.0
EX_alagln(e),-25.56951710961821,2.8474880870297315e-13
EX_alaglu(e),-6.11167698654107e-13,0.0
EX_alagly(e),-3.417250541352634e-12,0.0
EX_alahis(e),-2.8474880870297314e-12,0.0
EX_alaleu(e),-3.6190099575547297e-12,0.0
EX_alathr(e),-3.688017387411066,-3.688017387397816
EX_arab_D(e),-2.1860942786339397,-2.1860942786334348
EX_arbt(e),0.0,0.0
EX_asn_L(e),-544.0208042131942,-28.639280063778326
EX_asp_L(e),-1.0101536366971295e-11,0.0
EX_biomass(e),17.4729586744258,17.472958674425822
EX_btn(e),-1.870070019483277e-12,0.0
EX_ca2(e),-0.05410501653535975,-0.05410501653535947
EX_cgly(e),-1.4928109608289701,1.9551854668110175e-16
EX_cit(e),-0.10821003307071957,0.0
EX_cl(e),-0.05410501653536108,-0.054105016535359485
EX_co2(e),332.3196779883788,1000.0
EX_cobalt2(e),-0.05410501653535963,-0.05410501653535949
EX_cu2(e),-0.05410501653535956,-0.0541050165353595
EX_fe2(e),-0.10821003307071912,-0.108210033070719
EX_fe3(e),-0.05410501653535956,-0.0541050165353595
EX_fol(e),-0.1623150496060796,-0.1623150496060769
EX_fru(e),0.0,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-2.6231104480399754,-2.623110448041132
