,minimum,maximum
12DGR180tex,2.1835062346601792,2.1835062346601792
12DGR180tipp,2.18350623466018,2.183506234660177
23DHMPO,0.0,0.0
2S6HCC,0.3127559503573355,0.3127559503573351
3HAD120,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.5441813573441915,0.5441813573441906
3HAD141,0.0,0.0
3HAD180,0.0,0.0
3HAD181,0.0,0.0
3HAD40,0.0,0.0
3HAD60,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,0.0,0.0
3HAD9M10,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR120,0.0,0.0
3OAR140,2.720906786720957,2.7209067867209527
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,-5.210729928408863e-16,0.0
3OAR60,0.0,0.0
3OAR80,0.0,0.0
3OAS100,0.0,0.0
3OAS120,0.0,0.0
3OAS140,2.720906786720957,2.7209067867209527
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS60,0.0,0.0
3OAS80,0.0,0.0
4HTHRS,0.0,0.0
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AACPS2,0.0,143.34817617511104
AACPS4,0.0,9.483912711435461e-13
AACPS7,3.2650881440651482,146.61326431922942
AACPS8,0.0,0.0
AB6PGH,0.0,425.22972809084376
AB6PGH2,0.0,425.22972809084433
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,1.463299140499553e-13
ACALD,-1000.0,-985.7830028691834
ACALDtex,-1000.0,-999.9999999999994
ACALDtpp,-1000.0,-999.9999999999985
ACBIPGT,0.15637797517866775,0.15637797517866786
ACCOAC,0.0,2.7209067867209566
ACCOACL,0.0,2.7209067867209584
ACGAMT,0.0,0.0
ACGAMtex,0.0,-1.8407526786593661e-13
ACGAptspp,0.0,-1.9874742820050073e-14
ACGS,0.0,0.0
ACHBPL,0.0,0.0
ACHBS,0.0,0.0
ACKr,0.0,143.3481761751452
ACLS_a,0.0,0.0
ACM6PH,0.0,0.0
ACOATA,0.0,999.9999999999999
ACODAr,0.0,0.0
ACONTa,0.0,0.0
ACONTb,0.0,0.0
ACPS1,0.15637797517866775,0.15637797517866792
ACS,1.0883627146882004,15.30535984550835
ACYP,0.0,143.34817617515185
ACYP_2,0.0,143.34817617517947
ADK1,-982.121200669342,161.38335348098872
ADK2,0.15637797517866617,1000.0
ADMDC,2.0969336072055453,2.096933607205117
ADNCYC,0.0,0.0
ADOCBIK,0.15637797517866775,0.1563779751786679
ADOCBLS,0.15637797517866775,0.15637797517866753
ADPRDP,0.0,0.0
ADPT,3.035201458277552,3.035201458272908
ADSL1r,0.6497424129251657,0.6497424129277406
ADSL2r,0.0,0.0
ADSS,0.6497424129251655,0.6497424129277385
AGDC,0.0,-9.958943979413514e-13
AGDC2,0.0,0.0
AGM3PA,0.0,0.0
AGM4PA,0.0,0.0
AGMD,0.0,3.056111116996773e-13
AGMHE,2.1767254293767664,2.1767254293767664
AGPAT140,0.0,0.0
AGPAT181,0.0,0.0
AHC,0.938267851072007,0.938267851072007
AHCYSNS_r,0.0,0.0
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICAMPRT,0.0,0.0
AICART,1.78100458770792,1.7810045877088447
AIRC3,0.0,0.0
ALAALA,0.06727775908564278,0.06727775908761041
ALAALAabcpp,0.0,-3.102533574629294e-12
ALAALAtex,0.0,1.7084217403136826e-12
ALAASP1c,0.0,5.485831961625321e-12
ALAASPabcpp,0.0,1.7354189338279414e-12
ALAASPtex,0.0,1.7354189338279414e-12
ALAD_R,177.9728465008581,177.97284650085595
ALAGLN1c,179.92899581169203,179.92899581169866
ALAGLNabcpp,179.928995811692,179.92899581169866
ALAGLNtex,179.928995811692,179.92899581169866
ALAGLU1c,0.0,1.0017246109741734e-12
ALAGLUabcpp,0.0,3.820447166059425e-12
ALAGLUtex,0.0,3.820447166059425e-12
ALAGLY1c,0.0,1.505365892320334e-12
ALAGLYabcpp,0.0,2.1528412113896464e-12
ALAGLYtex,0.0,2.1528412113896464e-12
ALAHIS1c,-2.3930136203316497e-14,2.444392950005912e-12
ALAHISabcpp,0.0,3.704737854972172e-12
ALAHIStex,0.0,3.704737854972172e-12
ALALEU1c,0.0,6.8506645511117736e-12
ALALEUabcpp,0.0,4.254749653208044e-12
ALALEUtex,0.0,4.254749653208044e-12
ALAR,0.1345555181793684,0.13455551817522113
ALATHR1c,4.060659163951758,4.060659163950163
ALATHRabcpp,4.060659163951219,4.0606591639523115
ALATHRtex,4.060659163951219,4.0606591639523115
ALCD19,-0.5458765586650454,5.6017338437636014e-12
ALCD2x,14.216997130816793,14.216997130816592
ALCD4,0.0,0.0
ALCDPPAL,0.0,0.0
ALDD2x,0.0,14.216997130817976
ALR2,0.0,0.0
AM3PA,0.0,0.0
AM4PA,0.0,0.0
AMALT1,0.0,3.2651098774166925
AMALT2,0.0,3.265109877415469
AMALT3,0.0,3.265109877415794
AMALT4,0.0,0.0
AMANK,0.0,0.0
AMETt2pp,3.1915794334550123,3.191579433457177
AMETtex,3.1915794334560914,3.1915794334550767
AMMQT8,0.15637797517866775,0.1563779751786677
AMPTASECG,0.0,1.550557181484022
AMPTASEGC,0.0,1.5505571814840253
ANHMK,0.0,0.0
APAT,0.0,0.0
