,minimum,maximum
23DHMPO,-1.3651446569216275,-1.3651446570014083
2AHBUTI,1.3651446570014087,1.36514465694552
2S6HCC,0.0,-1.3463225477064072e-11
3HAD100,3.573994344659632,3.5739943446539573
3HAD120,3.573994344659632,3.5739943446549214
3HAD140,3.573994344659632,3.5739943446552624
3HAD160,3.573994344659632,3.5739943446544253
3HAD180,3.5739943446596323,3.5739943446595763
3HAD40,3.573994344659632,3.5739943446595963
3HAD60,3.573994344659632,3.5739943446595785
3HAD80,3.573994344659632,3.5739943446595785
3MOBS,0.0,0.0
3OAR100,3.573994344659632,3.5739943446595785
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,3.573994344659632,3.5739943446595785
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,3.573994344659632,3.5739943446595785
3OAR14M15,0.0,0.0
3OAR14M16,0.0,0.0
3OAR15M16,0.0,0.0
3OAR160,3.573994344659632,3.5739943446595785
3OAR180,3.5739943446596323,3.57399434465958
3OAR40,3.573994344659632,3.57399434465958
3OAR4M5,0.0,0.0
3OAR4M6,0.0,0.0
3OAR5M6,0.0,0.0
3OAR60,3.573994344659632,3.5739943446595785
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,3.573994344659632,3.5739943446595785
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,3.573994344659631,3.573994344659578
3OAS120,3.573994344659631,3.573994344659578
3OAS140,3.573994344659631,3.573994344659578
3OAS160,3.573994344659631,3.573994344659578
3OAS180,3.5739943446596314,3.5739943446595794
3OAS60,3.573994344659631,3.5739943446595794
3OAS80,3.573994344659631,3.573994344659578
4ABZt2,1.0238584927510568,1.0238584927330845
4HTHRS,0.0,0.0
5AIZCDC,0.0,-7.672568273814818e-11
5DOAN,0.0,-5.408412421423377e-12
5MTHCYST,1.4845501742592302e-11,0.0
6PHBG,0.0,272.6620884306077
AACOAT,0.0,0.0
ACALD,10.031682046894982,10.031682043903054
ACALDt,1000.0000000030058,1000.0
ACBIPGT,0.3412861642503523,0.3412861642503473
ACCOACL,71.47988689319266,71.47988689319263
ACGAM2E,0.0,0.0
ACGAMT,0.2329043696559926,0.23290436965598918
ACGApts,0.0,-3.85821433097619e-11
ACGK,8.654540338339817,8.654540338310357
ACGS,0.0,-3.228734671784348e-11
ACHBPL,1.365144657001409,1.3651446569387333
ACKr,-999.9999999999998,-1000.0000000000418
ACLS_a,1.3651446570014087,1.3651446569497847
ACLS_b,8.237691974676078e-11,2.0363511292150197e-12
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,-3.22033940948251e-11
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.7869971723298168,1.7869971723297906
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.7869971723298168,1.7869971723297926
ACOATA,3.5739943446596456,3.573994344659587
ACONTa,0.0,-2.5257707504851074e-09
ACONTb,0.0,-1.5278633256996775e-09
ACOTA,-8.654540338331074,-8.654540338339817
ACPS1,0.34128616425035224,0.3412861642503478
ACtr,-1000.0,-1000.0000000000348
ADCS,0.0,0.0
ADEt2,4.0311631455733,4.031163145556958
ADK1,45.738114565485006,46.4206868938891
ADK2,0.34128616425035224,0.3412861642503479
ADMDC,0.0,-1.2120999721802241e-11
ADNCYC,0.0,0.0
ADNUC,0.0,0.0
ADOCBIK,0.34128616425035224,0.34128616425034797
ADOCBLS,0.34128616425035213,0.3412861642503467
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,5.396307802572374,5.396307802540214
ADSL1r,4.852001824337228e-14,-1.5527075808657766e-11
ADSL2r,0.0,-1.6361884665129476e-11
ADSS,0.0,-1.6361884665129472e-11
AGDC,0.0,-4.844909117524924e-11
AGPAT120,0.0,-5.513585500847775e-12
AGPAT140,0.0,-6.382901903177589e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,-4.827539824106184e-12
AGPAT161,0.0,0.0
AGPAT180,1.7869971723830995,1.786997172329796
AGPAT181,0.0,0.0
AGPR,-8.654540338329905,-8.654540338339809
AHCYSNS_r,1.3651446570014092,1.365144656984842
AHEXASE3,0.0,0.0
AHMMPS,0.0,-1.0786554431289131e-11
AHSERL2,2.0359587329520886e-11,0.0
AHSERL3,-1.9622918869247691e-16,0.0
AICART,0.0,-1.5170238828590215e-11
AIHDUDPMG,0.3105391595413239,0.31053915954131917
AIHDUPDG,0.3105391595413234,0.3105391595413186
AIRC4,0.0,-1.0451465174411451e-10
AKGS,0.0,-7.10268743323918e-11
AKP1,1.0238584927510568,1.0238584927356058
ALAALA,0.0776347898853308,0.07763478988532965
ALAASP1c,0.0,-3.8448900828370137e-10
ALAASPabc,0.0,-2.970156009403378e-10
ALACI,-1000.0,1000.0
ALAGLN1c,0.0,-8.517374928314359e-10
ALAGLNabc,0.0,-8.762277298929715e-10
ALAGLU1c,0.0,-2.9207590996432977e-10
ALAGLUabc,0.0,-2.773099126282488e-10
ALAGLY1c,0.0,-2.533543161919967e-10
ALAGLYabc,0.0,-2.566668061860458e-10
ALAHIS1c,0.0,-2.811112639180642e-10
ALAHISabc,0.0,-2.8127398874884806e-10
ALALEU1c,0.0,-2.812024359661595e-10
ALALEUabc,0.0,-2.738234470251358e-10
ALAPGPL,0.07763478988533083,0.07763478988532989
ALAR,9.238539996354367,9.23853999635423
ALATHR1c,0.0,-3.356959869278734e-10
ALATHRabc,0.0,-2.879999503215754e-10
ALAt2r,630.1768810146407,630.1768810096985
ALCD19,116.68371073678288,116.6837107289129
ALCD2x,-1000.0,-1000.0000000002902
ALLTNt2r,0.0,0.0
AMALT1,0.0,92.70241648671055
AMALT2,0.0,92.7024164866716
AMALT3,0.0,92.70241648667111
AMALT4,0.0,92.7024164866716
AMMQLT8,0.3412861642503523,0.34128616425034763
AMMQT7rev,0.6825723285023158,0.6825723285007036
AMPMS2,0.0,1.3170352808119568e-13
AMPTASECG,0.0,-2.596095215426103e-10
AMPTASEGC,0.0,-2.8573766408392743e-10
AMY1e,0.0,124.99999999994412
AMYLOPECTe,0.0,3.333333333332873
AMYLe,0.0,9.9999999999954
ANPRT,0.0,-1.0980400190340048e-11
ANS,0.0,-1.0739179843596557e-11
ANS2,0.0,-9.878825066437676e-12
ARABASE3e,0.0,333.3333333333086
ARABINOXYL_DEGe,0.0,33.33333333333086
ARAI,0.0,-7.276394176342142e-11
ARBTpts,0.0,0.0
ARBabc,0.0,-7.142292660298404e-11
ARGSL,8.313254174089465,8.31325417408936
ARGSS,8.313254174089465,8.31325417408935
ASAD,3.141818212459112e-11,0.0
ASNS1,0.0,-5.037227639815108e-11
ASPCT,0.0,-3.8339094985046566e-11
ASPKi,-1.8066678638165584e-17,-3.18359475581427e-11
ASPTA,-1000.0,-617.1833893968866
ASPt2r,-985.3108151547943,-602.4942045525912
ATPPRT,0.0,0.0
ATPS4,951.9817444352002,951.9817444337259
BGLA,0.0,0.0
BPNT,0.34128616425035224,0.34128616425034797
BTNCLi,71.47988689319278,71.47988689319152
BTNabc,0.0,0.0
CAt4i,0.34128616425035224,0.34128616425034736
CBIAT,0.3412861642503523,0.34128616425034786
CBPS,8.313254174089465,8.313254174053602
CD2abc1,0.0,-1.2305366624438517e-10
CD2t6r,1.0827730492046165e-10,8.750406913568207e-14
CDPGLYCGPT,0.2329043696559925,0.23290436965598876
CDPMEK,4.2668443312421624,4.266844331228746
CGLYabc,0.3412861642950157,0.34128616401087986
CHORS,0.34128616425035235,0.34128616423868546
CHRPL,0.3412861642503523,0.34128616425034797
CLPNS180,0.36911450319712336,0.3691145031971173
CLPNSAI17,0.36911450319712336,0.3691145031971173
CLPNSI17,0.36911450319712336,0.3691145031971173
CMLDC,0.0,0.0
CO2t,-52.089250872418035,-52.08925087581534
COBALTt5,-0.34128616425034786,-0.34128616425035224
CPPPGO,0.0,-2.9354342491618966e-12
CPPPGO2,0.0,-2.2994538452894916e-12
CSND,0.0,-1.0671350601519446e-10
CSNt2,0.0,-1.0681443823882328e-10
CTPS1,0.0,1.7732506433669224
CTPS2,0.0,1.773250643365577
CYSDS,0.0,-4.735408231333626e-11
CYSTGL,1.3651446570014123,1.365144656950455
CYSTL,0.0,-1.023321185582504e-09
CYSTS,1.365144657001409,1.3651446559994962
CYSt2r,1.7655821610402158,1.7655821607502626
CYTDK1,0.0,0.0
CYTDK2,0.0,0.0
CYTDK3,0.0,0.0
CYTDK4,0.0,0.0
CYTK1,41.535734491102595,42.218306819592776
CYTK2,0.0,0.0
Cuabc,0.34128616425035224,0.3412861642073299
Cut1,0.0,-4.413122717484464e-11
DAGK180,0.0,-8.826245434968945e-11
DAPDC,0.0,-3.188554335122465e-11
DAPE,0.0,-3.31124861446528e-11
DAPabc,0.07763478991644789,0.07763478983263887
DASYN120,0.0,-6.953365642674979e-12
DASYN140,0.0,-6.076283757897465e-12
DASYN141,0.0,0.0
DASYN160,0.0,-7.198326494979829e-12
DASYN161,0.0,0.0
DASYN180,1.4764580127884934,1.4764580127884726
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,1.4764580127884934,1.4764580127884777
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,1.4764580127884934,1.4764580127884777
DCTPD,0.0,-6.93836763679427e-11
DCTPD2,0.0,-9.220748947847575e-11
DDPA,0.34128616425035235,0.3412861642487077
DEXTRINASE,0.0,92.70241648672061
DEXTRINabc,0.0,92.702416486716
DGK1,1.7714065284982323e-11,0.0
DHAD1,0.0,-6.733245162034767e-11
DHAD2,1.3651446570014092,1.365144656940728
DHDPRy,0.0,-2.9141504600899687e-11
DHDPS,0.0,-3.0212138852762186e-11
DHFOR2,0.0,-1.1460697941707035e-11
DHFR,1.52862862597925,1.5286286259612702
DHFS,1.0238584927510568,1.0238584927375782
DHNAOT4,0.6825723285007046,0.6825723285006966
DHNAOT7,0.6825723285022565,0.6825723285006996
DHNPA,1.0238584927510568,1.023858492741473
DHORD2,0.0,-3.294631881063771e-11
DHORD5,0.0,-4.128793410225685e-11
DHORTS,3.701762954034997e-11,0.0
DHPS,1.0238584927971062,1.023858492741473
DHQS,0.3412861642503523,0.34128616424893016
DHQTi,0.34128616425035235,0.34128616424854236
DMATT,0.418920954135683,0.41892095413387637
DMPPS,0.0,1000.0
DMPPS2r,-999.5810790458644,0.4189209541338452
DMQMT,0.34128616425035235,0.341286164250348
DM_2HYMEPH,0.0,272.6620884299192
DM_4HBA,0.0,-1.4703325045850733e-11
DM_5DRIB,0.0,-1.7797372087067423e-11
DM_5MTR,0.0,-9.941152765606688e-12
DM_GCALD,1.023858492751057,1.0238584927298833
DM_atp_c_,0.0,-8.334408509884e-11
DM_dhptd(c),1.365144657001409,1.365144656982796
DPCOAK,0.6825723285007038,0.682572328500695
DPRr,0.0,0.0
DRBK,0.0,0.0
DRIBabc,0.0,0.0
DTMPK,0.5047701332281933,0.5047701332281839
DUTPDP,0.5047701332281933,0.5047701332281862
DXPRIr,4.266844331242218,4.266844331230096
DXPS,4.266844331242218,4.26684433123116
E4PD,0.0,0.0
EAR100x,3.5739943446596407,3.573994344659583
EAR120x,3.5739943446596314,3.573994344659573
EAR140x,3.5739943446596314,3.5739943446595737
EAR160x,3.573994344659632,3.573994344659573
EAR180x,3.5739943446596336,3.5739943446595754
EAR40x,3.5739943446596314,3.573994344659575
EAR60x,3.5739943446596314,3.573994344659573
