,minimum,maximum
23DHMPO,0.0,0.0
26DAPLLAT,-1000.0,0.0
26DAP_Mtex,755.0776528491112,755.0776528389036
26DAPt2rpp,755.0776528494243,755.0776528389474
2AHBUTI,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,5.577383455292777,5.5773834551845525
33HPHACt2rpp,0.0,-3.907889935243042e-09
34DHPHAt2rpp,7.608507469294608e-09,0.0
34DHPHAtex,7.85010724797984e-09,0.0
3HAD10M12,5.577383455292784,5.577383455291704
3HAD11M12,5.577383455292784,5.577383455291687
3HAD12M14,5.577383455292783,5.577383455291668
3HAD13M14,5.577383455292783,5.577383455291756
3HAD14M16,5.5773834552927815,5.577383455291666
3HAD15M16,5.5773834552927815,5.577383455291693
3HAD4M6,5.57738345529278,5.577383455291687
3HAD5M6,5.577383455292788,5.577383455291696
3HAD6M8,5.577383455292778,5.577383455291634
3HAD7M8,5.577383455292787,5.577383455291696
3HAD8M10,5.577383455292785,5.577383455291669
3HAD9M10,5.577383455292785,5.577383455291757
3HPHACOX,0.0,-3.532003151682302e-09
3HPHACtex,0.0,-3.887985702498047e-09
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.577383455292783,5.577383455185657
3OAR11M12,5.577383455292784,5.577383455185215
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.577383455292783,5.577383455185556
3OAR13M14,5.577383455292783,5.577383455185181
3OAR140,13.108265370062878,13.108265370060332
3OAR14M15,0.0,0.0
3OAR14M16,5.577383455292782,5.577383455291703
3OAR15M16,5.577383455292782,5.577383455291703
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.577383455292777,5.577383455291697
3OAR5M6,5.577383455292788,5.577383455291701
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.577383455292777,5.577383455291707
3OAR7M8,5.577383455292787,5.5773834552917005
3OAR80,0.0,0.0
3OAR8M10,5.577383455292786,5.5773834552917325
3OAR8M9,0.0,0.0
3OAR9M10,5.577383455292786,5.577383455291597
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.577383455292783,5.577383455291731
