,minimum,maximum
12DGR180ti,1.6868871703884003,1.6868871703884043
12PPDt,2.7579942082398797e-11,0.0
23DHMPO,2.2162376126095076e-11,0.0
26DAPLLAT,-999.9999999999999,0.0
2AHBUTI,0.0,5.5090634146016615e-12
2INSD,0.0,0.0
2MBCOATA,3.3737743407768006,3.373774340776316
3HAD10M12,3.3737743407768015,3.373774340776194
3HAD11M12,3.373774340776802,3.373774340776215
3HAD12M14,3.3737743407768015,3.3737743407758143
3HAD13M14,3.373774340776802,3.37377434077619
3HAD14M16,3.3737743407768006,3.373774340776795
3HAD15M16,3.3737743407768015,3.3737743407768113
3HAD4M6,3.3737743407768015,3.373774340776812
3HAD5M6,3.373774340776802,3.373774340776807
3HAD6M8,3.3737743407768015,3.373774340776812
3HAD7M8,3.373774340776802,3.373774340776812
3HAD8M10,3.3737743407768015,3.373774340776812
3HAD9M10,3.373774340776802,3.373774340776812
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.3737743407768015,3.373774340776812
3OAR11M12,3.373774340776802,3.373774340776812
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.3737743407768015,3.373774340776812
3OAR13M14,3.373774340776802,3.373774340776812
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.3737743407768006,3.3737743407768117
3OAR15M16,3.3737743407768015,3.3737743407768117
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.3737743407768015,3.373774340776812
3OAR5M6,3.3737743407768006,3.3737743407768166
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.3737743407768015,3.373774340776812
3OAR7M8,3.373774340776802,3.373774340776812
3OAR80,0.0,0.0
3OAR8M10,3.3737743407768015,3.373774340776812
3OAR8M9,0.0,0.0
3OAR9M10,3.373774340776802,3.373774340776812
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.373774340776801,3.3737743407768095
3OAS11M12,3.373774340776802,3.3737743407768086
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.3737743407768006,3.373774340776808
3OAS13M14,3.373774340776801,3.3737743407768086
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.3737743407768006,3.373774340776813
3OAS4M3O6,3.373774340776801,3.373774340776808
3OAS4M5,0.0,0.0
3OAS4M6,3.373774340776801,3.3737743407768086
3OAS5M6,3.373774340776802,3.3737743407768104
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.373774340776801,3.3737743407768117
3OAS7M8,3.373774340776802,3.3737743407768144
3OAS80,0.0,0.0
3OAS8M10,3.373774340776801,3.373774340776806
3OAS8M9,0.0,0.0
3OAS9M10,3.373774340776802,3.3737743407768033
4HTHRS,0.0,0.0
5AIZCDC,0.0,4.208110444662753e-12
5DGCLURI,0.0,0.0
5DOAN,-1.4070511531097782e-31,0.0
6PHBG,0.0,531.5113287783994
6PHBG2,0.0,531.511328778367
AACGLYDH,0.0,0.0
AB6PGH,0.0,531.5113287784031
AB6PGH2,0.0,531.511328778397
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
ACALD,633.6639962965766,779.8962791045207
ACALDt,1000.0000000000049,999.9999999999999
ACBIPGT,0.3221668510837081,0.3221668510837084
ACCOACL,40.48529208932161,40.48529208932176
ACGAM2E,0.0,0.0
ACGAMK,0.0,1.1058441327967946e-11
ACGAMT,0.21985675141716385,0.21985675141716396
ACGAMt2,0.0,8.792849045433324e-12
ACGApts,0.0,7.496547513486405e-13
ACGK,7.847534415606276,7.847534415607833
ACGS,0.0,0.0
ACHBPL,0.0,6.246466252032352e-13
ACKr,-1000.0000000000001,-999.9999999999945
ACLS_a,0.0,1.0962513095605222e-11
ACLS_b,9.868676943551052e-12,-2.4651303237848435e-14
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.6868871703884003,1.6868871703884079
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.6868871703884003,1.6868871703884032
ACOATA,0.0,0.0
ACOTA,-7.84753441560366,-7.8475344156062725
ACPS1,0.32216685108370813,0.32216685108370763
ACYP,0.0,1.1773987772631534e-11
ACYP_2,0.0,-4.690449973776788e-13
ACtr,-1000.0,-999.9999999999997
ADA,0.0,-2.499543526069617e-12
ADCL,0.0,-2.262290756405638e-12
ADCS,0.0,-7.419456927238644e-13
ADCYRS,0.0,0.0
ADD,0.0,-1.8582161507572155e-12
ADK1,25.965008087005156,25.965008086934322
ADK2,0.3221668510837081,0.32216685108136434
ADNUC,0.0,5.070855924997756e-12
ADOCBIK,0.0,0.32216685108370763
ADOCBIK2,0.0,0.3221668510837088
ADOCBLS,0.32216685108370813,0.322166851083709
ADOCBLabc,-5.3248308093772774e-17,0.0
ADPRDP,0.0,0.0
ADPT,0.0,6.328518427789458e-12
ADSL1r,3.9395190840203886,3.9395190840198446
ADSL2r,0.0,-1.7520458303684908e-13
ADSS,3.9395190840203886,3.939519084019701
AGDC,0.0,-2.0384223646023838e-13
AGMT,0.0,-7.127698132735606e-12
AGPAT120,0.0,-2.7917879779491786e-12
AGPAT140,0.0,2.4789808116797374e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,-1.7734643862404052e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AGPR,-7.847534415602988,-7.847534415606275
AGTi,0.0,0.0
AHC,-0.3221668510829051,-0.3221668510843397
AHCYSNS_r,-1.19186462256206e-13,2.3786381438139647e-12
AHMMPS,0.0,2.496967666929326e-13
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICART,0.0,1.1675631870242402e-12
AIHDUDPMG,0.293142335222885,0.29314233522288524
AIHDUPDG,0.2931423352228851,0.2931423352228861
AIHPDCOATA,3.3737743407768006,3.3737743407768117
AIPDCOATA,0.0,0.0
AIRC4,0.0,1.0901840530214326e-11
AKP1,0.0,0.0
ALAALA,0.07328558380572127,0.07328558380572121
ALAASP1c,0.0,3.270552159064325e-11
ALAASPabc,0.0,-1.8403138288039842e-11
ALACI,-999.9999999999999,1000.0
ALAGLN1c,894.3379079176611,894.3379079176731
ALAGLNabc,894.33790791767,894.337907917668
