,minimum,maximum
23DHMPO,3.172598155838025e-10,0.0
26DAPLLAT,-999.9999999996415,0.0
2AHBUTI,4.5005498252880126e-11,-4.616840599912449e-10
2MBCOATA,5.137967799008931,5.137967799002265
3HAD100,5.1379677990089325,5.137967799002216
3HAD10M12,5.137967799008933,5.137967799003773
3HAD11M12,5.137967799008933,5.137967799002673
3HAD120,5.137967799008933,5.137967799002309
3HAD12M14,5.137967799008933,5.137967799003251
3HAD13M14,5.137967799008933,5.137967799002881
3HAD140,5.137967799008933,5.137967799003861
3HAD14M16,5.137967799008934,5.137967799008851
3HAD15M16,5.137967799008934,5.137967799008895
3HAD160,5.137967799008934,5.137967799008895
3HAD180,5.137967799008935,5.137967799008894
3HAD40,5.137967799008931,5.13796779900894
3HAD4M6,5.137967799008931,5.1379677990089
3HAD5M6,5.137967799008949,5.137967799008902
3HAD60,5.137967799008931,5.13796779900888
3HAD6M8,5.137967799008932,5.1379677990088775
3HAD7M8,5.137967799008932,5.137967799008807
3HAD80,5.137967799008932,5.137967799008807
3HAD8M10,5.1379677990089325,5.137967799008897
3HAD9M10,5.1379677990089325,5.137967799008881
3MOBS,0.0,0.0
3OAR100,5.1379677990089325,5.137967799008881
3OAR10M11,0.0,0.0
3OAR10M12,5.137967799008933,5.1379677990089005
3OAR11M12,5.137967799008933,5.137967799008883
3OAR120,5.137967799008933,5.137967799008883
3OAR12M13,0.0,0.0
3OAR12M14,5.137967799008934,5.137967799008875
3OAR13M14,5.137967799008934,5.137967799008875
3OAR140,5.137967799008934,5.137967799008875
3OAR14M15,0.0,0.0
3OAR14M16,5.137967799008934,5.137967799008874
3OAR15M16,5.137967799008934,5.137967799008872
3OAR160,5.137967799008934,5.137967799008872
3OAR180,5.137967799008935,5.137967799008874
3OAR40,5.137967799008931,5.137967799008877
3OAR4M5,0.0,0.0
3OAR4M6,5.137967799008932,5.137967799008875
3OAR5M6,5.137967799008949,5.137967799008876
3OAR60,5.137967799008932,5.137967799008903
3OAR6M7,0.0,0.0
3OAR6M8,5.137967799008932,5.137967799008896
3OAR7M8,5.137967799008932,5.137967799008877
3OAR80,5.137967799008932,5.137967799008878
3OAR8M10,5.1379677990089325,5.137967799008897
3OAR8M9,0.0,0.0
3OAR9M10,5.1379677990089325,5.137967799008876
3OAS100,5.1379677990089325,5.1379677990088775
3OAS10M11,0.0,0.0
3OAS10M12,5.137967799008933,5.137967799008895
3OAS11M12,5.137967799008933,5.137967799008875
3OAS120,5.1379677990089325,5.137967799008876
3OAS12M13,0.0,0.0
3OAS12M14,5.137967799008934,5.137967799008893
3OAS13M14,5.137967799008934,5.1379677990088926
3OAS140,5.137967799008933,5.1379677990088926
3OAS160,5.137967799008934,5.137967799008893
3OAS180,5.137967799008934,5.137967799008893
3OAS2M3,0.0,0.0
3OAS3M4,5.137967799008949,5.137967799008877
3OAS4M3O6,5.13796779900893,5.137967799008875
3OAS4M5,0.0,0.0
3OAS4M6,5.137967799008932,5.137967799008876
3OAS5M6,5.137967799008932,5.137967799008877
3OAS60,5.13796779900893,5.137967799008878
3OAS6M7,0.0,0.0
3OAS6M8,5.1379677990089325,5.137967799008896
3OAS7M8,5.1379677990089325,5.137967799008876
3OAS80,5.137967799008932,5.1379677990088775
3OAS8M10,5.1379677990089325,5.137967799008896
3OAS8M9,0.0,0.0
3OAS9M10,5.1379677990089325,5.137967799008875
4ABZt2,0.0,0.0
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-3.9854777828306116e-11
5DOAN,0.0,-3.1724616929812103e-12
5MTHCYST,2.229480274252136e-12,0.0
6PHBG,0.0,184.42726503969865
6PHBG2,0.0,184.42726503966134
AB6PGH,0.0,184.42726503959284
AB6PGH2,0.0,184.42726503971514
ACALD,3.239215815109158e-10,-2.630501671210343e-10
ACALDt,1000.0000000004575,1000.0
ACBIPGT,0.18676884496655674,0.1867688449665547
ACCOACL,102.75935598017861,102.75935598017698
ACGALt2r,0.0,0.0
ACGAM2E,7.0815942353916395,7.0815942353733075
ACGAMT,0.32679270209229916,0.32679270209229355
ACGAMt2,7.081594235400662,7.081594235373199
ACGApts,0.0,-1.1898146294914474e-10
ACGK,0.18676884528381657,0.18676884496143967
ACGS,0.0,0.0
ACHBPL,5.030055490485614e-11,-3.967039401693556e-10
ACKr,-1000.0000000000001,-1000.0000000000812
ACLS_a,0.0,76.73516826318203
ACLS_b,-76.7351682630819,2.5445441765342537e-14
ACNAMabc,0.0,-2.3975592986785784e-13
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.5689838995044396
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.568983899504467,2.5689838995044125
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.568983899504467,2.568983899504417
ACOATA,5.13796779900893,5.137967799008842
ACOTA,-0.18676884495917662,-0.18676884558687062
ACPS1,0.18676884496655674,0.18676884496655446
ACYP,0.0,-5.4060441212652465e-11
ACYP_2,0.0,-3.56061122935714e-11
ACtr,-1000.0,-1000.0000000000697
ADCPS1,0.0,-1.709209919963987e-11
ADCPS2,0.0,0.0
ADCS,0.0,0.0
ADCYRS,0.0,-7.549839865397806e-12
ADEt2r,-0.7470753798632532,-0.7470753798661893
ADK1,35.76835995408888,36.14189764397552
ADK2,0.18676884496655677,0.18676884495333448
ADMDC,0.0,-2.148341582906929e-12
ADOCBIK,0.0,0.18676884496439836
ADOCBIK2,0.0,0.18676884496500298
ADOCBLS,0.18676884496655674,0.18676884496655483
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADSL1r,9.637067325488166,9.637067325482418
ADSL2r,9.637067325488166,9.63706732548428
ADSS,9.637067325488166,9.637067325484201
AGDC,0.0,-5.6180117412749635e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.5689838995044347
AGPAT181,0.0,0.0
AGPR,-0.18676884495795734,-0.18676884566263421
AHCYSNS_r,0.7470753798657436,0.7470753798646269
AHEXASE3,0.0,0.0
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICART,9.637067325488003,9.637067325483397
AIHPDCOATA,5.137967799008934,5.137967799008881
AIPDCOATA,0.0,0.0
AIRC4,9.637067325488003,9.637067325442949
AKP1,0.0,0.0
ALAALA,1.5085663108214278,1.508566310821406
ALAASP1c,0.0,-9.115300671622406e-11
ALAASPabc,0.0,-8.69181111311414e-11
ALACI,-1000.0000000000002,1000.0
ALAGLN1c,0.0,-9.571799094370814e-11
ALAGLNabc,0.0,-8.662657252738594e-11
ALAGLU1c,0.0,-8.659704104637409e-11
ALAGLUabc,0.0,-9.525483937462566e-11
ALAGLY1c,0.0,-6.36153671936283e-11
ALAGLYabc,0.0,-6.638505823515241e-11
ALAHIS1c,0.0,-9.970595784161258e-11
ALAHISabc,0.0,-1.0420910304355319e-10
ALALEU1c,0.0,-1.0420910304355317e-10
ALALEUabc,0.0,-1.0652486088896548e-10
ALAPGPL,0.10893090069743308,0.10893090069743115
ALAR,7.919023153027345,7.919023153027232
ALATHR1c,0.0,-8.56285820667574e-11
ALATHRabc,0.0,-8.660934341841976e-11
ALAt2r,-769.4729306506457,1000.0
ALAt4r,-964.7613361531901,804.7115944974166
ALCD19,-977.5426070721925,157.27904274030496
ALCD2x,-1000.0,-1000.0000000002253
ALCD4,0.0,0.0
ALKP,0.0,0.0
AMALT1,0.0,-1.6006799563670272e-11
AMALT2,0.0,-2.071305392236785e-11
AMALT3,0.0,-1.38087026149119e-11
AMALT4,0.0,0.0
AMMQLT8,0.0,-9.85122796785374e-12
AMMQT7rev,0.18676884496655669,0.18676884495745308
AMPTASECG,0.0,-4.8514044483761825e-11
AMPTASEGC,0.0,-5.555501828640359e-11
ANPRT,0.0,-1.5410172149280737e-11
ANS,0.0,-5.930695089125723e-12
ANS2,0.0,-7.103858432048277e-12
APRAUR,0.0,0.0
ARAI,0.0,31.659113626166704
ARBTpts,0.0,184.42726503980273
ARBabc,0.0,31.659113626162387
ARGDC,0.0,0.0
ARGSL,0.0,-5.117093799737792e-12
ARGSS,0.0,-7.253136376156813e-12
ARGt2r,14.879985161719812,14.879985161714655
ASAD,2.2351602599099825e-10,0.0
ASNS1,0.0,-2.3774756080746933e-11
ASNS2,0.0,-2.202043643024886e-11
ASNt2r,12.113285042726773,12.113285042671755
ASP1DC,0.0,-2.8529707296896486e-11
ASPCT,0.0,-1.1828750529268865e-11
ASPKi,0.0,-2.857815457287368e-10
ASPO1,0.0,153.47033652606052
ASPO5,0.0,0.0
ASPO6,0.0,-3.840498490503957e-10
ASPTA,542.1765639084981,772.3820686979217
ASPt2r,727.0343201288489,803.7694883914478
ATPPRT,0.0,-4.587442638006221e-12
ATPS4,956.3288223654274,956.3288223652944
BGLA1,0.0,0.0
BPNT,0.18676884496655674,0.1867688449665546
BTNCLi,102.75935598017863,102.75935598017728
BTNabc,0.0,0.0
CAt4i,0.18676884496655674,0.18676884496655458
CBIAT,0.18676884496655677,0.18676884496655288
CBPS,0.0,-1.9482052641389542e-11
CD2abc1,0.0,-4.791274454672024e-11
CDPGLYCGPT,0.3267927020922992,0.3267927020922951
CDPMEK,18.275149023734613,18.275149023720328
CGLYabc,0.18676884500108176,0.1867688449235091
CHORS,0.18676884496657525,0.18676884495992632
CHRPL,0.1867688449665754,0.18676884496654203
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.6422459748761169,0.6422459748761044
CLPNSAI15,0.0,0.0
CLPNSAI17,0.6422459748761169,0.6422459748761044
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.6422459748761169,0.6422459748761044
CMLDC,0.0,0.0
CO2t,-1000.0,-1000.000000000341
CODH_ACS,413.32031056299087,490.0554788260549
CPC2MT,0.0,-2.8206643379756453e-12
CPC3MT,0.0,-1.3241458824584572e-12
