,minimum,maximum
23DHMPO,-4.067316024480004,-4.067316024479998
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,14.823233554609333,14.823233554609425
2AHBUTI,4.067316024479998,4.067316024480005
2INSD,0.0,0.0
2MBCOATA,4.067316024479998,4.067316024479999
3HAD10M12,4.067316024479998,4.067316024479999
3HAD11M12,4.067316024479998,4.067316024479999
3HAD12M14,4.067316024479998,4.067316024480005
3HAD13M14,4.067316024479998,4.067316024480005
3HAD14M16,4.067316024479998,4.067316024480005
3HAD15M16,4.067316024479998,4.067316024480005
3HAD4M6,4.067316024479998,4.067316024480005
3HAD5M6,4.067316024479993,4.067316024479995
3HAD6M8,4.067316024479998,4.067316024480007
3HAD7M8,4.067316024479993,4.067316024479992
3HAD8M10,4.067316024479998,4.067316024479997
3HAD9M10,4.067316024479993,4.067316024479992
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.067316024479999,4.067316024479997
3OAR11M12,4.067316024479999,4.067316024479997
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.067316024479999,4.067316024479997
3OAR13M14,4.067316024479999,4.067316024479997
3OAR140,9.559224001749083,9.559224001749076
3OAR14M15,0.0,0.0
3OAR14M16,4.067316024479999,4.067316024479997
3OAR15M16,4.067316024479999,4.067316024479997
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.067316024479999,4.067316024479997
3OAR5M6,4.067316024479993,4.067316024479992
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.067316024479999,4.067316024479997
3OAR7M8,4.067316024479993,4.067316024479992
3OAR80,0.0,0.0
3OAR8M10,4.067316024479999,4.067316024479997
3OAR8M9,0.0,0.0
3OAR9M10,4.067316024479993,4.067316024479992
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.067316024479998,4.067316024480014
3OAS11M12,4.067316024479998,4.067316024480015
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.067316024479998,4.067316024479992
