,minimum,maximum
1P4H2CBXLAH,0.0,0.0
22IDPOR,0.0,0.0
23DAPAL,0.0,0.0
23DHMPO,-1000.0,1000.0
2ACAMSUCCAH,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DDPENTHL,0.0,0.0
2DHPL,-3.023353436620394e-10,0.0
2DMMQ8abcpp,0.0,1.8408490211476854e-10
2DMMQ8tex,0.0,1.7709379379809063e-10
2DOHMC5DPT,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IMZS,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,4.138716563266717,4.138716563287878
2MEBCOADH,-4.138716563287679,-4.138716563004986
2OMMBOX,0.0,5.955087845273724e-10
34DHOXPEGOX,0.0,0.0
3HACPR1,0.0,4.6318774632249054e-10
3HACPR2,0.0,1.5212371887034944e-10
3HAD100,0.0,5.3689520346019226e-11
3HAD10M12,4.138716563266712,4.138716563288698
3HAD11M12,4.138716563266718,4.138716563289651
3HAD120,0.0,3.551567576497046e-11
3HAD12M14,4.138716563266718,4.13871656328923
3HAD13M14,4.138716563266718,4.138716563290374
3HAD140,0.0,1.295622055191278e-10
3HAD14M16,4.138716563266718,4.138716563267124
3HAD15M16,4.138716563266718,4.1387165632670735
3HAD40,0.0,2.870195202238663e-11
3HAD4M6,4.138716563266718,4.138716563289586
3HAD5M6,4.138716563266718,4.138716563291747
3HAD60,0.0,3.751806349569533e-11
3HAD6M8,4.138716563266718,4.138716563289613
3HAD7M8,4.138716563266718,4.1387165632903145
3HAD80,0.0,3.446858044916267e-11
3HAD8M10,4.138716563266718,4.138716563289613
3HAD9M10,4.138716563266718,4.1387165632903145
3MEBCOADH,4.138716562938607,4.138716563287403
3MOBS,17.113309249057203,17.11330924943131
3OAACPR1,0.0,9.56724065917924e-11
3OAACPR2,0.0,1.413405959283839e-10
3OAR100,0.0,3.958778820337058e-11
3OAR10M11,0.0,0.0
3OAR10M12,4.138716563266718,4.138716563289613
3OAR11M12,4.138716563266718,4.138716563289532
3OAR120,0.0,3.39851790263566e-11
3OAR12M13,0.0,0.0
3OAR12M14,4.138716563266718,4.13871656328888
3OAR13M14,4.138716563266718,4.138716563289803
3OAR140,9.727033372842904,9.72703337298366
3OAR14M15,0.0,0.0
3OAR14M16,4.138716563266718,4.138716563267114
3OAR15M16,4.138716563266718,4.138716563267232
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,3.566121147372209e-11
3OAR4M5,0.0,0.0
3OAR4M6,4.138716563266718,4.138716563289621
3OAR5M6,4.138716563266718,4.1387165632903695
3OAR60,0.0,2.965803981029025e-11
3OAR6M7,0.0,0.0
3OAR6M8,4.138716563266718,4.1387165632896314
3OAR7M8,4.138716563266718,4.138716563293303
3OAR80,0.0,3.441711888308425e-11
3OAR8M10,4.138716563266718,4.1387165632896545
3OAR8M9,0.0,0.0
3OAR9M10,4.138716563266718,4.138716563290138
3OAS100,0.0,3.805868073296136e-11
3OAS10M11,0.0,0.0
3OAS10M12,4.138716563266717,4.138716563288165
3OAS11M12,4.138716563266717,4.138716563288778
3OAS120,0.0,3.731750328101267e-11
3OAS12M13,0.0,0.0
3OAS12M14,4.138716563266717,4.138716563267088
3OAS13M14,4.138716563266717,4.138716563267142
3OAS140,9.727033372842904,9.727033372997614
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.138716563266717,4.138716563291028
3OAS4M3O6,4.138716563266717,4.138716563289491
3OAS4M5,0.0,0.0
3OAS4M6,4.138716563266717,4.138716563287083
3OAS5M6,4.138716563266717,4.138716563287904
3OAS60,0.0,3.1265712593097086e-11
3OAS6M7,0.0,0.0
3OAS6M8,4.138716563266717,4.138716563289321
3OAS7M8,4.138716563266717,4.138716563290702
3OAS80,0.0,3.666413868360047e-11
3OAS8M10,4.138716563266717,4.138716563290343
3OAS8M9,0.0,0.0
3OAS9M10,4.138716563266717,4.138716563290815
4HBADH,0.0,3.931487835371303e-11
4HBZCL,-5.0477240721582535e-12,3.747621450179057e-11
4HTHDR,15.083451068072831,15.083451068144257
4HTHDS,15.083451068072833,15.083451068143733
4HTHRS,0.0,0.0
5AIZCDC,0.0,2.8366624661378035e-10
5HISAH,0.0,0.0
5MTHCYST,-0.15044533994830772,-0.15044533938476534
5MTHFGLUNFT,0.0,0.0
5MTHGLUS,-0.15044533994830198,-0.15044533938351207
7A_CZPtex,-1000.0000000000002,999.9999999999999
A5PISO,6.078691366688449,6.078691366699118
AACGLYDH,0.0,0.0
AACPS7,12.158791716006824,12.158791716199996
AAGAAH,0.0,0.0
AAPAT,0.0,0.0
ABUTD,0.0,999.9999999999994
ABUTR,-1000.0,0.0
AC2DHOR,0.0,0.0
ACBIPGT,0.150445339948293,0.15044533994830786
ACCOACL,0.0,310.19927375665924
ACCOACORAT,0.0,0.0
ACCOALYS2,0.0,0.0
ACEDIPIT,0.0,0.0
ACGK,0.150445339948293,0.15044534004245985
ACGS,0.15044533994829304,0.150445340048604
ACHBPL,-9.810425877406926e-11,3.012819660243967e-10
ACHBS,0.0,2.8398216016995707e-10
ACKr,-913.0289166611199,327.9156275912008
ACLS,0.0,2.9458629416756617e-10
ACLS_a,0.0,2.9297240321365366e-10
ACLS_b,-9.819543138919097e-11,2.7873437328965656e-10
ACNAM9PL,0.0,0.0
ACNAMS,0.0,2.932073487808407e-11
ACOAAGPAT140,0.0,2.173955914905784e-11
ACOAAGPAT160,0.0,3.1632845698584225e-11
ACOAAGPAT180,0.0,2.0693582816335327
ACOAAGPATAI15,0.0,1.166301470094833e-11
ACOAAGPATAI17,2.069358281633359,2.0693582816335434
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.069358281633359,2.0693582816335394
ACOASL,0.0,0.0
ACOATA,4.138716563266718,4.13871656329809
ACOCT,0.0,8.915432916681225e-11
