,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0000000000002,1000.0
26DAP_Mtex,5.009444492282651,5.0094444922827215
2AHBUTI,-1000.0,1000.0
2DHPL,0.0,0.0
2DMMQ8abcpp,0.049965195377663585,0.04996519537818632
2DMMQ8tex,0.04996519537759626,0.04996519537818632
2HMCOXT,0.0,0.0
2IMZS,0.0,0.0
2MBCOATA,1.3745309875974159,1.3745309875974248
34DHOXPEGOX,0.0,0.0
3HACPR1,-2.243124195169003e-16,8.140941399658688e-13
3HACPR2,0.0,7.30219324762496e-13
3HAD10M12,1.3745309875974165,1.3745309875999
3HAD11M12,1.3745309875974165,1.3745309875995482
3HAD12M14,1.3745309875974168,1.3745309875997325
3HAD13M14,1.3745309875974168,1.3745309875998784
3HAD14M16,1.3745309875974168,1.3745309875974374
3HAD15M16,1.3745309875974168,1.3745309875974179
3HAD4M6,1.374530987597416,1.3745309875974183
3HAD5M6,1.374530987597416,1.374530987597419
3HAD6M8,1.3745309875974163,1.374530987597423
3HAD7M8,1.374530987597416,1.3745309875974228
3HAD8M10,1.3745309875974165,1.374530987597423
3HAD9M10,1.3745309875974163,1.374530987597423
3OAACPR1,0.0,1.653803509748213e-13
3OAACPR2,0.0,6.269348291509673e-13
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,1.3745309875974165,1.3745309876000154
3OAR11M12,1.3745309875974163,1.3745309876007086
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,1.3745309875974165,1.3745309876002163
3OAR13M14,1.3745309875974165,1.3745309876007086
3OAR140,3.2304963589518367,3.2304963589533635
3OAR14M15,0.0,0.0
3OAR14M16,1.3745309875974168,1.3745309875974328
3OAR15M16,1.3745309875974168,1.374530987597433
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,1.374530987597416,1.374530987597433
3OAR5M6,1.374530987597416,1.374530987597433
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,1.374530987597416,1.374530987597433
3OAR7M8,1.374530987597416,1.374530987597433
3OAR80,0.0,0.0
3OAR8M10,1.3745309875974163,1.374530987597433
3OAR8M9,0.0,0.0
3OAR9M10,1.374530987597416,1.374530987597433
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,1.3745309875974168,1.374530987597433
3OAS11M12,1.3745309875974168,1.374530987597433
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,1.3745309875974168,1.3745309875974254
3OAS13M14,1.3745309875974168,1.3745309875974248
3OAS140,3.2304963589518367,3.2304963589523608
3OAS160,0.0,3.843927982320707e-13
3OAS180,0.0,6.062918795667487e-13
3OAS2M3,0.0,0.0
3OAS3M4,1.374530987597416,1.3745309876000926
3OAS4M3O6,1.374530987597416,1.3745309875998935
3OAS4M5,0.0,0.0
3OAS4M6,1.374530987597416,1.3745309875995526
3OAS5M6,1.374530987597416,1.3745309875999336
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,1.3745309875974165,1.3745309875995146
3OAS7M8,1.374530987597416,1.3745309875993916
3OAS80,0.0,0.0
3OAS8M10,1.3745309875974168,1.3745309875994225
3OAS8M9,0.0,0.0
3OAS9M10,1.3745309875974165,1.3745309875998821
4HBZCL,0.0,0.0
4HTHDR,0.0,0.0
4HTHDS,0.0,0.0
4HTHRS,0.0,0.0
