,minimum,maximum
23DHMPO,-24.96707830383683,-0.23643529337140262
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,0.2364352933718327,24.967078303837035
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,6.504280326357777,6.504280326361514
3HAD10M12,6.504280326357777,6.504280326361511
3HAD11M12,6.504280326357777,6.50428032635785
3HAD12M14,6.504280326357777,6.50428032635781
3HAD13M14,6.504280326357777,6.504280326357815
3HAD14M16,6.504280326357777,6.504280326357809
3HAD15M16,6.504280326357777,6.504280326357809
3HAD4M6,6.504280326357777,6.5042803263578115
3HAD5M6,6.504280326357817,6.504280326357834
3HAD6M8,6.504280326357777,6.504280326357812
3HAD7M8,6.504280326357817,6.504280326357813
3HAD8M10,6.504280326357777,6.504280326357806
3HAD9M10,6.504280326357819,6.504280326357813
3HLYTCL,0.0,1.7760433702808572e-11
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.504280326357777,6.504280326357837
3OAR11M12,6.504280326357777,6.504280326357808
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.504280326357777,6.50428032635781
3OAR13M14,6.504280326357777,6.504280326357809
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,6.504280326357777,6.504280326357809
3OAR15M16,6.504280326357777,6.50428032635781
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.504280326357777,6.50428032635781
3OAR5M6,6.504280326357817,6.50428032635783
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.504280326357777,6.50428032635781
3OAR7M8,6.504280326357817,6.504280326357829
3OAR80,0.0,0.0
3OAR8M10,6.504280326357777,6.50428032635781
3OAR8M9,0.0,0.0
3OAR9M10,6.504280326357818,6.504280326357829
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.504280326357777,6.504280326357807
3OAS11M12,6.504280326357777,6.504280326357809
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.504280326357777,6.504280326357818
3OAS13M14,6.504280326357777,6.504280326357818
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.504280326357818,6.504280326357837
3OAS4M3O6,6.504280326357777,6.504280326357818
3OAS4M5,0.0,0.0
3OAS4M6,6.504280326357777,6.504280326357807
3OAS5M6,6.504280326357817,6.504280326357817
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.504280326357777,6.504280326357812
3OAS7M8,6.504280326357817,6.504280326357833
3OAS80,0.0,0.0
3OAS8M10,6.504280326357777,6.504280326357812
3OAS8M9,0.0,0.0
3OAS9M10,6.504280326357777,6.504280326357827
4HTHRS,0.0,0.0
5AIZCDC,0.0,0.0
5DGCLURI,0.0,0.0
5DOAN,0.0,0.0
5FURAt,-170.7423980403871,0.0
5MTHCYST,-1.0568015876804055e-11,0.0
6PHBG,0.0,538.4571059177542
6PHBG2,0.0,538.4571059177597
AACOAT,0.0,3.051802524430323e-11
AB6PGH,0.0,538.4571059177684
AB6PGH2,0.0,538.45710591776
ABTOXy,0.0,0.0
ACACCTr,0.0,2.838257440789938e-11
ACACT1r,24.790009534149,24.79000953414922
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,39.41204158488443,1000.0
ACALDt,-999.9999999999995,999.9999999999999
ACBIPGT,0.23643529337160568,0.2364352933716077
ACCOACL,0.0,0.0
ACEDIPIT,0.0,0.0
ACGAMT,0.4136949522000193,0.4136949522000223
ACGApts,0.0,2.2065993388337902e-11
ACGK,18.836940699104098,18.836940699104016
ACGS,0.0,2.206599338833792e-11
ACHBPL,0.23643529337140262,24.96707830383683
ACKr,-995.6377631106598,-993.7128751634632
ACLDC,0.0,4.0997871358761977e-11
ACLS_a,0.0,4.315949898011602e-11
ACLS_b,-26.894753232491194,-26.89475323240433
ACOAAGPAT140,0.0,8.165143000711833e-12
ACOAAGPAT160,0.0,1.3879368449422961e-11
ACOAAGPAT180,0.0,3.2521401631789226
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.252140163178888,3.2521401631789026
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.252140163178888,3.252140163178904
ACOATA,0.0,0.0
ACODAr,-6.2609528866755575e-15,2.6313889328078918e-11
ACONTa,-50.12817633335762,-40.179835898668166
ACONTb,-50.12817633334895,-40.179835898662155
ACOTA,-18.836940699104275,-18.836940699103867
ACPS1,0.23643529337160563,0.2364352933716084
ACS,0.0,1.253225408466575e-11
ACTNDH,0.0,4.418298570306594e-11
ACtr,-1000.0,-999.999999999954
ADA,0.0,4.362063080595572e-11
ADCS,0.0,0.0
ADD,0.0,3.98867763738442e-11
ADK1,155.37761633133366,157.30250427857192
ADK2,0.23643529337160568,0.23643529338569783
ADNCYC,0.0,8.346351219903949e-12
ADNUC,0.0,3.6002673579784414e-11
ADOCBIK,0.23643529337160568,0.23643529337160832
ADOCBLS,0.23643529337160565,0.23643529337160735
ADPRDP,0.0,0.0
ADPT,0.0,2.9370067854860794e-11
ADSL1r,11.435710464385043,11.43571046442883
ADSL2r,-1.7343993471576e-11,0.0
ADSS,11.435710464384389,11.435710464426386
AGDC,0.0,4.254257537417936e-11
AGPAT120,0.0,8.282398254295374e-12
AGPAT140,0.0,7.672771281827772e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,3.252140163178941
AGPAT181,0.0,0.0
AGPR,-18.83694069910428,-18.83694069910386
AGTi,0.0,0.0
AHCYSNS_r,0.23643529337160565,0.23643529338297736
AHSERL2,0.0,6.2871248365406815
AHSERL3,-6.287124836535362,0.0
AICART,-1.9374986928752843e-11,0.0
AIHPDCOATA,6.504280326357776,6.504280326357808
AIPDCOATA,0.0,0.0
AIRC4,-1.919221473664552e-11,0.0
AKGt2r,829.2576019596027,1000.0
ALAALA,1.9097313491093904,1.9097313491094103
ALAASP1c,0.0,1.6914698764579507e-11
ALAASPabc,0.0,2.271567673085631e-11
ALACI,-973.1052467675921,999.9999999999999
ALAD_R,-1000.0,109.76259384452253
ALAGLN1c,0.0,28.148704017369813
ALAGLNabc,0.0,28.148704017362977
ALAGLU1c,0.0,2.8652884640355567e-11
ALAGLUabc,0.0,3.288615159057378e-11
ALAGLY1c,0.0,3.288615159057379e-11
ALAGLYabc,0.0,3.4868701532072863e-11
ALAHIS1c,0.0,3.4868701532073064e-11
ALAHISabc,0.0,3.0139868847111504e-11
ALALEU1c,0.0,3.014439027958164e-11
ALALEUabc,0.0,3.698079617469622e-11
ALAPGPL,0.13789831740000644,0.13789831740000769
ALAR,-128.23081307371538,1000.0
ALATA_D,-138.25570005492727,989.9751130187807
ALATHR1c,6.168048188602644,40.84703163372898
ALATHRabc,6.1680481886085925,40.84703163372894
ALCD19,-966.833533047988,777.7842084281618
ALCD2x,-759.1493834682611,1000.0
ALLTN,0.0,0.0
ALLTNt2r,0.0,0.0
AMANK,0.0,1.035873421970231e-11
AMETDNAMT,0.0,0.0
AMMQLT8,0.2364352933716057,0.23643529337160812
AMPTASECG,0.0,1.924887947149168
AMPTASEGC,0.0,1.9248879471543507
AMY1e,0.0,159.31863697117674
ANPRT,3.604139744139039,3.604139744139066
ANS,0.0,2.1450913433262243e-11
ANS2,3.6041397441039242,3.6041397441390663
APAT,0.0,0.0
ARBTpts,0.0,538.4571059177488
ARBabc,0.0,3.215002327275745e-11
ARGDA,971.2147188662609,981.1630593009263
ARGSL,0.0,3.3802680864682027e-11
ARGSS,0.0,3.3709381123703824e-11
ARSENBabc,0.0,3.370930329323262e-11
ASAD,-9.948340434639928,0.0
ASCBPL,0.0,0.0
ASNS1,0.0,3.633110211414343e-11
ASNS2,13.409618743569284,15.334506690738527
ASPCT,0.0,3.460960027169243e-11
ASPKi,0.0,9.948340434634646
ASPTA,-50.128176333348115,-40.17983589867929
ATPS4,999.9999999999804,1000.0
BGLA,0.0,0.0
BGLA1,0.0,269.22855295887973
BPNT,0.2364352933716056,0.23643529337160746
BTNCLi,0.0,0.0
BTNabc,0.0,0.0
BUTCTr,0.0,0.0
CAt4i,0.23643529337160565,0.23643529337160665
CBIAT,0.23643529337160568,0.23643529337160635
CBMKr,-981.1630593009043,-971.214718866288
CBPS,0.0,0.0
CD2abc1,0.0,2.881852524789885e-11
CDPGLYCGPT,0.41369495220001923,0.41369495220002245
CDPMEK,0.0,0.0
CELBpts,0.0,269.22855295887
CGLYabc,0.0,1.924887947149129
CHLabc,0.0,0.0
CHOLabc,0.0,3.372192790077169e-11
CHORS,4.07701033088225,4.077010330884173
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.8130350407947221,0.8130350407947294
CLPNSAI15,0.0,0.0
CLPNSAI17,0.8130350407947221,0.8130350407947267
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.8130350407947221,0.8130350407947267
CMLDC,0.0,0.0
CO2t,-1000.0,-999.9999999999777
COBALTt5,-0.23643529337160776,-0.23643529337160563
CPPPGO,0.0,0.0
CPPPGO2,0.0,3.719690318040741e-12
CRNabc,0.0,3.063226438592698e-11
CSND,0.0,28.372693338554306
CTBTabc,0.0,3.4163086137575865e-11
CTPS1,35.63869770383677,35.63869770388457
CTPS2,0.0,3.225453383938736e-11
CYSDS,0.0,3.123720002011123e-11
CYSS,0.0,6.28712483652674
CYSS3r,0.0,6.287124836531019
CYSTGL,0.23643529337160565,0.2364352933716079
CYSTL,0.0,170.74239804033976
CYSTS,0.23643529337160568,170.97883333373142
CYTBD,0.0,1000.0
CYTBD2,0.0,1000.0
CYTD,0.0,28.37269333856373
CYTDK1,0.0,4.847755931388333e-11
CYTDK2,0.0,5.13217567048617e-11
CYTDK3,0.0,5.0691089856278594e-11
CYTDK4,0.0,4.922147711516644e-11
CYTK1,-1.598779293524763e-11,28.372693338563696
CYTK2,-28.372693338554573,0.0
Cuabc,0.23643529337160568,0.23643529339714758
Cut1,0.0,2.4739294179513902e-11
D5KGK,0.0,0.0
DAAD,0.0,1000.0
DADA,0.0,4.7846295607901115e-11
DADNK,0.23643529333788194,0.23643529342342995
DAGK120,0.0,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
DAGK161,0.0,0.0
DAGK180,0.0,0.0
DAGK181,0.0,0.0
DAPDAi,0.0,0.0
DAPDC,21.794958869688724,21.794958869688998
DAPE,0.0,0.0
DAPabc,23.704690218798113,23.704690218798262
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,3.252140163178888,3.252140163178909
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,3.252140163178888,3.2521401631789084
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,3.252140163178888,3.2521401631789093
DCYTD,0.0,28.372693338549826
DDCAt,-78.05136391629395,-78.05136391626644
DDPA,4.077010330882249,4.07701033088208
DDPGA,0.0,0.0
DEXTRINASE,0.0,2.746716424384573e-11
DEXTRINabc,0.0,5.559175985206238e-11
DFDCYTDD,0.0,5.5409141360244887e-11
DFDCYTDabc,0.0,6.029681907007673e-11
DFDURIte,0.0,6.029681907007673e-11
DGK1,-1.6191143707752197e-11,0.0
DHAD1,26.894753232415525,26.89475323245016
DHAD2,0.2364352933716057,24.967078303835113
DHAPT,0.0,951.9655339725343
DHFOR2,-0.7093058801148228,-0.709305880114817
DHFR,2.312011130516886,2.3120111305262814
DHFS,0.0,0.0
DHNAOT4,0.47287058674321136,0.4728705867429742
DHNAS,0.0,0.0
DHORD2,0.0,2.413888491662505e-11
DHORD5,0.0,4.8152921057738676e-11
DHORTS,-3.214002070149595e-11,0.0
DHPR,0.0,0.0
DHQS,4.077010330882046,4.077010330882269
DHQTi,4.077010330882249,4.077010330882086
DKDID,0.0,0.0
DKDID2,0.0,0.0
DMATT,2.3826019358526027,2.382601935852614
DMQMT,0.0,0.0
DM_2HYMEPH,0.0,538.4571059177894
DM_4HBA,0.0,7.7612825493982e-12
DM_5DRIB,0.0,7.525646231530253e-12
DM_HQN,0.0,538.4571059177619
DM_NA1,0.0,1000.0
DM_atp_c_,0.0,2.972826837496604e-11
DM_dhptd(c),0.23643529337160568,0.23643529337969613
DOPA34DHPHEt,-1000.0000000000001,280.38476990213024
DOPA34DHPHEt6,-280.38476990211933,1000.0
DPCOAK,0.47287058674270843,0.4728705867434605
DPMVDc,24.79000953414899,24.79000953414916
DPRr,0.0,0.0
DRBK,0.0,2.7025075526135072e-11
DRIBabc,0.0,3.075012327052786e-11
DRPAr,-1.8391405438116737,26.533552794794613
DTMPK,1.602705250402068,1.6027052504083639
DURIK1,1.6027052503823838,1.6027052504348176
DURIPP,-1.602705250402086,26.769988088151383
DUTPDP,0.0,1.3801563704358293e-11
DXPRIr,0.0,0.0
D_LACD,0.0,0.0
D_LACt2,-1000.0000000000371,1000.0
E4PD,0.0,0.0
EAR100x,0.0,0.0
EAR10M11x,0.0,0.0
EAR10M12x,6.504280326357776,6.504280326357829
EAR11M12x,6.504280326357776,6.504280326357808
EAR120x,0.0,0.0
EAR12M13x,0.0,0.0
EAR12M14x,6.504280326357776,6.50428032635781
EAR13M14x,6.504280326357776,6.504280326357814
EAR140x,0.0,0.0
EAR14M15x,0.0,0.0
EAR14M16x,6.504280326357776,6.504280326357806
EAR15M16x,6.504280326357776,6.504280326357806
EAR160x,0.0,0.0
EAR180x,0.0,0.0
EAR40x,0.0,0.0
EAR4M5x,0.0,0.0
EAR4M6x,6.504280326357776,6.50428032635781
EAR5M6x,6.504280326357798,6.504280326357844
EAR60x,0.0,0.0
EAR6M7x,0.0,0.0
EAR6M8x,6.504280326357776,6.504280326357817
EAR7M8x,6.504280326357797,6.504280326357833
EAR80x,0.0,0.0
EAR8M10x,6.504280326357776,6.504280326357814
EAR8M9x,0.0,0.0
EAR9M10x,6.504280326357776,6.504280326357821
EDA_R,0.0,0.0
EHGLAT,0.0,0.0
ENO,999.9999999999618,1000.0
ETHAAL,0.0,170.74239804036037
ETHAt2,0.0,170.74239804036526
ETOHt2r,-759.149383468262,1000.0
EX_26dap_M(e),-23.704690218798365,-23.704690218798113
EX_34dhphe(e),-2.2867766177960345e-11,0.0
EX_4abut(e),0.0,3.541411107174685e-11
EX_5fura(e),0.0,170.74239804036355
EX_C02528(e),0.0,1000.0
EX_ac(e),999.9999999999629,1000.0
EX_acald(e),-1000.0,1000.0
EX_acgam(e),-4.1099980623586015e-11,0.0
EX_akg(e),-1000.0000000000002,-829.2576019596469
EX_alaasp(e),-1.9597264118891525e-11,0.0
EX_alagln(e),-28.148704017375984,0.0
EX_alaglu(e),-3.673685002974833e-11,0.0
EX_alagly(e),-4.214731933558871e-11,0.0
EX_alahis(e),-4.047303173255434e-11,0.0
EX_alaleu(e),-3.510764807150487e-11,0.0
EX_alathr(e),-40.84703163372898,-6.168048188614131
EX_alltn(e),0.0,0.0
EX_arab_L(e),0.0,0.0
EX_arbt(e),-538.4571059177447,0.0
EX_arg_L(e),-1000.0000000000002,-990.0516595653488
EX_arsenb(e),-3.4210798646143036e-11,0.0
EX_biomass(e),76.3556574750866,76.35565747508716
EX_btn(e),-3.171112808866091e-11,0.0
EX_ca2(e),-0.23643529337160762,-0.23643529337160565
EX_cd2(e),0.0,0.0
EX_cellb(e),-269.2285529588692,0.0
EX_cgly(e),-1.9248879471543547,0.0
EX_chol(e),-3.291775576300783e-11,0.0
EX_cholate(e),0.0,1000.0
EX_chols(e),-3.4305059643395685e-11,0.0
EX_cl(e),-0.23643529337160765,-0.23643529337160563
EX_co2(e),999.9999999999555,1000.0
EX_cobalt2(e),-0.23643529337160765,-0.23643529337160563
EX_crn(e),0.0,0.0
EX_ctbt(e),0.0,0.0
EX_cu2(e),-0.23643529337160737,-0.23643529337160568
EX_ddca(e),78.05136391629335,78.05136391629382
EX_dextrin(e),-3.475172308005312e-11,0.0
EX_dfdcytd(e),-3.4966167553544924e-11,0.0
EX_dfduri(e),0.0,3.0753997753781036e-11
EX_dgchol(e),-1000.0,0.0
EX_dopa(e),0.0,3.7366107270843875e-11
EX_drib(e),-2.737105800086507e-11,0.0
EX_etha(e),-170.7423980403909,0.0
EX_etoh(e),-1000.0000000000001,759.1493834682851
EX_fcsn(e),-170.74239804038,0.0
EX_fe2(e),-0.472870586743216,-0.23643529337160565
EX_fe3(e),-0.23643529337160682,0.0
EX_fecrm(e),0.0,0.0
EX_fol(e),-0.7093058801148194,-0.7093058801148169
EX_for(e),39.4120415849417,1000.0000000000001
EX_fru(e),-785.2182079659192,0.0
EX_gal(e),-3.2787236363581414e-11,0.0
EX_galt(e),0.0,0.0
EX_gam(e),-185.9125873561971,-15.170189315793907
EX_gbbtn(e),-3.4352669101759196e-11,0.0
EX_gchola(e),-999.9999999999989,0.0
EX_glc_D(e),-538.4571059177684,1000.0
EX_glcn(e),-2.8930291978067107e-11,0.0
EX_gln_L(e),-28.148704017364754,0.0
EX_glu_L(e),720.0881006846075,933.0553681979034
EX_gly(e),1.3370930295630738e-12,1000.0
EX_glyasn(e),-1.9248879471526876,0.0
EX_glyasp(e),-1.6483143972355372e-11,0.0
EX_glyb(e),-2.1429482870349177e-15,0.0
EX_glyc(e),-964.394427925595,727.1188713942761
EX_glyc3p(e),-83.72447473323916,-83.72447473317634
EX_glycys(e),-1.9248879471529032,0.0
EX_glygln(e),-1.924887947156295,0.0
EX_glyglu(e),-3.8248707407945684e-11,0.0
EX_glyleu(e),-35.167430585930866,-35.16743058590679
EX_glymet(e),-1.9248879471382057,0.0
EX_glyphe(e),-3.3660014054744537e-11,0.0
EX_glypro(e),-1.9248879471585598,0.0
EX_glytyr(e),-3.2986060971386125e-11,0.0
EX_h(e),-266.60413901885283,1000.0
EX_h2o(e),-1000.0,759.1493834682806
EX_h2s(e),-6.28712483650061,-4.362236889354384
EX_hg2(e),0.0,2.293923356298113e-11
EX_his_L(e),-6.052254834105321,-6.052254834072771
EX_hxan(e),-22.619218192133705,-11.435710464384439
EX_ile_L(e),-24.730643010462313,0.0
