,minimum,maximum
12PPDSDH,0.0,1000.0
12PPD_Stex,-4.854893127828474e-11,1000.0
12PPDtpp,-4.397270569222732e-11,999.9999999999998
23DHMPO,-182.13893268503531,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25K5O2AI,0.0,0.0
26DAP_Mtex,2.7859253305528187,2.785925330597621
26DAPt2rpp,2.785925330547967,2.7859253305900205
2AHBUTI,1.1243199359772164e-13,182.13893268502122
2DDGLCNtex,-1000.0000000000001,3.3977605647730566e-11
2DH3DGLCA,-8.704470300220567e-12,0.0
2MBCOATA,9.488475605116827,9.488475605119584
2OMMBOX,0.0,0.0
2OMPHH,0.0,5.903205586369282e-13
34DCCBR,0.0,0.0
3CARLPDH,-2.8443421809156084e-12,0.0
3HAD100,0.0,3.5060105658396814e-12
3HAD10M12,9.488475605116827,9.48847560511953
3HAD11M12,9.488475605116827,9.488475605119302
3HAD120,0.0,3.2261374144302534e-12
3HAD12M14,9.488475605116827,9.48847560511953
3HAD13M14,9.488475605116827,9.488475605119302
3HAD140,0.0,972.1245954339047
3HAD14M16,9.488475605116825,9.48847560511686
3HAD15M16,9.488475605116825,9.488475605116852
3HAD160,0.0,7.295726345587827e-12
3HAD180,0.0,1.7196970628843512e-11
3HAD40,0.0,2.8350492380779114e-12
3HAD4M6,9.488475605116827,9.488475605119612
3HAD5M6,9.488475605105965,9.4884756051201
3HAD60,8.884889833306011e-15,3.3301449081977526e-12
3HAD6M8,9.488475605116824,9.488475605119612
3HAD7M8,9.488475605116827,9.488475605119993
3HAD80,0.0,3.3301449081977526e-12
3HAD8M10,9.488475605116827,9.488475605119612
3HAD9M10,9.488475605116827,9.488475605119993
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3MOBS,-1.081469875326042e-11,0.0
3OAR100,0.0,3.330144908197753e-12
3OAR10M11,0.0,0.0
3OAR10M12,9.488475605116827,9.488475605119584
3OAR11M12,9.488475605116827,9.488475605119744
3OAR120,0.0,3.0894115413400858e-12
3OAR12M13,0.0,0.0
3OAR12M14,9.488475605116827,9.48847560511986
3OAR13M14,9.488475605116827,9.488475605119744
3OAR140,22.300323652878575,994.4249190867838
3OAR14M15,0.0,0.0
3OAR14M16,9.488475605116825,9.488475605116859
3OAR15M16,9.488475605116825,9.488475605116847
3OAR160,0.0,6.2471051277204715e-12
3OAR180,0.0,1.580369973167475e-11
3OAR40,0.0,3.334691145489698e-12
3OAR4M5,0.0,0.0
3OAR4M6,9.488475605116827,9.48847560511986
3OAR5M6,9.48847560510823,9.488475605119858
3OAR60,1.1538817965332482e-14,3.437137515690053e-12
3OAR6M7,0.0,0.0
3OAR6M8,9.488475605116825,9.488475605119557
3OAR7M8,9.488475605116827,9.488475605119573
3OAR80,0.0,3.3738706884453075e-12
3OAR8M10,9.488475605116827,9.488475605119557
3OAR8M9,0.0,0.0
3OAR9M10,9.488475605116827,9.488475605119827
3OAS100,0.0,3.4158193470938313e-12
3OAS10M11,0.0,0.0
3OAS10M12,9.488475605116829,9.488475605119596
3OAS11M12,9.488475605116829,9.48847560511983
3OAS120,0.0,3.4158193470938313e-12
3OAS12M13,0.0,0.0
3OAS12M14,9.488475605116827,9.488475605116857
3OAS13M14,9.488475605116827,9.48847560511685
3OAS140,22.30032365287858,994.4249190867831
3OAS160,0.0,8.303072143933497e-12
3OAS180,0.0,1.7631586773397858e-11
3OAS2M3,0.0,0.0
3OAS3M4,9.488475605116843,9.488475605120236
3OAS4M3O6,9.488475605116829,9.488475605119675
3OAS4M5,0.0,0.0
3OAS4M6,9.488475605116829,9.488475605119813
3OAS5M6,9.488475605116829,9.48847560511983
3OAS60,0.0,3.4158193470938313e-12
3OAS6M7,0.0,0.0
