,minimum,maximum
12DGR180ti,3.401428992514966,3.401428992514932
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2MBCOATA,6.802857985029926,6.802857985029959
36DAHXI,0.0,0.0
3HAD10M12,6.802857985029925,6.802857985029946
3HAD11M12,6.802857985029931,6.802857985029938
3HAD12M14,6.802857985029925,6.802857985029932
3HAD13M14,6.802857985029925,6.802857985029928
3HAD14M16,6.802857985029924,6.802857985029927
3HAD15M16,6.802857985029924,6.802857985029862
3HAD4M6,6.802857985029925,6.8028579850298625
3HAD5M6,6.802857985029931,6.802857985029925
3HAD6M8,6.802857985029925,6.802857985029932
3HAD7M8,6.802857985029931,6.802857985029925
3HAD8M10,6.802857985029925,6.802857985029932
3HAD9M10,6.802857985029931,6.802857985029925
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.802857985029924,6.802857985029932
3OAR11M12,6.80285798502993,6.802857985029924
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.802857985029924,6.802857985029932
3OAR13M14,6.802857985029924,6.802857985029928
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,6.802857985029923,6.802857985029927
3OAR15M16,6.802857985029923,6.802857985029861
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.802857985029924,6.8028579850298625
3OAR5M6,6.80285798502993,6.802857985029924
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.802857985029924,6.802857985029932
3OAR7M8,6.80285798502993,6.802857985029924
3OAR80,0.0,0.0
3OAR8M10,6.802857985029924,6.802857985029932
3OAR8M9,0.0,0.0
3OAR9M10,6.80285798502993,6.802857985029924
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.802857985029926,6.802857985029951
3OAS11M12,6.802857985029926,6.80285798502987
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.802857985029925,6.802857985029941
3OAS13M14,6.802857985029925,6.802857985029941
3OAS140,0.0,0.0
3OAS160,0.0,0.0
