,minimum,maximum
12DGR180ti,1.784917840960987,1.784917840960984
12PPDSDH,0.0,0.0
13PPDHr,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPt2r,0.07754445484931587,0.07754445484398975
2MBCOATA,3.5698356819219708,3.5698356819213295
36DAHXI,0.0,0.0
3HAD10M12,3.5698356819219743,3.569835681919848
3HAD11M12,3.5698356819219734,3.569835681919847
3HAD12M14,3.5698356819219734,3.5698356819203556
3HAD13M14,3.5698356819219734,3.569835681920248
3HAD14M16,3.5698356819219734,3.5698356819219685
3HAD15M16,3.5698356819219734,3.5698356819219756
3HAD4M6,3.5698356819219756,3.569835681921976
3HAD5M6,3.5698356819219756,3.569835681921973
3HAD6M8,3.5698356819219748,3.5698356819219796
3HAD7M8,3.5698356819219748,3.5698356819219788
3HAD8M10,3.5698356819219743,3.5698356819219796
3HAD9M10,3.5698356819219743,3.5698356819219788
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.5698356819219743,3.5698356819219796
3OAR11M12,3.569835681921974,3.5698356819219788
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.569835681921974,3.5698356819219788
3OAR13M14,3.569835681921974,3.5698356819219788
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.569835681921974,3.5698356819219788
3OAR15M16,3.569835681921974,3.5698356819219788
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.5698356819219788,3.569835681921975
3OAR5M6,3.569835681921975,3.5698356819219788
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.5698356819219743,3.5698356819219796
3OAR7M8,3.5698356819219743,3.5698356819219788
3OAR80,0.0,0.0
3OAR8M10,3.5698356819219743,3.5698356819219796
3OAR8M9,0.0,0.0
3OAR9M10,3.5698356819219743,3.5698356819219788
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.5698356819219743,3.569835681921971
3OAS11M12,3.5698356819219743,3.569835681921972
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.5698356819219743,3.569835681921979
3OAS13M14,3.5698356819219743,3.5698356819219783
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.569835681921976,3.5698356819219708
3OAS4M3O6,3.569835681921971,3.569835681921967
3OAS4M5,0.0,0.0
3OAS4M6,3.5698356819219756,3.569835681921971
3OAS5M6,3.5698356819219756,3.569835681921971
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.5698356819219748,3.569835681921971
3OAS7M8,3.5698356819219748,3.569835681921971
3OAS80,0.0,0.0
3OAS8M10,3.5698356819219748,3.569835681921968
3OAS8M9,0.0,0.0
3OAS9M10,3.5698356819219743,3.569835681921976
4HBNOX,0.0,0.0
4HBZt2,0.3408890472106269,0.34088904721044117
4NTPPH2,0.0,0.0
5AIZCDC,0.0,4.232854135492472e-12
5C2O3EDDC,0.0,-8.238123344342748e-12
5DOAN,0.0,-1.701484397040441e-12
6PGALSZ2i,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACGLYDH,0.0,0.0
AB6PGH,0.0,532.3807291706705
AB6PGH2,0.0,532.3807291706707
ABUTD,0.0,1000.0
ABUTR,-999.9999999999999,-7.052205076274585e-13
ACACT1r,12.26907325605676,945.1427745216704
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACACt2,-945.1427745216744,-12.269073256057618
ACALD,67.12629873437653,1000.0
ACALDt,635.4255748822872,1000.0
ACBIPGT,0.34088904721062674,0.34088904721062646
ACCOACL,42.838028183063685,42.83802818306361
ACGAMT,0.23263336454794747,0.23263336454794745
ACGApts,0.0,0.0
ACKr,0.0,0.0
ACNML,0.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.7849178409609872,1.784917840960987
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.7849178409609872,1.7849178409609892
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACODAr,0.0,0.0
ACPS1,0.34088904721062685,0.3408890472106264
ADA,0.0,-8.517223737136954e-12
ADCL,0.0,0.0
ADCPS1,0.0,-4.63473560495857e-12
ADCPS2,0.0,-7.388473469510047e-12
ADCS,0.0,0.0
ADCYRS,0.0,-1.4351160450476606e-12
ADK1,338.2004601855472,338.88223827995347
ADK2,0.34088904721062685,0.3408890472106263
ADMDC,0.0,0.0
ADOCBIK,0.0,0.3408890472106265
ADOCBIK2,0.0,0.34088904721062646
ADOCBLS,0.3408890472106268,0.34088904721062646
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.5326399412959684,0.5326399412846791
ADSL1r,4.353205985558289,4.353205985553674
ADSL2r,0.0,0.0
ADSS,4.353205985558893,4.353205985553445
AGDC,0.0,0.0
AGMD,0.0,-2.849122046503425e-12
AGMT,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AHCYSNS_r,1.3635561888425072,1.3635561888425067
AHEXASE3,0.0,0.0
AHMMPS,0.0,0.0
