,minimum,maximum
12PPDSDH,0.0,0.0
13PPDHr,0.0,0.0
17DMXOR,0.0,0.0
1HIBUPGLU_St,0.0,-3.521676685073531e-11
1HIBUP_S_GLCAASE,0.0,-2.0271426570031448e-11
1HIBUP_Ste,0.0,-2.0271426570031448e-11
1HMDGLUC_GLCAASE,0.0,-3.943576825390796e-11
1HMDGLUCt,0.0,-6.384809865254804e-11
1MXOR,0.0,0.0
1OHMDZte,0.0,-6.384809865254804e-11
1P4H2CBXLAH,0.0,0.0
23DAPAL,0.0,0.0
23PDE2,0.0,-6.193879011099061e-11
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,41.53693260768477,41.53693260766099
2CLDHOFAL,0.0,0.0
2DHPL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2DOXG6PP,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,-3.5795144408502897e-11
2HATVACIDGLUCt,0.0,-1.971982312594896e-11
2HATVACIDte,0.0,-1.971982312594896e-11
2HATVLACGLUC_GLCAASE,0.0,-3.895207662784181e-11
2HATVLACGLUCt,0.0,-6.122798229315622e-11
2HATVLACte,0.0,-6.122798229315622e-11
2HBO,0.0,0.0
2HEDCCL,-1000.0,1000.0
2HIBUPGLU_St,0.0,-2.8344870050792314e-11
2HIBUP_S_GLCAASE,0.0,-1.8616616237783983e-11
2HIBUP_Ste,0.0,-1.8616616237783983e-11
2IMZS,-3.9596651248703176e-27,-9.48068419516778e-12
2INSD,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,11.397231985888265,11.397231985888242
2OH_CBZ_GLC_GLCAASE,0.0,-8.894161555003242e-11
2OH_CBZ_GLCt,0.0,-6.633031415091924e-11
2OH_CBZte,0.0,-6.633031415091924e-11
2OH_MTZ_GLC_GLCAASE,0.0,-6.298860011287182e-11
2OH_MTZ_GLCt,0.0,-6.508920640173365e-11
2OH_MTZte,0.0,-6.508920640173365e-11
2RCDHOFAL,0.0,0.0
2S6HCC,0.0,-8.189288059720164e-12
34DHOXPEGOX,0.0,0.0
37DMXOR,0.0,0.0
3CALACL,0.0,0.0
3CARLPDH,0.0,0.0
3HACOAOR,0.0,0.0
3HAD100,11.397231985888292,11.397231985888263
3HAD10M12,11.397231985888265,11.39723198588821
3HAD11M12,11.397231985888292,11.397231985888242
3HAD120,11.397231985888292,11.397231985888242
3HAD12M14,11.397231985888265,11.397231985888213
3HAD13M14,11.397231985888292,11.397231985888244
3HAD140,11.397231985888292,11.397231985888242
3HAD14M16,11.397231985888292,11.397231985888244
3HAD15M16,11.397231985888292,11.397231985888244
3HAD160,11.397231985888292,11.397231985888242
3HAD180,11.397231985888292,11.397231985888242
3HAD40,11.397231985888292,11.397231985888242
3HAD4M6,11.397231985888265,11.397231985888213
3HAD5M6,11.397231985888292,11.397231985888244
3HAD60,11.397231985888292,11.397231985888242
3HAD6M8,11.397231985888265,11.397231985888213
3HAD7M8,11.397231985888292,11.397231985888244
3HAD80,11.397231985888292,11.397231985888242
3HAD8M10,11.397231985888267,11.397231985888213
3HAD9M10,11.397231985888292,11.397231985888244
3HBCOAE,1.6980087206408993e-11,999.9999999999999
3HIBUPGLU_St,0.0,-4.061495738989913e-11
3HIBUP_S_GLCAASE,0.0,-1.7927111932680872e-11
3HIBUP_Ste,0.0,-1.7927111932680872e-11
3HXKYNDCL,0.0,0.0
3MEACMPte,0.0,-2.7488238296777357e-11
3OAR100,11.39723198588829,11.397231985888265
3OAR10M11,0.0,0.0
3OAR10M12,11.39723198588827,11.397231985888219
3OAR11M12,11.397231985888292,11.397231985888231
3OAR120,11.39723198588829,11.39723198588823
3OAR12M13,0.0,0.0
3OAR12M14,11.397231985888268,11.397231985888233
3OAR13M14,11.397231985888292,11.397231985888228
3OAR140,11.39723198588829,11.397231985888226
3OAR14M15,0.0,0.0
3OAR14M16,11.397231985888268,11.39723198588822
3OAR15M16,11.397231985888292,11.397231985888233
3OAR160,11.39723198588829,11.397231985888233
3OAR180,11.39723198588829,11.397231985888233
3OAR40,11.39723198588829,11.397231985888231
3OAR4M5,0.0,0.0
3OAR4M6,11.397231985888268,11.39723198588822
3OAR5M6,11.397231985888292,11.397231985888233
3OAR60,11.39723198588829,11.397231985888231
3OAR6M7,0.0,0.0
3OAR6M8,11.397231985888268,11.397231985888201
3OAR7M8,11.397231985888292,11.397231985888233
3OAR80,11.39723198588829,11.397231985888231
3OAR8M10,11.397231985888268,11.397231985888201
3OAR8M9,0.0,0.0
3OAR9M10,11.397231985888292,11.397231985888236
3OAS100,11.39723198588829,11.397231985888236
3OAS10M11,0.0,0.0
3OAS10M12,11.39723198588829,11.397231985888224
3OAS11M12,11.397231985888292,11.397231985888236
3OAS120,11.39723198588829,11.397231985888236
3OAS12M13,0.0,0.0
3OAS12M14,11.397231985888258,11.397231985888192
3OAS13M14,11.397231985888292,11.397231985888235
3OAS140,11.39723198588829,11.397231985888235
3OAS160,11.39723198588829,11.397231985888235
3OAS180,11.39723198588829,11.397231985888235
3OAS2M3,0.0,0.0
3OAS3M4,11.397231985888292,11.397231985888235
3OAS4M3O6,11.397231985888268,11.39723198588826
3OAS4M5,0.0,0.0
3OAS4M6,11.397231985888267,11.397231985888247
3OAS5M6,11.397231985888292,11.39723198588824
3OAS60,11.39723198588829,11.39723198588824
3OAS6M7,0.0,0.0
3OAS6M8,11.397231985888267,11.397231985888228
3OAS7M8,11.397231985888292,11.39723198588824
3OAS80,11.39723198588829,11.39723198588824
3OAS8M10,11.397231985888267,11.397231985888228
3OAS8M9,0.0,0.0
3OAS9M10,11.397231985888292,11.397231985888233
3OH_CBZ_GLC_GLCAASE,0.0,-8.32863683185273e-11
3OH_CBZ_GLCt,0.0,-6.770932276112547e-11
3OH_CBZte,0.0,-6.770932276112547e-11
3OH_DLOR_GLC_GLCAASE,0.0,-6.508822011663422e-11
3OH_DLOR_GLCt,0.0,-7.281165461888847e-11
3OH_DLORte,0.0,-6.770932276112547e-11
3OH_MDEA_GLC_GLCAASE,0.0,-6.088898010910943e-11
3OH_MDEA_GLCt,0.0,-7.019153825949667e-11
3OH_MDEAte,0.0,-6.895043051031107e-11
3OH_MXN_GLC_GLCAASE,0.0,-5.878936010534704e-11
3OH_MXN_GLCt,0.0,-6.633031415091924e-11
3OH_MXNte,0.0,-6.770932276112547e-11
4COHOR,0.0,0.0
4DH_TPNO_1GLC_GLCAASE,0.0,-3.30690150592577e-11
4DH_TPNO_1GLCt,0.0,-2.0823030014113934e-11
4DH_TPNOte,0.0,-2.3305245512485135e-11
