,minimum,maximum
23DHMPO,-4.920067308235419,-4.920067308235404
2AHBUTI,4.920067308235405,4.920067308235406
2INSD,0.0,0.0
2MBCOATA,4.92006730823539,4.920067308235379
3HAD10M12,4.920067308235391,4.920067308235375
3HAD11M12,4.920067308235391,4.9200673082353825
3HAD12M14,4.920067308235391,4.920067308235327
3HAD13M14,4.920067308235391,4.9200673082353275
3HAD14M16,4.920067308235391,4.9200673082353275
3HAD15M16,4.920067308235391,4.9200673082353275
3HAD4M6,4.920067308235391,4.920067308235323
3HAD5M6,4.920067308235391,4.920067308235324
3HAD6M8,4.920067308235391,4.920067308235324
3HAD7M8,4.920067308235391,4.920067308235325
3HAD8M10,4.920067308235391,4.920067308235325
3HAD9M10,4.920067308235391,4.920067308235326
3MOBS,-4.920067308235414,-4.920067308235399
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.920067308235401,4.920067308235416
3OAR11M12,4.920067308235391,4.9200673082353275
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.920067308235391,4.9200673082353275
3OAR13M14,4.920067308235391,4.920067308235328
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.920067308235391,4.920067308235328
3OAR15M16,4.920067308235391,4.920067308235328
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.9200673082353905,4.9200673082353426
3OAR5M6,4.920067308235391,4.9200673082353905
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.920067308235391,4.920067308235325
3OAR7M8,4.920067308235391,4.920067308235326
3OAR80,0.0,0.0
3OAR8M10,4.920067308235391,4.920067308235326
3OAR8M9,0.0,0.0
3OAR9M10,4.920067308235391,4.920067308235327
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.920067308235393,4.9200673082353905
3OAS11M12,4.920067308235393,4.9200673082353905
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.920067308235393,4.920067308235377
3OAS13M14,4.920067308235393,4.920067308235376
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.920067308235393,4.920067308235372
3OAS4M3O6,4.9200673082353905,4.920067308235401
3OAS4M5,0.0,0.0
3OAS4M6,4.920067308235393,4.920067308235376
3OAS5M6,4.920067308235393,4.920067308235386
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.920067308235393,4.9200673082353825
3OAS7M8,4.920067308235393,4.9200673082353825
3OAS80,0.0,0.0
3OAS8M10,4.920067308235393,4.920067308235309
3OAS8M9,0.0,0.0
3OAS9M10,4.920067308235393,4.920067308235384
4HBZt2,0.17884800455426403,0.17884800455415115
4HTHRS,0.0,0.0
56DFURADH,646.4990011223047,1000.0000000000002
5AIZCDC,0.0,1.1398777260407219e-11
5DGCLURI,0.0,0.0
5DOAN,0.0,3.78389989786041e-12
5FURAt,-1000.0,-646.499001122305
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
6PHBG,0.0,1.0859984213838572e-11
6PHBG2,0.0,7.661378878961523e-12
AB6PGH,0.0,2.0439150912643307e-11
AB6PGH2,0.0,1.1134865766207744e-11
ACACCTr,0.0,0.0
ACALD,115.02274560213928,115.02274560236391
ACALDt,999.999999999953,1000.0
ACBIPGT,0.1788480045542695,0.17884800455426983
ACCOACL,98.40134616470782,98.40134616470752
ACCOAT,0.0,0.0
ACGAMT,0.312933469618935,0.3129334696189346
ACGApts,0.0,0.0
ACGK,14.248927086561697,14.248927086561674
ACGS,0.0,0.0
ACHBPL,4.920067308235391,4.920067308235409
ACKr,-1000.0000000000001,-1000.0000000006124
ACLS_a,10.197830625579293,10.197830625598266
ACLS_b,-5.277763317343918,-5.277763317343932
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,2.3276543007488134e-11
ACOAAGPAT180,0.0,2.460033654117708
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.4600336541176966,2.4600336541176966
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.460033654117696,2.460033654117694
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,4.920067308235391,4.920067308235392
ACOTA,-14.248927086561753,-14.248927086561762
ACPS1,0.1788480045542695,0.17884800455427036
ACtr,-1000.0,-1000.000000000062
ADCPS1,0.0,1.2644937987121082e-11
ADCPS2,0.0,8.715309910477876e-28
ADCYRS,0.0,0.0
ADK1,55.30926378748669,55.66695979656904
ADK2,0.1788480045542695,0.1788480045542701
ADOCBIK,0.0,0.17884800455427224
ADOCBIK2,0.0,0.17884800455427227
ADOCBLS,0.1788480045542695,0.1788480045542703
ADPRDP,0.0,0.0
ADPT,0.3576960091085226,0.35769600910818605
ADSL1r,8.711541040176176,8.711541040177401
ADSL2r,0.0,7.998945438109583e-12
ADSS,8.711541040176177,8.711541040177694
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.4600336541177055
AGPAT181,0.0,0.0
AGPR,-14.248927086561713,-14.248927086561716
AGTi,0.0,0.0
AHC,0.3576960091197429,0.35769600910852417
AHCYSNS_r,1.6322912260621666e-13,-8.362200742488321e-11
AHEXASE3,0.0,0.0
AHSERL2,0.0,0.0
AHSERL3,0.0,0.0
AICART,0.0,7.970771477856159e-12
AIHPDCOATA,4.920067308235406,4.920067308235415
AIPDCOATA,0.0,0.0
AIRC4,0.0,-4.717138880378033e-11
ALAALA,1.4445882260315954,1.444588226031602
ALAASP1c,0.0,-5.6605666564536426e-11
ALAASPabc,0.0,1.4281653856774736e-11
ALACI,-994.7222366826562,1000.0
ALAGLN1c,0.0,1.1422289276846928e-11
ALAGLNabc,0.0,9.939628779082275e-12
ALAGLU1c,0.0,1.391548029071519e-11
ALAGLUabc,0.0,1.463926847335811e-11
ALAGLY1c,0.0,1.60546090039714e-11
ALAGLYabc,0.0,2.0614197177919997e-11
ALAHIS1c,4.57813926465076,4.578139264650314
ALAHISabc,4.578139264647599,4.5781392646502805
ALALEU1c,0.0,-5.950027451385912e-12
ALALEUabc,0.0,1.0690020141668743e-11
ALAPGPL,0.10431115653964498,0.10431115653964533
ALAR,7.583178496347216,7.58317849634719
ALATHR1c,17.111072740556914,17.111072740566645
ALATHRabc,17.111072740571743,17.11107274061487
ALAt2r,12.054985070400834,12.054985070447461
ALCD19,-1.8450252405882681,-1.8450252405882714
ALCD2x,-884.9772543977098,-884.9772543976214
ALLTNt2r,0.0,0.0
AMALT1,0.0,7.227676568620458e-12
AMALT2,0.0,8.262314403524086e-12
AMALT3,0.0,5.508209602349391e-12
AMALT4,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMID4,0.0,1.3045293593563828e-13
AMID5,0.0,0.0
AMMQT7rev,0.357696009108539,0.357696009108538
AMMQT8,0.1788480045542695,0.1788480045542697
AMPTASECG,0.0,4.755803227837279
AMPTASEGC,0.0,4.755803227837217
APRAUR,0.0,0.0
ARAI,0.0,-1.1993861641870202e-11
ARBTpts,0.0,3.302795269399155e-11
ARBabc,0.0,1.4020757417984284e-11
ARGDC,0.0,0.0
ARGSL,14.248927086561693,14.248927086561755
ARGSS,14.248927086561697,14.248927086561716
ASAD,-1.877160998639443e-11,0.0
ASNS1,0.0,4.458865780522604e-12
ASPCT,0.0,2.152433967449004e-12
ASPKi,0.0,2.6253709853078437e-11
ASPTA,0.0,0.0
ASPt2r,34.56003045667756,34.56003045669864
ATPPRT,0.0,2.585443144494409e-12
ATPS4,998.4350104995472,998.4350104995975
BGLA1,0.0,3.731281163769998e-11
BPNT,0.1788480045542695,0.17884800455427038
BTNCLi,98.40134616470782,98.40134616470631
BTNabc,0.0,0.0
BUP2,0.0,0.0
BUTCTr,0.0,0.0
BZAMAH,0.0,-3.675692634060789e-12
BZAMt2r,0.0,2.277208711994294e-11
BZte,0.0,2.277208711994294e-11
C180SN,4.920067308235392,4.920067308237103
CAt4i,0.1788480045542695,0.1788480045542707
CBIAT,0.1788480045542695,0.17884800455426933
CBPS,14.248927086561695,14.248927086560965
CD2abc1,0.0,3.768511098282701e-12
CDPGLYCGPT,0.312933469618935,0.31293346961893687
CDPMEK,17.678950531890237,17.67895053188924
CELBpts,0.0,-5.91987528524727e-11
CGLYabc,0.17884800455426997,4.934651232402235
CHORM,15.895033377469602,15.895033377474979
CHORS,0.0,0.0
CHORt,15.895033377461447,15.895033377478354
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.6150084135294239,0.6150084135294269
CLPNSAI15,0.0,0.0
CLPNSAI17,0.6150084135294239,0.6150084135294223
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.6150084135294239,0.6150084135294223
CMLDC,0.0,0.0
CO2t,-87.91388746911242,-64.95341934236981
COBALTt5,-0.1788480045542696,-0.1788480045542695
CPC3MT,0.0,0.0
CPC4MT,0.0,0.0
CPC6R,0.0,0.0
CPC8MM,0.0,0.0
CPPPGO,0.0,0.0
CPPPGO2,0.0,0.0
CRO4t3,0.0,0.0
CSNt6,794.7533565305822,817.7138246579814
CTPS1,0.0,6.739100109863551e-12
CTPS2,0.0,6.603039618893033e-12
CYRDAAT,0.0,9.875190831072433e-13
CYSS,0.0,0.0
CYSS3r,0.0,0.0
CYTD,789.3181561425936,812.2786242694943
CYTDK1,0.0,5.4352003884953195
CYTDK2,0.0,5.435200388496859
CYTDK3,0.0,0.0
CYTDK4,0.0,5.43520038849693
CYTK1,44.576258015577636,44.93395402469881
CYTK2,0.0,0.0
Cuabc,0.1788480045542695,0.1788480045575014
Cut1,0.0,4.109191254685106e-12
D5KGK,0.0,0.0
D5KGPA,0.0,0.0
DAPDA,0.0,0.0
DAPDC,16.486476479887195,16.486476479887248
DAPE,0.0,0.0
DAPMDH,0.0,0.0
DAPabc,17.931064705918782,17.93106470591882
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,2.460033654117696,2.4600336541176917
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,2.460033654117696,2.460033654117702
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,2.460033654117696,2.460033654117696
DB4PS,0.0,0.0
DCMPDA,0.0,0.0
DCYTD,0.0,0.0
DDPA,0.0,0.0
DFDCYTDD,0.0,-8.241592077933154e-12
DFDCYTDabc,0.0,1.149617409490475e-12
DFDURIte,0.0,1.1496174094904748e-12
DGK1,0.0,0.0
DH5FURAt,646.4990011223239,999.9999999999992
DHAD1,5.277763317343934,5.277763317344356
DHAD2,4.9200673082353905,4.920067308235757
DHFOR2,-0.5365440136628084,-0.5365440136628067
DHFR,1.8100527016709111,1.8100527016709145
DHFS,0.0,0.0
DHNAOT4,0.357696009108539,0.3576960091085384
DHNAOT7,0.35769600910853905,0.3576960091085384
DHORD2,0.0,-1.5872309101626122e-12
DHORD5,0.0,7.333281829025237e-14
DHORTS,-4.607001121520283e-13,0.0
DHPM1,0.357696009108541,0.35769600910852006
DHPM2,0.0,0.0
DHPPDA,0.0,0.0
DHQS,0.0,0.0
DHQTi,0.0,0.0
DKDID,0.0,0.0
DKDID2,0.0,0.0
DMATT,1.6234362305858594,1.6234362305857448
DMPPS,17.678950531890198,17.678950531889228
DMQMT,0.17884800455426403,0.1788480045541507
DM_4HBA,0.0,0.0
DM_5DRIB,0.0,0.0
DM_HQN,0.0,-1.4191619529319155e-10
DM_atp_c_,0.0,5.347451666393999e-12
DM_dhptd(c),0.0,5.339562289436995e-12
DPCOAK,0.357696009108541,0.35769600910851423
DPRr,0.357696009108541,0.3576960091085176
DRBK,0.0,-2.501513042624699e-12
DRIBabc,0.0,4.979835114042123e-12
DRPAr,0.0,4.979835114042123e-12
DTMPK,1.273508688008102,1.273508688008104
DURAD,-0.35769600910854155,-0.3576960091085158
DURAD2,0.0,0.0
DURIPP,0.0,0.0
DUTPDP,1.2735086880081072,1.273508688008104
DXPRIr,17.6789505318902,17.678950531889228
DXPS,17.6789505318902,17.67895053188923
D_LACD,0.0,0.0
D_LACt2,11.638664574104473,34.59913270084339
E4PD,0.0,0.0
EAR10M12x,4.920067308235391,4.920067308235388
EAR11M12x,4.920067308235391,4.920067308235369
EAR12M14x,4.920067308235392,4.920067308235371
EAR13M14x,4.920067308235392,4.92006730823537
EAR14M16x,4.920067308235392,4.920067308235371
EAR15M16x,4.920067308235392,4.920067308235371
EAR4M6x,4.920067308235391,4.92006730823537
EAR5M6x,4.920067308235391,4.9200673082353665
EAR6M8x,4.920067308235391,4.92006730823537
EAR7M8x,4.920067308235391,4.920067308235367
EAR8M10x,4.920067308235391,4.92006730823537
EAR9M10x,4.920067308235391,4.920067308235368
ECOAH1R,0.0,0.0
EHGLAT,0.0,0.0
ENO,1000.0000000000059,1000.0000000000001
ETOHt2r,-884.9772543979099,-884.9772543978619
EX_26dap_M(e),-17.931064705927163,-17.931064705918786
EX_4hbz(e),-0.1788480045542642,-0.178848004554264
EX_5fura(e),646.4990011224141,1000.0
EX_ac(e),999.9999999999368,1000.0000000000421
EX_acald(e),-1000.0,-999.9999999999852
EX_acgam(e),0.0,0.0
EX_ala_L(e),-12.05498507042737,-12.0549850704032
EX_alaasp(e),-1.2693474846319361e-11,0.0
EX_alagln(e),-5.160410036990805e-12,0.0
EX_alaglu(e),-9.277105136952254e-12,0.0
EX_alagly(e),-1.3190325495145927e-11,0.0
EX_alahis(e),-4.578139264650303,-4.578139264648384
EX_alaleu(e),6.6736794387166255e-12,0.0
EX_alathr(e),-17.11107274060573,-17.111072740556377
EX_alltn(e),0.0,0.0
EX_arab_L(e),-1.0741758453298506e-11,0.0
EX_arbt(e),-1.8230482849013235e-11,0.0
EX_asp_L(e),-34.560030456754696,-34.560030456654744
EX_biomass(e),57.7581154704568,57.75811547045696
EX_btn(e),-3.4399256498834117e-12,0.0
EX_bz(e),0.0,-8.431119979377053e-11
EX_bzam(e),-2.1535739175747924e-11,8.176114103878473e-13
EX_ca2(e),-0.17884800455426983,-0.17884800455426925
EX_cd2(e),0.0,0.0
EX_cellb(e),2.5528833997500083e-11,0.0
EX_cgly(e),-4.934651232397177,-0.17884800455426947
EX_chor(e),-15.895033377470542,-15.895033377462479
EX_cl(e),-0.17884800455427002,-0.1788480045542695
EX_co2(e),64.95341934236113,87.91388746910846
EX_cobalt2(e),-0.17884800455427008,-0.1788480045542695
EX_cro4(e),0.0,0.0
EX_csn(e),-817.7138246578452,-794.7533565310807
EX_cu2(e),-0.17884800455426997,-0.1788480045542695
EX_dfdcytd(e),-5.360385091338642e-12,0.0
EX_dfduri(e),3.173963513582475e-14,2.497041062541089e-11
EX_dh5fura(e),-999.9999999999998,-646.4990011223224
EX_drib(e),-1.4422051775730095e-11,0.0
EX_etoh(e),884.9772543975876,884.9772543977417
EX_fe2(e),-0.17884800455427075,-0.1788480045542695
EX_fe3(e),-0.1788480045542692,-0.1788480045542695
EX_fol(e),-0.5365440136628082,-0.5365440136628106
EX_for(e),985.4431066417837,985.4431066417512
EX_fru(e),-353.5009988777412,0.0
EX_fum(e),-999.9999999999999,-977.0395318732512
EX_gal(e),-7.960223474138387,-7.960223474138357
EX_galt(e),0.0,0.0
EX_gam(e),3.0353180579705206e-11,0.0
EX_glc_D(e),-353.50099887768636,0.0
EX_glu_L(e),-108.59348528839215,-108.59348528821296
EX_glyasn(e),-11.59956232993188,-11.599562329926489
EX_glyasp(e),1.5277097510315187e-11,0.0
EX_glycys(e),-4.755803227846057,0.0
EX_glygln(e),-7.69909072972146e-12,0.0
EX_glyglu(e),-2.3517335250978482e-11,0.0
EX_glyleu(e),-25.304061420081442,-25.304061420077097
EX_glymet(e),-2.5970646674636992e-11,0.0
EX_glyphe(e),-7.967552495162559e-12,0.0
EX_glypro(e),-1.912590862968317e-11,0.0
EX_glytyr(e),-7.515346382044806e-12,0.0
EX_h(e),999.9999999998254,1000.0
EX_h2o(e),-1000.0,-1000.000000000022
EX_hg2(e),0.0,-1.7254069353295888e-12
EX_hxan(e),-17.110079300997498,-17.11007930099479
EX_ile_L(e),-13.965912320756505,-13.965912320756454
EX_k(e),-0.17884800455426633,-0.1788480045542695
EX_lac_D(e),-34.59913270081908,-11.638664574061059
EX_leu_L(e),3.622242453572008,3.622242453623775
EX_malt(e),-1.68131546137982e-11,0.0
EX_malthx(e),-1.359704868890472e-11,0.0
EX_malttr(e),-1.8702613307609765e-11,0.0
EX_man(e),0.0,0.0
EX_met_D(e),-2.5031302917092397e-11,0.0
EX_met_L(e),-2.365494755208483e-11,0.0
EX_metala(e),-1.8230589501386344e-11,0.0
EX_metsox_R_L(e),-1.603261216895267e-11,0.0
EX_metsox_S_L(e),-7.560335161678683,-7.560335161675869
EX_mg2(e),-0.17884800455427216,-0.1788480045542695
EX_mn2(e),-0.17884800455427216,-0.1788480045542695
EX_mnl(e),-553.1032974943812,-1.4776972910407032e-13
EX_mqn7(e),-0.3576960091085409,-0.3576960091085391
EX_na1(e),0.0,0.0
EX_nac(e),-0.3576960091081319,-0.3576960091078457
EX_nh4(e),721.8324592953159,744.7929274220951
EX_no3(e),-2.8255215993677515e-11,0.0
EX_o2(e),0.0,0.0
EX_pb(e),0.0,-3.227972321531189e-12
EX_pheme(e),-0.1788480045542703,-0.1788480045542695
EX_pi(e),-58.78784448049889,-58.787844480497085
EX_pro_L(e),56.76496234737568,56.76496234739489
EX_ptrc(e),-0.17884800455426983,-0.17884800455426947
EX_rib_D(e),3.1492262411614558e-12,0.0
EX_ribflv(e),-0.35769600910854027,-0.357696009108539
EX_salcn(e),0.0,0.0
EX_sbt_D(e),-553.1032974942959,0.0
EX_sheme(e),-0.17884800455427,-0.1788480045542695
EX_so4(e),-0.1788480045542669,-0.1788480045542695
EX_spmd(e),-0.1788480045542669,-0.1788480045542695
EX_succ(e),1000.0000000000597,999.9999999999999
EX_sucr(e),-5.600628943133004e-12,0.0
EX_taur(e),-9.162401940589731e-12,0.0
EX_thm(e),-0.1788480045542704,-0.17884800455426958
EX_tre(e),1.7689270801417566e-11,0.0
EX_trp_L(e),-2.726298566436517,-2.7262985664365025
EX_ura(e),782.4406663010128,805.4011344279088
EX_val_L(e),-20.344141012159124,-20.344141012159003
EX_xyl_D(e),0.0,0.0
EX_zn2(e),-0.17884800455426886,-0.1788480045542695
FBA,1.845025240598189,528.3134142203576
FBA2,-1.8450252405882772,-1.8450252405882717
