,minimum,maximum
12DGR180ti,1.5646424173598985,1.5646424173598994
12PPDt,-236.6366083176526,-236.63660831764724
23DHMPO,1.3817394304251559e-11,-1.2662576763279087e-11
26DAPLLAT,-851.8683022433565,0.0
2AHBUTI,1.3570440128193427e-11,-2.012525121993753e-11
2MBCOATA,3.1292848347197975,3.1292848347178355
3HAD10M12,3.129284834719798,3.129284834719276
3HAD11M12,3.129284834719803,3.129284834719429
3HAD12M14,3.129284834719798,3.129284834718454
3HAD13M14,3.129284834719803,3.1292848347191455
3HAD14M16,3.129284834719798,3.129284834719794
3HAD15M16,3.129284834719798,3.1292848347197983
3HAD4M6,3.129284834719798,3.1292848347197983
3HAD5M6,3.129284834719803,3.1292848347198032
3HAD6M8,3.129284834719798,3.1292848347198006
3HAD7M8,3.129284834719803,3.1292848347198103
3HAD8M10,3.129284834719798,3.1292848347198006
3HAD9M10,3.129284834719803,3.1292848347198103
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.1292848347197975,3.1292848347198006
3OAR11M12,3.1292848347198032,3.12928483471981
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.1292848347197975,3.1292848347198006
3OAR13M14,3.1292848347198032,3.12928483471981
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.1292848347197975,3.1292848347198006
3OAR15M16,3.1292848347197975,3.129284834719801
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.1292848347197975,3.1292848347198015
3OAR5M6,3.1292848347198032,3.12928483471981
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.1292848347197975,3.1292848347198006
3OAR7M8,3.1292848347198032,3.12928483471981
3OAR80,0.0,0.0
3OAR8M10,3.1292848347197975,3.1292848347198006
3OAR8M9,0.0,0.0
3OAR9M10,3.1292848347198032,3.12928483471981
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.1292848347197975,3.129284834719796
3OAS11M12,3.129284834719803,3.12928483471981
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
