,minimum,maximum
12DGR180ti,0.6433157281329384,0.643315728132914
15DAPt,0.0,-6.06169979405039e-11
23DHMPO,0.0,0.0
2AHBUTI,0.0,0.0
2DHPL,0.0,0.0
2DMMQ8abc,0.0,-8.668035853621886e-12
2MBCOATA,1.286631456265876,1.2866314562583123
3HAD10M12,1.2866314562658756,1.2866314562578514
3HAD11M12,1.2866314562658758,1.28663145625966
3HAD12M14,1.2866314562658756,1.2866314562598553
3HAD13M14,1.2866314562658756,1.2866314562599925
3HAD14M16,1.2866314562658754,1.2866314562658279
3HAD15M16,1.2866314562658754,1.2866314562658299
3HAD4M6,1.286631456265876,1.2866314562658305
3HAD5M6,1.286631456265876,1.2866314562658316
3HAD6M8,1.286631456265876,1.2866314562658328
3HAD7M8,1.286631456265876,1.286631456265829
3HAD8M10,1.2866314562658758,1.2866314562658248
3HAD9M10,1.286631456265876,1.2866314562658252
3MOBS,2.696492600299654e-11,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,1.2866314562658756,1.2866314562658256
3OAR11M12,1.2866314562658758,1.286631456265826
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,1.2866314562658756,1.286631456265829
3OAR13M14,1.2866314562658756,1.2866314562658292
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,1.2866314562658754,1.2866314562658299
3OAR15M16,1.2866314562658754,1.28663145626583
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,1.286631456265876,1.2866314562658305
3OAR5M6,1.2866314562658752,1.286631456265825
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,1.286631456265876,1.2866314562658276
3OAR7M8,1.286631456265876,1.2866314562658285
3OAR80,0.0,0.0
3OAR8M10,1.2866314562658758,1.2866314562658259
3OAR8M9,0.0,0.0
3OAR9M10,1.286631456265876,1.286631456265828
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,1.2866314562658756,1.286631456265824
3OAS11M12,1.2866314562658756,1.2866314562658245
3OAS120,0.0,0.0
3OAS121,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,1.2866314562658754,1.2866314562658292
3OAS13M14,1.2866314562658754,1.2866314562658292
3OAS140,0.0,0.0
3OAS141,0.0,0.0
3OAS160,0.0,0.0
3OAS161,0.0,0.0
3OAS180,0.0,0.0
3OAS181,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,1.2866314562658752,1.2866314562658283
3OAS4M3O6,1.286631456265876,1.28663145626583
3OAS4M5,0.0,0.0
3OAS4M6,1.286631456265876,1.2866314562658294
3OAS5M6,1.286631456265876,1.2866314562658294
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,1.2866314562658758,1.286631456265827
3OAS7M8,1.286631456265876,1.286631456265827
3OAS80,0.0,0.0
3OAS8M10,1.2866314562658756,1.2866314562658292
3OAS8M9,0.0,0.0
3OAS9M10,1.2866314562658758,1.2866314562658265
4ABZt2,0.0,0.0
4HBZt2,0.12286239768928446,0.12286239768927976
4HTHDR,0.0,0.0
4HTHDS,0.0,0.0
4HTHRS,0.0,0.0
AACOAT,0.0,0.0
ABUTD,0.0,0.0
ACACT1r,1.010283299008399e-10,0.0
ACBIPGT,0.12286239768928452,0.12286239768927998
ACCOACL,0.0,0.0
ACCOAL,0.0,1000.0
ACCOALYS2,0.0,0.0
ACGAMT,0.08384514898545915,0.08384514898545607
ACHBPL,0.0,0.0
ACKr,-1000.0,-1000.0000000001515
ACLS_a,4.7617941505279315,4.761794150499698
ACLS_b,-4.761794150499381,-4.761794150527968
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.6433157281329378,0.6433157281329133
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,0.6433157281329378,0.6433157281329126
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACOCT,0.0,0.0
ACONTa,-660.0039978030813,-659.1361139336055
ACONTb,-660.0039978030744,-659.1361139333148
ACPS1,0.1228623976892845,0.1228623976892802
ACS,0.0,-7.687093632632086e-11
ACtr,-641.490098198417,-640.6222143287725
ADCL,0.0,0.0
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.7958612100815
ADK11,-999.7958612100122,1000.0
ADK2,0.1228623976892845,0.12286239768927955
ADK3,-1000.0,997.535619877606
ADK5,-1000.0,985.2929360101324
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,1000.0
ADNK1,0.0,0.0
ADOCBIK,0.12286239768928447,0.12286239768927987
ADOCBLS,0.12286239768928449,0.12286239768927995
ADOCBLabc,0.0,0.0
