,minimum,maximum
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPt2r,2.410283374655864,891.5965632204188
2AHBUTI,0.0,0.0
2HYOXPLACt2r,3.772503908699769e-11,0.0
2INSD,0.0,-4.862759767690915e-11
2MBCOATA,8.209091159212129,8.209091159212086
2MEBCOADH,8.20909115921211,8.20909115921208
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HAD100,0.0,-2.139745510008317e-12
3HAD10M12,8.20909115921213,8.209091159212093
3HAD11M12,8.209091159212093,8.209091159212063
3HAD120,0.0,-3.468345663281415e-12
3HAD12M14,8.20909115921213,8.2090911592121
3HAD13M14,8.209091159212093,8.209091159212084
3HAD140,1.0707999266414016e-11,999.9999999999981
3HAD14M16,8.20909115921213,8.209091159212084
3HAD15M16,8.209091159212093,8.209091159211722
3HAD160,0.0,-1.2432900381682376e-11
3HAD180,0.0,-3.767208819198468e-11
3HAD40,0.0,-4.2949864308514256e-12
3HAD4M6,8.20909115921213,8.209091159212136
3HAD5M6,8.209091159212097,8.209091159211708
3HAD60,0.0,-3.6022687851206936e-12
3HAD6M8,8.20909115921213,8.209091159212086
3HAD7M8,8.209091159212095,8.209091159211697
3HAD80,0.0,-4.598556978466634e-12
3HAD8M10,8.20909115921213,8.209091159212091
3HAD9M10,8.209091159212093,8.209091159211734
3MEBCOADH,-8.209091159207304,-8.20909115921176
3MOBS,0.0,0.0
3OAR100,0.0,-2.1140227222517105e-12
3OAR10M11,0.0,0.0
3OAR10M12,8.209091159212129,8.209091159212091
3OAR11M12,8.209091159212162,8.209091159211763
3OAR120,0.0,-2.522862093697416e-13
3OAR12M13,0.0,0.0
3OAR12M14,8.209091159212129,8.209091159212077
3OAR13M14,8.209091159212097,8.209091159211727
3OAR140,0.0,1000.0000000000001
3OAR14M15,0.0,0.0
3OAR14M16,8.209091159212129,8.209091159212084
3OAR15M16,8.209091159212097,8.209091159211727
3OAR160,0.0,-1.076865387389811e-11
3OAR180,0.0,-3.5360162918598615e-11
3OAR40,0.0,-4.853467638578241e-12
3OAR4M5,0.0,0.0
3OAR4M6,8.209091159212129,8.209091159212097
3OAR5M6,8.209091159212097,8.209091159211711
3OAR60,0.0,-2.87173875177456e-12
3OAR6M7,0.0,0.0
3OAR6M8,8.209091159212129,8.209091159212091
3OAR7M8,8.209091159212097,8.209091159211763
3OAR80,0.0,1.76334835635279e-13
3OAR8M10,8.209091159212129,8.209091159212077
3OAR8M9,0.0,0.0
3OAR9M10,8.209091159212097,8.209091159211727
3OAS100,0.0,-1.6778717881070692e-12
3OAS10M11,0.0,0.0
3OAS10M12,8.209091159212127,8.209091159212091
3OAS11M12,8.209091159212097,8.209091159211763
3OAS120,0.0,-2.522862093697416e-13
3OAS12M13,0.0,0.0
3OAS12M14,8.209091159212127,8.209091159212077
3OAS13M14,8.209091159212099,8.209091159211727
3OAS140,0.0,1000.0
3OAS160,0.0,-1.1091833989632027e-11
3OAS180,0.0,-3.7243737920835873e-11
3OAS2M3,0.0,0.0
3OAS3M4,8.209091159212097,8.209091159212111
3OAS4M3O6,8.209091159212127,8.209091159212077
3OAS4M5,0.0,0.0
3OAS4M6,8.209091159212127,8.209091159212079
3OAS5M6,8.209091159212097,8.209091159211882
3OAS60,0.0,-3.5329943854068364e-12
3OAS6M7,0.0,0.0
3OAS6M8,8.209091159212127,8.209091159212091
3OAS7M8,8.209091159212097,8.209091159211763
3OAS80,0.0,-2.522862093697416e-13
3OAS8M10,8.209091159212127,8.209091159212077
3OAS8M9,0.0,0.0
3OAS9M10,8.209091159212097,8.209091159211727
4HTHRS,0.0,0.0
5AIZCDC,0.0,-1.125201958755604e-11
5DGCLURI,0.0,-4.616580789248216e-11
5DOAN,0.0,-6.205617156870722e-12
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACOAT,0.0,0.0
AB6PGH,0.0,607.5992942517382
AB6PGH2,0.0,607.5992942517397
ACALD,592.9228518992156,1000.0
ACBIPGT,0.2984063999636123,0.29840639996361085
ACCOACL,98.50909391057847,98.50909391051775
ACCOAL,0.0,1000.0
ACGAMT,0.5221268771202492,0.5221268771202462
ACGApts,1.2613608713793047e-11,-4.929106568643405e-11
ACGK,24.072622085745465,41.83823482052165
ACGS,0.0,-2.544795558007728e-11
ACHBPL,0.0,0.0
ACKr,-1000.0000000000001,-1000.0000000000294
ACLS_a,0.0,-4.1006558390806637e-11
ACLS_b,0.0,0.0
ACOAAGPAT140,0.0,-8.957809650272116e-12
ACOAAGPAT160,0.0,-9.475988235405463e-12
ACOAAGPAT180,0.0,4.104545579606046
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,4.1045455796060635,4.104545579606045
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,4.104545579606064,4.104545579606045
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,-2.5033623940620098e-12
ACONTa,574.3056269065014,592.0712396412613
ACONTb,574.305626906513,592.071239641257
ACOTA,-41.83823482051591,-24.072622085745376
ACPS1,0.2984063999636123,0.29840639996361035
ACS,0.0,-3.2305961621693766e-11
ACTNDH,592.9228518991946,1000.0
ACTNdiff,592.9228518991946,1000.0
ACtr,-1000.0,-1000.0000000000313
ADA,0.0,-2.1843494993527932e-11
ADCL,0.0,-5.211008979200488e-12
ADCPS1,0.0,0.0
ADCPS2,0.0,-2.4722908216182347e-12
ADCS,0.0,-4.6473264604880986e-12
ADCYRS,0.0,-3.1404644698030507e-12
ADK1,101.43639660885518,390.98499794304837
ADK2,0.2984063999636123,0.29840639995989887
ADMDC,0.0,-5.7470754702219346e-12
ADNCYC,0.0,-5.226764110777976e-12
ADNUC,0.0,-4.280568021513892e-11
ADOCBIK,0.2984063999636123,0.2984063999636106
ADOCBLS,0.2984063999636123,0.2984063999636117
ADOCBLabc,-4.308752572224375e-17,0.0
ADPRDP,0.0,0.0
ADPT,1.7904383998113615,4.877906264150727
ADSL1r,13.64381711624454,13.643817116224385
ADSL2r,0.0,-8.07026222982955e-12
ADSS,13.64381711624148,13.643817116227165
AGDC,0.0,-3.8669467465470625e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,-2.2467594850485817e-11
AGPAT141,0.0,-2.4190935263714808e-12
AGPAT160,0.0,-8.178266662682015e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,4.10454557960605
AGPAT181,0.0,0.0
AGPR,-41.83823482052803,-24.072622085745355
AHCYSNS_r,1.7904383997816518,1.7904383997816393
AHEXASE3,0.0,0.0
AHMMPS,0.0,-2.765586108523841e-12
AICART,0.0,-3.74374802097678e-12
AIHPDCOATA,8.209091159212129,8.209091159212111
AIPDCOATA,0.0,0.0
AIRC4,0.0,-3.526734143701626e-11
AKGS,0.0,497.6866878638519
AKP1,0.0,-7.000552836155109e-12
ALAALA,2.4102833746132437,2.4102833746132353
ALAASP1c,0.0,-1.3509765769072031e-11
ALAASPabc,0.0,-1.4341493996876972e-11
ALACI,-1000.0,1000.0
ALAD_R,-1000.0,71.81383950705458
ALAGLN1c,-1.9703470395102674e-13,-4.414832365982947e-11
ALAGLNabc,0.0,-3.80159079718428e-11
ALAGLU1c,0.0,-3.802378691649975e-11
ALAGLUabc,0.0,-4.503265423296709e-12
ALAGLY1c,0.0,-2.2390537579519982e-12
ALAGLYabc,0.0,-2.111052402646641e-11
ALAHIS1c,7.638587077923055,7.638587077859724
ALAHISabc,7.638587077904835,7.638587077859873
ALALEU1c,0.0,-2.0812454377758514e-11
ALALEUabc,0.0,-1.646056342105897e-11
ALAPGPL,0.1740422923734164,0.17404229237341576
ALAR,-987.34753009397,1000.0
ALATHR1c,20.34059061534942,20.340590615292967
ALATHRabc,20.340590615349424,20.34059061529735
ALAt2r,-1000.0,1000.0
ALCD19,-571.7286413398195,571.7286413398244
ALCD2x,0.0,0.0
ALLTNt2r,0.0,0.0
ALPHNH,0.0,0.0
AMALT1,0.0,-2.6316210635059456e-12
AMALT2,0.0,-4.0689820177185826e-12
AMALT3,0.0,-4.0689820177185826e-12
AMALT4,0.0,0.0
AMANAPEr,0.0,-9.755551149038355e-12
AMANK,0.0,-1.2039032514122642e-11
AMAOTr,0.0,0.0
AMMQLT8,0.2984063999635899,0.2984063999635883
AMPTASECG,0.0,1.4195043742865614e-11
AMPTASEGC,0.0,-1.5586814983401818e-11
AOXSr,0.0,0.0
APAT,0.0,0.0
APRAUR,0.0,-8.979291797874954e-12
ARABASE3e,0.0,333.3333333333333
ARABI,0.0,-2.1627462102794774e-11
ARBTpts,0.0,607.5992942517395
ARB_Dabc,0.0,-2.1515180414906473e-11
ARGDA,976.2257843142313,976.2257843142033
ARGSL,0.0,-1.3605376881683104e-11
ARGSS,0.0,-1.8230544286255918e-11
ASAD,3.646108857251098e-11,0.0
ASNS1,0.0,19.35377274493522
ASO3t,0.0,0.0
ASO4t,0.0,0.0
ASPCT,0.0,-3.13759415144032e-11
ASPKi,0.0,-5.467999377429166e-11
ASPT,0.0,1000.0
ASPTA,-899.5381824070191,220.70952622474073
ASPt2r,-866.5405925458615,273.0608888307983
ATPPRT,0.0,-5.854760074206843e-12
ATPS4,1000.0000000000182,1000.0
BGLA,-1.284994200032888e-27,0.0
BGLA1,0.0,0.0
BPNT,0.29840639996361235,0.2984063999636111
BTNCLi,98.50909391055967,98.50909391052241
BTNabc,0.0,-2.028871363665485e-11
BTS4,0.0,0.0
CAt4i,0.2984063999636123,0.2984063999636113
CBIAT,0.2984063999636123,0.29840639996361146
CBL1abc,0.0,0.0
CBL2abc,0.0,0.0
CBMKr,-976.2257843142024,-976.2257843142397
CBPS,0.0,-2.2892503409488323e-11
CD2abc1,0.0,-1.671952595474454e-11
CD2t6r,1.2530797235081438e-11,-6.59114102250311e-14
CDOSKT,0.0,-1.5036956682097677e-12
CDPGLYCGPT,0.5221268771202492,0.522126877120247
CDPMEK,33.674870719872175,33.67487071987223
CELBpts,0.0,0.0
CGLYabc,0.29840639997790863,0.2984063999448651
CHORM,0.0,-5.514203413939323e-12
CHORS,0.8952191998908144,0.8952191998851865
CHRPL,0.29840639996361235,0.2984063999636111
