,minimum,maximum
1HIBUPGLU_St,0.0,5.203374384377094e-10
1HIBUP_S_GLCAASE,0.0,3.015874129924012e-10
1HIBUP_Ste,0.0,3.015874129924012e-10
1HMDGLUC_GLCAASE,0.0,1.5084233614251947e-10
1HMDGLUCt,0.0,1.1323324866289448e-10
1OHMDZte,0.0,1.1323324866289448e-10
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DHPL,0.0,0.0
2DMMQ8abc,0.0,8.696828864946735e-12
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,2.1834131725701378e-10
2HATVACIDGLUCt,0.0,6.918085103845679e-12
2HATVACIDte,0.0,6.918085103845679e-12
2HATVLACGLUC_GLCAASE,0.0,3.506244661986628e-12
2HATVLACGLUCt,0.0,-9.300775313901372e-12
2HATVLACte,0.0,5.846201625880863e-11
2HBO,0.0,0.0
2HIBUPGLU_St,0.0,1.1558004078467391e-10
2HIBUP_S_GLCAASE,0.0,2.9658721286783954e-11
2HIBUP_Ste,0.0,2.9658721286783954e-11
2INSD,0.0,4.502756302761769e-12
2IPDPIPT,0.0,0.0
2MBCOATA,7.0975719063177065,7.0975719063198435
2MEBCOADH,7.097571906317653,7.09757190632028
2OH_CBZ_GLC_GLCAASE,0.0,1.3271718456997354e-10
2OH_CBZ_GLCt,0.0,1.2637243918570752e-10
2OH_CBZte,0.0,1.2637243918570752e-10
2OH_MTZ_GLC_GLCAASE,0.0,1.2637243918570755e-10
2OH_MTZ_GLCt,0.0,6.289095688447595e-11
2OH_MTZte,0.0,8.739776167983512e-11
34DHOXPEGOX,0.0,0.0
34HPPORdc,0.0,0.0
3CARLPDH,0.0,0.0
3HAD100,7.097571906317709,7.097571906320039
3HAD10M12,7.097571906317709,7.0975719063177145
3HAD11M12,7.097571906317709,7.097571906317722
3HAD120,7.097571906317709,7.0975719063177225
3HAD12M14,7.097571906317709,7.09757190631772
3HAD13M14,7.097571906317709,7.0975719063177225
3HAD140,7.097571906317709,7.0975719063177225
3HAD14M16,7.097571906317709,7.097571906317722
3HAD15M16,7.097571906317709,7.0975719063177225
3HAD160,7.097571906317709,7.0975719063177225
3HAD180,7.097571906317709,7.0975719063177225
3HAD40,7.097571906317709,7.097571906317717
3HAD4M6,7.097571906317709,7.097571906317719
3HAD5M6,7.097571906317656,7.097571906317936
3HAD60,7.097571906317709,7.097571906317734
3HAD6M8,7.097571906317709,7.097571906317713
3HAD7M8,7.097571906317657,7.097571906317642
3HAD80,7.097571906317709,7.097571906317735
3HAD8M10,7.097571906317709,7.097571906317737
3HAD9M10,7.0975719063176586,7.0975719063176435
3HIBUPGLU_St,0.0,8.07190128858572e-10
3HIBUP_S_GLCAASE,0.0,2.363793236967469e-10
3HIBUP_Ste,0.0,2.363793236967469e-10
3HPCOAHL,0.0,0.0
3MEACMPte,62.627981836543405,62.62798183682756
3MEBCOADH,-7.097571906321686,-7.097571906317653
3MOBS,-8.721039178702425e-12,0.0
3OAR100,7.097571906317708,7.097571906320992
3OAR10M11,0.0,0.0
3OAR10M12,7.097571906317708,7.097571906317717
3OAR11M12,7.097571906317708,7.097571906317713
3OAR120,7.097571906317708,7.097571906317708
3OAR12M13,0.0,0.0
3OAR12M14,7.097571906317708,7.097571906317717
3OAR13M14,7.097571906317708,7.097571906317713
3OAR140,7.097571906317708,7.097571906317712
3OAR14M15,0.0,0.0
3OAR14M16,7.097571906317708,7.097571906317741
3OAR15M16,7.097571906317708,7.097571906317713
3OAR160,7.097571906317708,7.097571906317713
3OAR180,7.097571906317708,7.0975719063177305
3OAR40,7.097571906317708,7.097571906317703
3OAR4M5,0.0,0.0
3OAR4M6,7.097571906317708,7.097571906317721
3OAR5M6,7.09757190631767,7.097571906317788
3OAR60,7.097571906317708,7.097571906317704
3OAR6M7,0.0,0.0
3OAR6M8,7.097571906317708,7.097571906317721
3OAR7M8,7.09757190631767,7.09757190631779
3OAR80,7.097571906317708,7.097571906317706
3OAR8M10,7.097571906317708,7.097571906317723
3OAR8M9,0.0,0.0
3OAR9M10,7.09757190631767,7.097571906317791
3OAS100,7.097571906317707,7.0975719063177065
3OAS10M11,0.0,0.0
3OAS10M12,7.097571906317707,7.097571906317703
3OAS11M12,7.097571906317707,7.097571906317712
3OAS120,7.097571906317707,7.0975719063177065
3OAS12M13,0.0,0.0
3OAS12M14,7.097571906317707,7.097571906317715
3OAS13M14,7.097571906317707,7.0975719063176985
3OAS140,7.097571906317707,7.097571906317696
3OAS160,7.097571906317707,7.097571906317698
3OAS180,7.097571906317707,7.0975719063176985
3OAS2M3,0.0,0.0
3OAS3M4,7.097571906317669,7.097571906317675
3OAS4M3O6,7.097571906317707,7.097571906317691
3OAS4M5,0.0,0.0
3OAS4M6,7.097571906317707,7.097571906317685
3OAS5M6,7.097571906317671,7.097571906317689
3OAS60,7.097571906317707,7.097571906317685
3OAS6M7,0.0,0.0
3OAS6M8,7.097571906317707,7.097571906317728
3OAS7M8,7.097571906317671,7.097571906317734
3OAS80,7.097571906317707,7.097571906317725
3OAS8M10,7.097571906317707,7.097571906317711
3OAS8M9,0.0,0.0
3OAS9M10,7.097571906317707,7.097571906317702
3OH_CBZ_GLC_GLCAASE,0.0,-8.672290640628751e-11
3OH_CBZ_GLCt,0.0,9.655090563954758e-11
3OH_CBZte,0.0,9.655090563954758e-11
3OH_DLOR_GLC_GLCAASE,0.0,9.655090563954758e-11
3OH_DLOR_GLCt,0.0,8.828354980496858e-11
3OH_DLORte,0.0,1.0614694366182677e-10
3OH_MDEA_GLC_GLCAASE,0.0,1.0614694366182677e-10
3OH_MDEA_GLCt,0.0,-1.697760573172473e-11
3OH_MDEAte,0.0,1.2076244772652894e-10
3OH_MXN_GLC_GLCAASE,0.0,1.2076244772652894e-10
3OH_MXN_GLCt,0.0,1.0614694366182677e-10
3OH_MXNte,0.0,5.048992313260745e-11
3SALAOR,0.0,0.0
4DH_TPNO_1GLC_GLCAASE,0.0,1.0097984626521491e-10
4DH_TPNO_1GLCt,0.0,1.536362860190679e-10
4DH_TPNOte,0.0,1.041137560182716e-10
4HMDGLUC_GLCAASE,0.0,5.218768370577991e-11
4HMDGLUCt,0.0,5.609991459178605e-11
4HTHDR,27.786232232313477,27.786232232313598
4HTHDS,27.786232232313477,27.786232232313676
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
4OHMDZte,0.0,9.663856024274253e-11
4OH_DCF_GLC_GLCAASE,0.0,1.6859500648373601e-10
4OH_DCF_GLCt,0.0,2.860388454817778e-10
4OH_DCFte,0.0,1.6877387817698768e-10
4OH_KP_GLC_GLCAASE,0.0,1.6903790054630272e-10
4OH_KP_GLCt,0.0,3.424109646943025e-10
4OH_KPte,0.0,2.447358225350556e-10
4OH_LEVOLE_GLC_GLCAASE,0.0,1.225946527173274e-10
4OH_LEVOLE_GLCt,0.0,7.765409230336701e-11
4OH_LEVOLEte,0.0,1.0511352418250439e-10
4OH_METH_GLC_GLCAASE,0.0,2.0958766586791366e-10
4OH_METH_GLCt,0.0,2.4213297863459877e-10
4OH_METHte,0.0,2.7206568348985185e-10
4OH_PROPL_GLC_GLCAASE,0.0,1.3611610856217562e-10
4OH_PROPL_GLCt,0.0,1.313919052281305e-10
4OH_PROPLte,0.0,6.599121532244307e-11
4OH_TRZ_GLC_GLCAASE,0.0,6.584358396825418e-11
4OH_TRZ_GLCt,0.0,8.370697782511236e-11
4OH_TRZte,0.0,7.071541865648822e-11
4OH_VCZ_GLC_GLCAASE,0.0,1.4179991569844872e-10
4OH_VCZ_GLCt,0.0,2.88504697598e-10
4OH_VCZte,0.0,2.564486200871111e-10
5AIZCDC,0.0,1.073864319063713e-11
5DGCLURI,0.0,1.8302819335886827e-11
5DOAN,2.203977549654029e-12,1.0204424781708542e-11
5HISAH,0.0,0.0
5MTHFGLUNFT,-1.3971280169685589e-11,2.7130831141189177e-11
5OHFVSGLU_GLCAASE,0.0,4.8762972325905256e-11
5OHFVSGLUt,0.0,1.3552558314542002e-10
5OHFVSte,0.0,1.3552558314542002e-10
