,minimum,maximum
23DHMPO,-18.840591595847894,-18.840591595869018
26DAPLLAT,-913.9527956889947,0.0
2AHBUTI,18.840591595869014,18.84059159586678
2INSD,0.0,-6.765296009070867e-10
2MBCOATA,4.908243077650609,4.908243077623047
3HAD10M12,4.908243077650607,4.908243077624482
3HAD11M12,4.908243077650607,4.908243077622914
3HAD12M14,4.9082430776506065,4.908243077623937
3HAD13M14,4.9082430776506065,4.908243077622165
3HAD14M16,4.9082430776506065,4.908243077650029
3HAD15M16,4.9082430776506065,4.908243077650043
3HAD4M6,4.908243077650609,4.908243077650046
3HAD5M6,4.908243077650598,4.908243077625568
3HAD6M8,4.908243077650608,4.908243077621575
3HAD7M8,4.908243077650608,4.908243077626439
3HAD8M10,4.908243077650608,4.908243077620696
3HAD9M10,4.908243077650608,4.908243077626439
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.908243077650607,4.908243077620695
3OAR11M12,4.908243077650607,4.908243077626438
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.9082430776506065,4.9082430776206945
3OAR13M14,4.9082430776506065,4.908243077626437
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.9082430776506065,4.908243077649961
3OAR15M16,4.9082430776506065,4.908243077650053
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.908243077650609,4.908243077650071
3OAR5M6,4.908243077650598,4.908243077626816
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.908243077650608,4.908243077624313
3OAR7M8,4.908243077650608,4.908243077625586
3OAR80,0.0,0.0
3OAR8M10,4.908243077650607,4.908243077624312
3OAR8M9,0.0,0.0
3OAR9M10,4.908243077650607,4.908243077625585
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.908243077650606,4.908243077624311
3OAS11M12,4.908243077650606,4.908243077625583
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.908243077650606,4.908243077650036
3OAS13M14,4.908243077650606,4.908243077650082
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.908243077650597,4.908243077627448
3OAS4M3O6,4.908243077650609,4.908243077624313
3OAS4M5,0.0,0.0
3OAS4M6,4.908243077650608,4.908243077623919
3OAS5M6,4.908243077650608,4.908243077625585
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.908243077650607,4.908243077624312
3OAS7M8,4.908243077650607,4.908243077625585
3OAS80,0.0,0.0
3OAS8M10,4.908243077650607,4.908243077624311
3OAS8M9,0.0,0.0
3OAS9M10,4.908243077650607,4.908243077625584
4HBNOX,0.0,0.0
4HPRO_LTt,0.0,398.69777676202887
4HTHRS,0.0,0.0
5AIZCDC,0.0,-1.5927389261000657e-10
5APTLPO,0.0,0.0
5DGCLURI,0.0,-7.139844117797058e-10
5DOAN,0.0,-7.148702568339208e-11
6PHBG,0.0,483.93281292888963
6PHBG2,0.0,483.93281292889196
AACGLYDH,0.0,0.0
AACOAT,0.0,-3.50758362343278e-10
AB6PGH,0.0,483.9328129288431
AB6PGH2,0.0,483.93281292888764
ABUTD,0.0,1000.0
ABUTR,-1000.0,0.0
ACACCTr,0.0,-3.6554931507723865e-10
ACALD,-533.1083228942514,-1.4457016740957044e-09
ACALDt,466.89167710656477,1000.0
ACBIPGT,0.1784181852219326,0.17841818522191083
ACCOACL,1.6431811634884257e-10,0.0
ACGAMT,0.31218140724444726,0.31218140724441246
ACGApts,0.0,-4.458196353156009e-10
ACGK,14.214683124253439,14.214683123764488
ACGS,0.0,-1.774083993302756e-10
ACHBPL,18.840591595869014,18.840591595842152
ACKr,-1000.0,-1000.0000000007134
ACLS_a,39.49267659564329,39.49267659563858
ACLS_b,-20.652084999771862,-20.652084999774342
ACNAMabc,0.0,-2.3702097919606306e-10
ACNML,0.0,-2.356126133302566e-10
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,2.4541215388250315
ACOAAGPATAI15,0.0,-1.202164873876439e-11
