,minimum,maximum
12PPD_Stex,-9.843835989571763e-12,999.9999999999999
12PPDtpp,-3.555827020075546e-11,1000.0
15DAPtex,-3.555827020075542e-11,0.0
15DAPtpp,0.0,3.1082188356258115e-11
1H2NPTH,0.0,0.0
23DHMPO,-165.96847860499713,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,2.6520101162206977,2.652010116292731
26DAPt2rpp,2.6520101162244933,2.6520101162934573
2AHBUTI,2.559535228855589e-14,165.9684786050267
2DDGLCNtex,-1000.0,3.3295794014868564e-11
2DH3DGLCA,-996.6128578964082,0.0
2INSD,0.0,0.0
2MBCOATA,9.032378942990876,9.032378942996434
2OMMBOX,0.0,0.0
2OMPHH,0.0,8.331677782467362e-13
33HPHACt2rpp,0.0,999.6716664937759
34DHPHAt2rpp,-999.67166649376,3.292399605675151e-11
34DHPHAtex,-999.6716664937564,3.7650296264273546e-11
3CARLPDH,0.0,0.0
3DGUR,0.0,1000.0
3HAD100,0.0,1.0833158390511644e-11
3HAD10M12,9.032378942990881,9.032378942995924
3HAD11M12,9.032378942990881,9.032378942994807
3HAD120,0.0,7.590658802053631e-12
3HAD12M14,9.032378942990883,9.032378942995244
3HAD13M14,9.032378942990883,9.032378942994988
3HAD140,0.0,973.4645239437274
3HAD14M16,9.032378942990883,9.032378942990938
3HAD15M16,9.032378942990883,9.032378942990926
3HAD160,0.0,1.0875094998003043e-11
3HAD180,0.0,3.075284583398625e-11
3HAD40,1.975527929792478e-14,8.010765755308499e-12
3HAD4M6,9.032378942990878,9.032378942995516
3HAD5M6,9.032378942990878,9.032378942996173
3HAD60,1.975527929792478e-14,8.728880677857613e-12
3HAD6M8,9.032378942990878,9.032378942995516
3HAD7M8,9.032378942990878,9.032378942996175
3HAD80,0.0,8.630104281367985e-12
3HAD8M10,9.03237894299088,9.032378942995518
3HAD9M10,9.03237894299088,9.032378942996177
3HBCOAE,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,999.6716664937594
3HPHACtex,0.0,999.6716664937588
3MOBS,-3.20838950206185e-11,0.0
3OAR100,0.0,7.664077482001669e-12
3OAR10M11,0.0,0.0
3OAR10M12,9.032378942990881,9.032378942995539
3OAR11M12,9.032378942990881,9.032378942994772
3OAR120,0.0,6.9938834753910465e-12
3OAR12M13,0.0,0.0
3OAR12M14,9.032378942990883,9.032378942995539
3OAR13M14,9.032378942990883,9.032378942994773
3OAR140,21.228380845024258,994.692904788751
3OAR14M15,0.0,0.0
3OAR14M16,9.032378942990883,9.032378942990942
3OAR15M16,9.032378942990883,9.032378942990901
3OAR160,0.0,4.251013696687086e-12
3OAR180,0.0,2.989799449953057e-11
3OAR40,1.9755279297924772e-14,6.731210756636801e-12
3OAR4M5,0.0,0.0
3OAR4M6,9.032378942990876,9.032378942995534
3OAR5M6,9.032378942990876,9.032378942994768
3OAR60,1.9755279297924772e-14,7.094515147473909e-12
3OAR6M7,0.0,0.0
3OAR6M8,9.032378942990878,9.032378942995305
3OAR7M8,9.032378942990878,9.032378942995392
3OAR80,0.0,7.846124549435137e-12
3OAR8M10,9.03237894299088,9.032378942995306
3OAR8M9,0.0,0.0
3OAR9M10,9.03237894299088,9.032378942994978
3OAS100,0.0,6.241235437050677e-12
3OAS10M11,0.0,0.0
3OAS10M12,9.032378942990883,9.032378942994965
3OAS11M12,9.032378942990883,9.03237894299498
3OAS120,0.0,6.241235437050677e-12
3OAS12M13,0.0,0.0
3OAS12M14,9.032378942990883,9.032378942990935
3OAS13M14,9.032378942990883,9.03237894299087
3OAS140,21.22838084502426,994.6929047887422
3OAS160,0.0,1.4287971125533906e-11
3OAS180,0.0,2.527374428462874e-11
3OAS2M3,0.0,0.0
3OAS3M4,9.032378942990876,9.032378942995434
3OAS4M3O6,9.032378942990878,9.032378942994402
3OAS4M5,0.0,0.0
3OAS4M6,9.03237894299088,9.03237894299501
3OAS5M6,9.03237894299088,9.032378942994976
3OAS60,1.9755279297924772e-14,6.170361200631934e-12
3OAS6M7,0.0,0.0
