,minimum,maximum
15DAPt,0.0,971.1243169465467
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.0,2.530162937394608
2DHPL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HBO,0.0,0.0
2HEDCCL,0.0,0.0
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,8.617384337252462,8.617384337252492
2MEBCOADH,-8.6173843372525,-8.617384337252462
2OBUTt2r,-0.3132481522661908,-0.3132481522387095
2S6HCC,-1000.0000000000001,5.067488250603e-13
34DHOXPEGOX,0.0,0.0
3CALACL,0.0,0.0
3HAD100,8.617384337241864,8.617384337252505
3HAD10M12,8.617384337252455,8.617384337252478
3HAD11M12,8.617384337252455,8.617384337252478
3HAD120,8.617384337242042,8.617384337252481
3HAD12M14,8.617384337252453,8.617384337252474
3HAD13M14,8.617384337252453,8.617384337252474
3HAD140,8.61738433724204,8.61738433725248
3HAD14M16,8.617384337252451,8.61738433725247
3HAD15M16,8.617384337252451,8.61738433725247
3HAD160,8.617384337242038,8.617384337252478
3HAD180,8.617384337242036,8.617384337252476
3HAD40,8.617384337241633,8.617384337252453
3HAD4M6,8.617384337252458,8.617384337252483
3HAD5M6,8.617384337252458,8.617384337252483
3HAD60,8.617384337242012,8.617384337252451
3HAD6M8,8.617384337252457,8.617384337252481
3HAD7M8,8.617384337252457,8.617384337252481
3HAD80,8.61738433724201,8.61738433725245
3HAD8M10,8.617384337252457,8.617384337252478
3HAD9M10,8.617384337252457,8.617384337252478
3HLYTCL,0.0,1000.0
3HPCOAHL,0.0,0.0
3HXKYNDCL,0.0,0.0
3MEBCOADH,-8.617384337252497,-8.617384337252458
3MOBDC2,0.0,0.0
3MOPDC2,17.234768674504927,17.234768674504995
3OAR100,8.61738433724163,8.617384337252487
3OAR10M11,0.0,0.0
3OAR10M12,8.617384337252455,8.617384337252485
3OAR11M12,8.617384337252455,8.617384337252483
3OAR120,8.617384337242095,8.617384337252489
3OAR12M13,0.0,0.0
3OAR12M14,8.617384337252453,8.61738433725248
3OAR13M14,8.617384337252453,8.617384337252483
3OAR140,8.617384337241257,8.617384337252489
3OAR14M15,0.0,0.0
3OAR14M16,8.617384337252451,8.617384337252478
3OAR15M16,8.617384337252451,8.617384337252483
3OAR160,8.617384337241255,8.617384337252485
3OAR180,8.617384337241253,8.617384337252483
3OAR40,8.617384337240225,8.61738433725246
3OAR4M5,0.0,0.0
3OAR4M6,8.617384337252458,8.617384337252489
3OAR5M6,8.617384337252458,8.617384337252492
3OAR60,8.61738433724122,8.61738433725246
3OAR6M7,0.0,0.0
3OAR6M8,8.617384337252457,8.617384337252489
3OAR7M8,8.617384337252457,8.617384337252487
3OAR80,8.617384337240594,8.617384337252426
3OAR8M10,8.617384337252455,8.617384337252487
3OAR8M9,0.0,0.0
3OAR9M10,8.617384337252455,8.6173843372525
3OAS100,8.617384337240882,8.617384337252503
3OAS10M11,0.0,0.0
3OAS10M12,8.617384337252453,8.617384337252494
3OAS11M12,8.617384337252453,8.617384337252496
3OAS120,8.617384337240882,8.617384337252501
3OAS12M13,0.0,0.0
3OAS12M14,8.617384337252451,8.617384337252492
3OAS13M14,8.617384337252451,8.617384337252492
3OAS140,8.61738433724088,8.617384337252497
