,minimum,maximum
15DAPt,0.0,2.7726875268849942e-11
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.12912372922031282,0.1291237292206858
2HMCOXT,0.0,0.0
2MBCOATA,5.944338597121116,5.94433859712113
2MEBCOADH,-5.944338597121132,-5.944338597121116
2OBUTt2r,-0.5676339476732781,-0.5676339476720659
2S6HCC,-1000.0,5.13581861316564e-13
3HAD100,5.944338597121113,5.944338597124394
3HAD10M12,5.944338597121115,5.9443385971260385
3HAD11M12,5.944338597121115,5.944338597122378
3HAD120,5.944338597121112,5.944338597130519
3HAD12M14,5.944338597121114,5.944338597124976
3HAD13M14,5.944338597121114,5.9443385971223766
3HAD140,5.944338597121112,5.94433859712725
3HAD14M16,5.944338597121113,5.944338597121134
3HAD15M16,5.944338597121113,5.944338597121125
3HAD160,5.944338597121112,5.944338597121116
3HAD180,5.944338597121112,5.944338597121136
3HAD40,5.944338597121115,5.944338597121136
3HAD4M6,5.944338597121117,5.944338597121126
3HAD5M6,5.944338597121117,5.944338597121125
3HAD60,5.944338597121114,5.944338597121137
3HAD6M8,5.944338597121116,5.944338597121132
3HAD7M8,5.944338597121116,5.944338597121133
3HAD80,5.944338597121113,5.944338597121127
3HAD8M10,5.944338597121116,5.944338597121129
3HAD9M10,5.944338597121116,5.9443385971211296
3HLYTCL,0.0,3.773935800482354e-11
3MEBCOADH,-5.944338597121134,-5.944338597121116
3MOBDC2,0.0,0.0
3MOPDC2,11.88867719424223,11.888677194242272
3OAR100,5.944338597121124,5.944338597121115
3OAR10M11,0.0,0.0
3OAR10M12,5.944338597121115,5.944338597121122
3OAR11M12,5.944338597121115,5.944338597121122
3OAR120,5.944338597121124,5.9443385971211145
3OAR12M13,0.0,0.0
3OAR12M14,5.944338597121114,5.944338597121122
3OAR13M14,5.944338597121114,5.944338597121122
3OAR140,5.944338597121125,5.9443385971211145
3OAR14M15,0.0,0.0
3OAR14M16,5.944338597121113,5.9443385971211224
3OAR15M16,5.944338597121113,5.944338597121122
3OAR160,5.944338597121125,5.9443385971211145
3OAR180,5.944338597121125,5.9443385971211145
3OAR40,5.944338597121126,5.944338597121117
3OAR4M5,0.0,0.0
3OAR4M6,5.944338597121117,5.944338597121123
3OAR5M6,5.944338597121117,5.944338597121123
3OAR60,5.944338597121125,5.944338597121117
3OAR6M7,0.0,0.0
3OAR6M8,5.944338597121117,5.944338597121123
3OAR7M8,5.944338597121117,5.944338597121123
3OAR80,5.944338597121124,5.944338597121116
3OAR8M10,5.944338597121116,5.9443385971211224
3OAR8M9,0.0,0.0
3OAR9M10,5.944338597121116,5.944338597121123
3OAS100,5.944338597121123,5.944338597121115
3OAS10M11,0.0,0.0
3OAS10M12,5.944338597121114,5.944338597121121
3OAS11M12,5.944338597121114,5.944338597121122
3OAS120,5.944338597121123,5.9443385971211145
3OAS12M13,0.0,0.0
3OAS12M14,5.944338597121113,5.9443385971211224
3OAS13M14,5.944338597121113,5.944338597121122
3OAS140,5.944338597121125,5.944338597121115
3OAS160,5.944338597121125,5.944338597121115
3OAS180,5.944338597121126,5.944338597121115
3OAS2M3,0.0,0.0
3OAS3M4,5.944338597121117,5.944338597121123
3OAS4M3O6,5.944338597121117,5.944338597121123
3OAS4M5,0.0,0.0
3OAS4M6,5.944338597121116,5.944338597121123
3OAS5M6,5.944338597121116,5.9443385971211224
3OAS60,5.944338597121125,5.944338597121116
3OAS6M7,0.0,0.0
3OAS6M8,5.944338597121115,5.944338597121122
3OAS7M8,5.944338597121115,5.9443385971211224
3OAS80,5.944338597121123,5.944338597121115
3OAS8M10,5.944338597121115,5.944338597121121
3OAS8M9,0.0,0.0
3OAS9M10,5.944338597121115,5.944338597121122
4ABZt2,1.7029018430097846,1.7029018430183263
4HTHDR,0.12912372922031284,0.12912372922031323
4HTHDS,0.12912372922031284,0.12912372922031307
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
