,minimum,maximum
15DAPt,0.0,1.270541376688011e-11
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.1270503788605966,0.1270503788733048
2HMCOXT,0.0,0.0
2MBCOATA,5.848889863033493,5.848889863033504
2MEBCOADH,-5.848889863036686,-5.848889863033491
2OBUTt2r,-0.5585194026598782,-0.5585194026566291
2S6HCC,-1000.0,3.98104848955181e-13
3HAD100,5.8488898630334925,5.848889863036815
3HAD10M12,5.8488898630334925,5.8488898630371216
3HAD11M12,5.848889863033471,5.848889863036756
3HAD120,5.8488898630334925,5.848889863040131
3HAD12M14,5.8488898630334925,5.848889863037414
3HAD13M14,5.848889863033471,5.848889863037105
3HAD140,5.8488898630334925,5.848889863039024
3HAD14M16,5.8488898630334925,5.848889863033504
3HAD15M16,5.84888986303347,5.84888986303351
3HAD160,5.8488898630334925,5.8488898630334765
3HAD180,5.8488898630334925,5.8488898630335004
3HAD40,5.848889863033495,5.848889863033495
3HAD4M6,5.848889863033495,5.84888986303348
3HAD5M6,5.848889863033473,5.84888986303349
3HAD60,5.848889863033494,5.848889863033451
3HAD6M8,5.848889863033494,5.848889863033503
3HAD7M8,5.848889863033473,5.848889863033501
3HAD80,5.848889863033493,5.848889863033509
3HAD8M10,5.848889863033493,5.84888986303351
3HAD9M10,5.848889863033472,5.848889863033506
3HLYTCL,0.0,5.872009794369632e-11
3MEBCOADH,-5.848889863037111,-5.84888986303349
3MOBDC2,0.0,0.0
3MOPDC2,11.69777972606703,11.69777972606701
3OAR100,5.848889863033493,5.848889863033498
3OAR10M11,0.0,0.0
3OAR10M12,5.848889863033493,5.848889863033498
3OAR11M12,5.84888986303346,5.848889863033522
3OAR120,5.8488898630334925,5.848889863033498
3OAR12M13,0.0,0.0
3OAR12M14,5.8488898630334925,5.848889863033498
3OAR13M14,5.84888986303346,5.84888986303352
3OAR140,5.8488898630334925,5.848889863033498
3OAR14M15,0.0,0.0
3OAR14M16,5.8488898630334925,5.848889863033498
3OAR15M16,5.84888986303346,5.84888986303352
3OAR160,5.8488898630334925,5.848889863033498
3OAR180,5.8488898630334925,5.848889863033498
3OAR40,5.848889863033495,5.848889863033498
3OAR4M5,0.0,0.0
3OAR4M6,5.848889863033495,5.8488898630335
3OAR5M6,5.848889863033461,5.848889863033522
3OAR60,5.848889863033494,5.848889863033498
3OAR6M7,0.0,0.0
3OAR6M8,5.848889863033494,5.848889863033499
3OAR7M8,5.8488898630334605,5.848889863033522
3OAR80,5.848889863033494,5.848889863033498
3OAR8M10,5.848889863033494,5.848889863033498
3OAR8M9,0.0,0.0
3OAR9M10,5.84888986303346,5.848889863033522
3OAS100,5.848889863033492,5.848889863033498
3OAS10M11,0.0,0.0
3OAS10M12,5.848889863033492,5.8488898630334605
3OAS11M12,5.848889863033459,5.848889863033476
3OAS120,5.848889863033492,5.848889863033461
3OAS12M13,0.0,0.0
3OAS12M14,5.848889863033492,5.848889863033461
3OAS13M14,5.848889863033466,5.8488898630334765
3OAS140,5.848889863033492,5.848889863033461
3OAS160,5.848889863033492,5.848889863033461
3OAS180,5.848889863033492,5.848889863033461
3OAS2M3,0.0,0.0
3OAS3M4,5.84888986303347,5.848889863033477
3OAS4M3O6,5.848889863033495,5.848889863033463
3OAS4M5,0.0,0.0
3OAS4M6,5.848889863033494,5.848889863033507
3OAS5M6,5.848889863033467,5.84888986303349
3OAS60,5.848889863033494,5.848889863033506
3OAS6M7,0.0,0.0
3OAS6M8,5.848889863033493,5.848889863033509
3OAS7M8,5.848889863033466,5.848889863033496
3OAS80,5.848889863033493,5.848889863033509
3OAS8M10,5.848889863033492,5.848889863033508
3OAS8M9,0.0,0.0
3OAS9M10,5.848889863033466,5.848889863033507
4ABZt2,1.675558207963624,1.6755582079751115
4HTHDR,0.12705037887302262,0.1270503788730228
4HTHDS,0.12705037887302262,0.12705037887302253
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,4.664557828338346e-11
5DOAN,0.0,1.1416456109068447e-12
5FURAt,-4.246443338022877e-11,0.0
6PGALSZ,-1000.0,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,4.2231787511422045e-10
6PHBG2,0.0,2.8895489739770285e-10
AACOAT,0.0,0.0
AB6PGH,0.0,2.889458369580676e-10
AB6PGH2,0.0,2.2495035484026358e-10
ABTOXy,0.0,0.0
ACALD,-861.5222129923403,67.34829720100849
ACALDt,-857.7410203866415,1000.0
ACBIPGT,0.5585194026566291,0.5585194026566306
ACCOAC,0.0,116.97779726067039
ACCOACL,0.0,116.97779726067053
ACEDIPIT,-3.420596337887067e-11,0.0
ACGAMK,0.0,3.208353780958046e-11
ACGAMT,0.3811511366190679,0.3811511366190692
ACGAMt2,0.0,-1.0812293551805992e-11
ACGApts,0.0,1.0503142047287483e-11
ACKr,-1000.0,-999.9999999999673
ACLDC,0.0,0.0
ACLS_a,0.0,5.50812772088519e-12
ACOAAGPAT140,0.0,1.4013080751714935e-12
ACOAAGPAT160,0.0,1.7416034218185338e-12
ACOAAGPAT180,0.0,2.9244449315167524
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.924444931516752,2.924444931516752
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.9244449315167462,2.9244449315167524
ACOATA,5.848889863033494,5.8488898630335
ACPS1,0.558519402656629,0.5585194026566306
ACS,0.0,-3.2111086499430995e-12
ACTNDH,71.12948980669285,1000.0
ACTNdiff,71.12948980667946,999.9999999999999
ACtr,-1000.0,-999.9999999999732
ADA,0.0,140.59137365504216
ADCL,1.9197219889907978e-27,7.157421559248836e-11
ADCS,0.0,5.6366076515707296e-11
ADD,0.0,140.59137365489627
ADEt2,0.0,4.395597147346975e-11
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.824040095443
ADK11,-1000.0,1000.0
ADK2,0.558519402656629,0.5585194026725638
ADK3,-1000.0,994.7830769127373
ADK5,-1000.0,935.7737085732608
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.2853636017655
ADK9,-1000.0,999.2853636017684
ADMDC,0.0,1.4318927064453889e-11
ADNCNT3tc,147.53832320007953,147.53832320154453
ADNCYC,0.0,0.0
ADNUC,0.0,5.3571961557520744e-11
ADOCBIK,0.558519402656629,0.5585194026566316
ADOCBLS,0.558519402656629,0.5585194026566311
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,6.329509044406485,6.329509044465532
ADSL1r,0.0,1.8300550443983195e-11
ADSL2r,0.0,1.1390813889228227e-11
ADSS,0.0,8.537787221432369e-11
AGDC,0.0,4.723390826066677e-11
AGMD,0.0,0.0
AGPAT120,0.0,4.551324236967627e-12
AGPAT140,0.0,4.150800745278773e-12
AGPAT141,0.0,0.0
AGPAT160,0.0,4.636477965246154e-12
AGPAT161,0.0,0.0
AGPAT180,0.0,2.924444931516757
AGPAT181,0.0,0.0
AGTi,0.0,0.0
AHCYSNS_r,0.5585194026566292,0.5585194026554721
AICART,0.0,9.046550345846868e-12
AIHDUDPMG,0.5082015154920905,0.5082015154920922
AIHDUPDG,0.5082015154920905,0.50820151549209
AIHPDCOATA,5.848889863033492,5.848889863033488
AIPDCOATA,0.0,0.0
AIRC4,0.0,7.233444748292854e-11
AKP1,1.6755582079698874,1.6755582079765539
ALAALA,0.12705037887302262,0.12705037887302328
ALAASP1c,0.0,24.966380763381334
ALAASPabc,0.0,24.966380763528782
ALAGLN1c,0.0,24.966380763528477
ALAGLNabc,0.0,24.966380763535884
ALAGLU1c,0.0,24.966380763535938
ALAGLUabc,0.0,24.96638076353285
ALAGLY1c,0.0,5.050382263105943e-11
ALAGLYabc,0.0,4.9770906562089466e-11
ALAHIS1c,0.0,24.96638076353262
ALAHISabc,0.0,24.966380763522977
ALALEU1c,0.0,24.966380763522896
ALALEUabc,0.0,24.966380763535778
ALAPAT4te,-999.9999999999998,-975.0336192364392
ALAPGPL,0.12705037887302262,0.1270503788730231
ALAR,15.118995085889692,15.118995085889644
ALATA_L,-1000.0,-999.9999999999916
ALATHR1c,0.0,24.96638076354027
ALATHRabc,0.0,24.96638076353915
ALCD19,29.07470538095651,29.07470538172615
ALCD2x,-1000.0,-999.9999999999351
ALCD4,0.0,0.0
ALKP,0.0,5.859268176098993e-11
ALKP_R788,944.78527776309,944.7852777632086
ALLTN,0.0,0.0
ALLTNt2r,0.0,0.0
AMANAPEr,0.0,0.0
AMMQLT8,0.0,9.710859117768767e-11
AMMQT72,0.0,0.0
AMMQT8r,-0.5585194027539266,-0.5585194026559157
AMPTASECG,0.0,5.5405268113506823e-11
AMPTASEGC,0.0,5.0796316606395736e-11
APAT,4.989836293104285e-27,4.1510913760551574e-11
