,minimum,maximum
15DAPt,0.0,-7.843490887691966e-12
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.12677635335084447,0.1267763533509322
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,5.836274827068257,5.8362748270682605
2MEBCOADH,-5.83627482706826,-5.836274827068256
2OBUTt2r,-0.5573147736557992,-0.5573147736557776
2S6HCC,-1000.0,1.587244848628418e-13
3HAD100,5.836274827068248,5.836274827068963
3HAD10M12,5.836274827068256,5.836274827069506
3HAD11M12,5.836274827068256,5.836274827071335
3HAD120,5.836274827068255,5.836274827070854
3HAD12M14,5.836274827068255,5.836274827069443
3HAD13M14,5.836274827068255,5.83627482706947
3HAD140,5.836274827068255,5.836274827070154
3HAD14M16,5.836274827068254,5.836274827068255
3HAD15M16,5.836274827068254,5.836274827068255
3HAD160,5.836274827068255,5.836274827068255
3HAD180,5.836274827068255,5.836274827068256
3HAD40,5.836274827068248,5.836274827068281
3HAD4M6,5.836274827068258,5.836274827068263
3HAD5M6,5.836274827068258,5.836274827068258
3HAD60,5.836274827068247,5.836274827068253
3HAD6M8,5.836274827068257,5.8362748270682525
3HAD7M8,5.836274827068257,5.836274827068252
3HAD80,5.836274827068248,5.836274827068248
3HAD8M10,5.836274827068257,5.836274827068257
3HAD9M10,5.836274827068257,5.836274827068255
3HLYTCL,0.0,-1.1625727600333912e-12
3MEBCOADH,-5.836274827068259,-5.836274827068257
3MOBDC2,0.0,0.0
3MOPDC2,11.672549654136516,11.672549654136517
3OAR100,5.836274827068246,5.836274827068238
3OAR10M11,0.0,0.0
3OAR10M12,5.836274827068256,5.836274827068255
3OAR11M12,5.836274827068256,5.836274827068254
3OAR120,5.836274827068246,5.836274827068237
3OAR12M13,0.0,0.0
3OAR12M14,5.836274827068255,5.836274827068255
3OAR13M14,5.836274827068255,5.836274827068253
3OAR140,5.836274827068255,5.836274827068254
3OAR14M15,0.0,0.0
3OAR14M16,5.836274827068255,5.836274827068255
3OAR15M16,5.836274827068255,5.836274827068253
3OAR160,5.836274827068255,5.836274827068254
3OAR180,5.836274827068255,5.836274827068254
3OAR40,5.836274827068248,5.83627482706824
3OAR4M5,0.0,0.0
3OAR4M6,5.836274827068258,5.836274827068255
3OAR5M6,5.836274827068258,5.836274827068255
3OAR60,5.836274827068248,5.83627482706824
3OAR6M7,0.0,0.0
3OAR6M8,5.836274827068257,5.836274827068255
3OAR7M8,5.836274827068257,5.836274827068255
3OAR80,5.836274827068246,5.83627482706824
3OAR8M10,5.836274827068257,5.836274827068255
3OAR8M9,0.0,0.0
3OAR9M10,5.836274827068257,5.836274827068254
3OAS100,5.836274827068246,5.836274827068238
3OAS10M11,0.0,0.0
3OAS10M12,5.836274827068254,5.836274827068254
3OAS11M12,5.836274827068254,5.836274827068253
3OAS120,5.836274827068246,5.836274827068237
3OAS12M13,0.0,0.0
3OAS12M14,5.836274827068254,5.836274827068254
3OAS13M14,5.836274827068254,5.8362748270682525
3OAS140,5.836274827068254,5.836274827068253
3OAS160,5.836274827068254,5.836274827068253
