,minimum,maximum
12DGR180ti,2.4732748657496146,2.473274865749624
15DAPt,0.0,2.6790141429196354e-11
26DAPLLATi,0.10744962414760438,0.10744962415402633
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,4.946549731499231,4.94654973149923
2OBUTt2r,-1.263823810381947e-13,0.0
2S6HCC,0.0,3.547213170717675e-12
3HAD10M12,4.94654973149923,4.946549731498402
3HAD11M12,4.94654973149923,4.946549731498537
3HAD12M14,4.946549731499229,4.946549731499367
3HAD13M14,4.946549731499229,4.9465497314985365
3HAD14M16,4.946549731499229,4.946549731499229
3HAD15M16,4.946549731499229,4.946549731499247
3HAD4M6,4.94654973149923,4.946549731499246
3HAD5M6,4.94654973149923,4.946549731499248
3HAD6M8,4.94654973149923,4.946549731499258
3HAD7M8,4.94654973149923,4.946549731499229
3HAD8M10,4.94654973149923,4.946549731499247
3HAD9M10,4.94654973149923,4.946549731499247
3HLYTCL,0.0,3.036216028642253e-11
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.94654973149923,4.94654973149923
3OAR11M12,4.94654973149923,4.946549731499244
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.946549731499229,4.946549731499244
3OAR13M14,4.946549731499229,4.946549731499244
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.946549731499229,4.946549731499244
3OAR15M16,4.946549731499229,4.946549731499244
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.94654973149923,4.946549731499244
3OAR5M6,4.9465497314992275,4.94654973149924
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.94654973149923,4.946549731499262
3OAR7M8,4.94654973149923,4.9465497314992515
3OAR80,0.0,0.0
3OAR8M10,4.94654973149923,4.946549731499252
3OAR8M9,0.0,0.0
3OAR9M10,4.94654973149923,4.9465497314992515
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.94654973149923,4.946549731499258
3OAS11M12,4.94654973149923,4.946549731499256
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.946549731499229,4.9465497314992435
3OAS13M14,4.946549731499229,4.9465497314992435
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.9465497314992275,4.946549731499238
3OAS4M3O6,4.94654973149923,4.94654973149925
3OAS4M5,0.0,0.0
3OAS4M6,4.94654973149923,4.946549731499262
3OAS5M6,4.94654973149923,4.946549731499262
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.94654973149923,4.9465497314992435
3OAS7M8,4.94654973149923,4.9465497314992435
3OAS80,0.0,0.0
3OAS8M10,4.94654973149923,4.946549731499251
3OAS8M9,0.0,0.0
3OAS9M10,4.94654973149923,4.946549731499251
4HTHDR,0.10744962415402322,0.10744962415402377
4HTHDS,0.10744962415402322,0.10744962415402379
5AIZCDC,0.0,3.906895625091137e-11
5DGCLURI,0.0,0.0
5DOAN,0.0,2.455946401166478e-13
6P3HXI,0.0,0.0
6PGALSZ,-1000.0000000000002,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,405.4158534112613
6PHBG2,0.0,405.41585341124426
AACOAT,0.0,-8.404863283012907e-15
AB6PGH,0.0,405.41585341123715
AB6PGH2,0.0,405.41585341125926
ABTOXy,0.0,0.0
ACALD,-936.4565256283074,767.1391319826472
ACALDt,-1000.0,1000.0
ACBIPGT,0.47235356895836234,0.4723535689583632
ACCOACL,59.35859677799074,59.35859677799093
ACEDIPIT,9.898604055554272e-12,0.0
ACGAMK,0.0,1.5841301613648004e-11
ACGAMT,0.32234887246206984,0.32234887246207033
ACGAMt2,0.0,1.4108355205617585e-11
ACGApts,0.0,4.2109789099570635e-12
ACKr,-1000.0,-999.9999999999928
ACLDC,0.0,1.0841271812083062e-11
ACLS_a,0.0,3.4093011649888494e-12
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.4732748657496155,2.473274865749626
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.473274865749614,2.473274865749626
ACOATA,0.0,0.0
ACPS1,0.4723535689583624,0.4723535689583648
ACS,0.0,1.9757729304032343e-11
ACTNDH,-195.96107654768122,1000.0
ACTNdiff,-195.96107654768886,999.9999999999998
ACtr,-1000.0,-1000.0000000000018
ADD,435.3732759398373,999.0422282823464
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.0422282823456
ADK11,-1000.0,999.9999999999998
ADK2,0.47235356895836245,0.47235356896701824
ADK3,-1000.0,997.0049807907093
ADK5,-1000.0,943.4576054580978
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.3588480153636
ADK9,-1000.0,1000.0
ADNCNT3tc,441.2117152598107,1000.0
ADNCYC,0.0,0.0
ADOCBIK,0.47235356895836234,0.47235356895836367
ADOCBLS,0.4723535689583624,0.47235356895836395
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.0,4.880667602192219
ADSL1r,0.0,4.880667602187006
ADSL2r,0.0,1.0185549413640469e-11
