,minimum,maximum
12DGR180ti,2.4732877039213954,2.4732877039213963
15DAPt,0.0,7.255625641542479e-13
26DAPLLATi,0.10745018191634315,0.10745018189866731
2HMCOXT,0.0,0.0
2MBCOATA,4.946575407842795,4.946575407842783
2OBUTt2r,3.2601627398337476e-13,0.0
2S6HCC,0.0,2.4185418805141505e-13
3HAD10M12,4.946575407842793,4.946575407839704
3HAD11M12,4.946575407842793,4.946575407840469
3HAD12M14,4.946575407842792,4.946575407838596
3HAD13M14,4.946575407842792,4.946575407840707
3HAD14M16,4.946575407842791,4.946575407842778
3HAD15M16,4.946575407842791,4.946575407842785
3HAD4M6,4.946575407842794,4.9465754078427855
3HAD5M6,4.946575407842792,4.946575407842791
3HAD6M8,4.9465754078427935,4.946575407842796
3HAD7M8,4.946575407842792,4.946575407842791
3HAD8M10,4.946575407842793,4.946575407842786
3HAD9M10,4.946575407842793,4.946575407842788
3HLYTCL,0.0,-1.0046250888289558e-12
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,4.946575407842793,4.946575407842783
3OAR11M12,4.946575407842793,4.9465754078427935
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,4.946575407842792,4.946575407842792
3OAR13M14,4.946575407842792,4.946575407842793
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,4.946575407842791,4.946575407842792
3OAR15M16,4.946575407842791,4.946575407842792
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,4.9465754078427935,4.946575407842792
3OAR5M6,4.946575407842792,4.946575407842797
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,4.9465754078427935,4.946575407842797
3OAR7M8,4.946575407842792,4.946575407842796
3OAR80,0.0,0.0
3OAR8M10,4.9465754078427935,4.946575407842796
3OAR8M9,0.0,0.0
3OAR9M10,4.9465754078427935,4.9465754078427935
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,4.946575407842792,4.946575407842794
3OAS11M12,4.946575407842792,4.946575407842795
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,4.946575407842791,4.946575407842783
3OAS13M14,4.946575407842791,4.946575407842783
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,4.946575407842767,4.946575407842768
3OAS4M3O6,4.946575407842795,4.946575407842785
3OAS4M5,0.0,0.0
3OAS4M6,4.946575407842794,4.9465754078427855
3OAS5M6,4.946575407842791,4.946575407842778
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,4.9465754078427935,4.946575407842782
3OAS7M8,4.9465754078427935,4.9465754078427775
3OAS80,0.0,0.0
3OAS8M10,4.946575407842793,4.946575407842787
3OAS8M9,0.0,0.0
3OAS9M10,4.946575407842793,4.94657540784279
4HTHDR,0.10745018189904053,0.10745018189904057
4HTHDS,0.10745018189904054,0.10745018189904057
5AIZCDC,0.0,-5.860313018168912e-13
5DOAN,0.0,-3.759703804808269e-12
6PGALSZ,-1000.0000000000002,1000.0
6PGALSZ2i,-1000.0,1000.0
6PHBG,0.0,898.0896685391474
6PHBG2,0.0,898.0896685391297
AACOAT,0.0,-7.530757501579653e-13
AB6PGH,0.0,898.0896685391491
AB6PGH2,0.0,898.0896685391416
ABTOXy,0.0,0.0
ACALD,-1000.0,767.093801813445
ACALDt,-1000.0,1000.0
ACBIPGT,0.472356020831522,0.472356020831521
ACCOACL,59.3589048941135,59.35890489411349
ACEDIPIT,2.5934046146064868e-11,0.0
ACGAMK,0.0,2.1693165095785993e-11
ACGAMT,0.3223505456971216,0.3223505456971211
ACGAMt2,0.0,-3.179170746796223e-12
ACGApts,0.0,-9.023526235622281e-12
ACKr,-1000.0,-1000.0000000000192
ACLDC,0.0,0.0
ACLS_a,0.0,-1.7432007666256612e-12
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,2.473287703921396,2.473287703921402
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.473287703921395,2.473287703921394
ACOATA,0.0,0.0
ACPS1,0.472356020831522,0.47235602083152156
ACS,0.0,-5.298021107147954e-12
ACTNDH,-822.4472847717726,1000.0
ACTNdiff,-822.4472847717163,999.9999999999998
ACtr,-1000.0,-1000.0000000000161
ADD,396.8386560291434,999.0214602779973
ADK1,-1000.0,1000.0
ADK10,-1000.0,999.0214602780161
ADK11,-1000.0,999.9999999999998
ADK2,0.4723560208315221,0.4723560208180292
ADK3,-1000.0,997.0049652442805
ADK5,-1000.0,943.4573119601547
ADK7,-1000.0,1000.0
ADK8,-1000.0,999.3796077200238
ADK9,-1000.0,1000.0
ADNCNT3tc,402.69788868775265,1000.0
ADNCYC,0.0,-5.791187258768378e-12
ADOCBIK,0.47235602083152206,0.4723560208315207
ADOCBLS,0.472356020831522,0.47235602083152145
ADOCBLabc,0.0,0.0
ADPRDP,0.0,0.0
ADPT,0.0,4.880692936523737
ADSL1r,0.0,4.880692936495764
ADSL2r,0.0,-2.0219064221251687e-11
ADSS,0.0,4.880692936507343
AEPPT,0.0,0.0
AGDC,0.0,-1.0109532110626265e-11
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,0.0
AGPAT181,0.0,0.0
AHCYSNS_r,0.0,-5.411837073131972e-13
AICART,0.0,-4.163674381688985e-11
AIHDUDPMG,0.4298007275961622,0.42980072759616095
AIHDUPDG,0.42980072759616217,0.4298007275961621
AIHPDCOATA,4.946575407842791,4.946575407842791
AIPDCOATA,0.0,0.0
AIRC4,0.0,7.1440006316725895e-12
ALAALA,0.10745018189904054,0.10745018189904021
ALAASP1c,0.0,3.5720003158362847e-12
ALAASPabc,0.0,-1.3876405184743276e-11
ALAGLN1c,-3.5162230947540584e-15,31.635115959268038
ALAGLNabc,0.0,31.63511595926808
ALAGLU1c,0.0,11.281305313894858
ALAGLUabc,0.0,11.281305313903733
ALAGLY1c,0.0,-2.022767532755825e-11
ALAGLYabc,0.0,-2.1894779619763275e-11
ALAHIS1c,0.0,-2.1896933673335132e-11
ALAHISabc,0.0,-2.4604577487564655e-11
ALALEU1c,0.0,-2.4319204931451303e-11
ALALEUabc,0.0,-2.284114599676242e-11
ALAPAT4te,-1000.0,1000.0000000000002
ALAPGPL,0.10745018189904051,0.10745018189904001
ALAR,-987.2134283540141,1000.0
ALATA_L,-999.6429353292766,597.0575596720466
ALATHR1c,0.0,-3.476503599752768e-11
ALATHRabc,0.0,-3.184910086197856e-11
ALCD19,-199.9995536329724,989.2115698185838
ALCD2x,-1000.0,-402.6978886876992
AMANAPEr,0.0,-1.8013302988153234e-11
AMANK,0.0,-1.420790872331745e-11
AMMQLT8,0.0,4.880692936504016
AMMQT72,0.0,0.0
AMMQT8r,-4.880692936505833,-8.541915572525565e-13
AMPTASECG,0.0,4.805428430069907
AMPTASEGC,0.0,4.8054284300699734
APAT,0.0,-9.59975084881004e-12
ARABASE3e,0.0,-1.69773503655296e-11
ARAI,0.0,411.2750351555442
ARBTpts,0.0,898.0896685390884
ARBabc,0.0,-2.6551856127761897e-11
ARBt2r,1.628862504247939e-11,411.2750351555739
ARGDA,0.0,-3.182669579378549e-11
ARGSL,0.0,0.0
ARGt2,21.086079381272636,21.086079381250155
ARSENBabc,0.0,0.0
ASAD,-0.10745018189904006,-0.10745018189904054
ASCBPL,0.0,0.0
ASNS1,1.2107287314079707,8.824586391152247
ASP1DC,0.0,-2.3763331266710767e-11
ASPCT,0.0,-2.3997662164437298e-11
ASPK,0.10745018189904054,0.10745018189904001
ASPTA,-22.637315900730226,-10.142765304478699
ATPS4,999.9999999999907,1000.0
BGLA,0.0,0.0
BGLA1,0.0,318.21757181048645
BPNT,0.47235602083152206,0.4723560208315205
BTNCLi,59.35890489411351,59.358904894113415
BTNabc,0.0,0.0
CAP_NR,-1000.0,194.60422262494137
CAt4i,0.4723560208315221,0.4723560208315204
CBIAT,0.472356020831522,0.4723560208315227
CBMKr,2.190699812572459e-11,7.590500671152113e-12
CBPS,0.0,-2.1189305033252844e-11
CD2abc1,0.0,-1.311076198599808e-11
CD2t6r,-1.1134594734520923e-11,0.0
CDPGLYCGPT,0.32235054569712157,0.3223505456971211
CDPMEK,4.960800167541622,4.960800167540276
CELBpts,0.0,318.2175718105105
CGLYabc,0.0,4.805428430066185
CHLabc,0.0,-1.6087591929839576e-11
CHLt2r,2.1285707694914515e-11,0.0
CHOLabc,0.0,0.0
CHORM,1.264802921002167e-11,-1.395312623373555e-12
CHORS,0.0,-3.451831500432393e-12
CLPNS140,0.0,0.0
CLPNS160,0.0,0.0
CLPNS180,0.5108717440813082,0.5108717440813073
CLPNSAI15,0.0,0.0
CLPNSAI17,0.5108717440813082,0.5108717440813085
CLPNSI14,0.0,0.0
CLPNSI15,0.0,0.0
CLPNSI16,0.0,0.0
CLPNSI17,0.5108717440813082,0.5108717440813085
CMLDC,0.0,0.0
CO2t,-892.9776000350857,4.726231440906621
COBALTt5,-0.47235602083152084,-0.472356020831522
CPPPGO,0.0,0.0
CPPPGO2,0.0,-2.4943671462119094e-12
CRNabc,0.0,0.0
CTBTabc,0.0,0.0
CTPS1,0.0,1.5541933181475744
CTPS2,0.0,1.5541933181353174
CYSDS,0.0,-2.8880457248850166e-11
CYSS,0.0,-1.836585714047515e-11
CYSS3r,0.0,0.0
CYSTGL,0.0,-4.174058441017077e-13
CYSTS,0.0,-6.772091708858739e-13
CYTD,0.0,0.0
CYTDK1,0.0,0.0
CYTDK2,0.0,0.0
CYTDK3,0.0,0.0
CYTDK4,0.0,0.0
CYTK1,56.54268803981145,57.48740008146908
CYTK2,0.6203922799887723,0.6203922799641173
CZP_NR,-1000.0,1000.0
Cuabc,0.472356020831522,0.4723560208193935
Cut1,0.0,-1.1890246111338533e-11
DADNK,0.978539722001238,0.9785397219840614
DAGK120,0.0,0.0
DAGK140,0.0,0.0
DAGK141,0.0,0.0
DAGK160,0.0,0.0
DAGK161,0.0,0.0
DAGK180,2.043486976329788,2.0434869763252324
DAGK181,0.0,0.0
DALAt2r,-987.213428354015,1000.0
DAPDAi,0.0,-2.720846367373614e-11
DAPE,0.10745018189904054,0.10745018189904022
DAPMDH,0.0,0.0
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,2.0434869763252332,2.0434869763252306
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,2.0434869763252332,2.0434869763252306
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,2.0434869763252332,2.0434869763252306
DCMPDA,-0.6203922799641179,-0.6203922799748904
DCYTD,0.0,0.0
DDGLK,0.0,0.0
DDPA,0.0,-5.831882223390098e-12
DDPGA,0.0,0.0
DFDCYTDD,0.0,-1.2168129793240157e-11
DFDCYTDabc,0.0,-8.537617783811074e-12
DFDURIte,0.0,-8.537617783811074e-12
DGK1,0.0,-8.537043419923102e-12
DHAPT,0.0,298.651055656198
DHFOR2,-1.41706806249457,-1.4170680625016352
DHFR,2.39560778447863,2.395607784477389
DHFS,0.0,0.0
DHNAOT,0.4723560208361446,0.4723560208311277
DHNAOT4,0.0,-5.155951921250667e-12
DHNAOT7,0.0,0.0
DHNAS,0.0,-7.501263911054016e-13
DHORDfum,0.0,-9.341445687453799e-12
DHORDnad,0.0,-1.3280484839813618e-11
DHORTS,-4.018500355315838e-12,0.0
DHQS,0.0,-1.2557813610361931e-12
DHQTi,0.0,-3.4713192683483198e-12
DMATT,0.5798062027305626,0.5798062027302346
DMPPS,4.960800167541622,4.960800167542159
