,minimum,maximum
1H2NPTH,0.0,0.0
23DHMPO,-2.9551910192507406e-11,0.0
2AHBUTI,-2.8160362105312007e-18,2.95519101925074e-11
2HMCOXT,0.0,0.0
2MBCOATA,6.954840989677663,6.954840989682277
3HAD100,6.954840989677664,6.9548409896825
3HAD10M12,6.954840989677662,6.9548409896819
3HAD11M12,6.954840989677662,6.954840989682059
3HAD120,6.954840989677664,6.954840989682433
3HAD12M14,6.954840989677662,6.954840989681992
3HAD13M14,6.954840989677662,6.954840989682059
3HAD140,6.954840989677662,6.954840989681581
3HAD14M16,6.954840989677662,6.954840989677702
3HAD15M16,6.954840989677662,6.954840989677706
3HAD160,6.954840989677662,6.954840989677707
3HAD180,6.954840989677662,6.954840989677706
3HAD40,6.954840989677664,6.954840989677715
3HAD4M6,6.954840989677662,6.954840989677706
3HAD5M6,6.954840989677662,6.954840989677706
3HAD60,6.954840989677664,6.954840989677715
3HAD6M8,6.954840989677662,6.954840989677711
3HAD7M8,6.954840989677662,6.954840989677702
3HAD80,6.954840989677664,6.954840989677714
3HAD8M10,6.954840989677662,6.9548409896777095
3HAD9M10,6.954840989677662,6.954840989677711
3MOBS,0.0,0.0
3OAR100,6.954840989677663,6.954840989677714
3OAR10M11,0.0,0.0
3OAR10M12,6.954840989677662,6.95484098967771
3OAR11M12,6.954840989677662,6.95484098967771
3OAR120,6.954840989677663,6.954840989677712
3OAR12M13,0.0,0.0
3OAR12M14,6.954840989677662,6.95484098967771
3OAR13M14,6.954840989677662,6.95484098967771
3OAR140,6.954840989677662,6.954840989677712
3OAR14M15,0.0,0.0
3OAR14M16,6.954840989677662,6.954840989677709
3OAR15M16,6.954840989677662,6.95484098967771
3OAR160,6.954840989677662,6.95484098967771
3OAR180,6.954840989677662,6.954840989677709
3OAR40,6.954840989677638,6.9548409896776935
3OAR4M5,0.0,0.0
3OAR4M6,6.954840989677662,6.95484098967771
3OAR5M6,6.954840989677662,6.954840989677724
3OAR60,6.954840989677663,6.9548409896777255
3OAR6M7,0.0,0.0
3OAR6M8,6.954840989677662,6.954840989677722
3OAR7M8,6.954840989677662,6.954840989677722
3OAR80,6.954840989677663,6.9548409896777255
3OAR8M10,6.954840989677662,6.954840989677722
3OAR8M9,0.0,0.0
3OAR9M10,6.954840989677662,6.95484098967772
3OAS100,6.954840989677664,6.954840989677725
3OAS10M11,0.0,0.0
3OAS10M12,6.954840989677662,6.95484098967772
3OAS11M12,6.954840989677662,6.954840989677719
3OAS120,6.954840989677664,6.954840989677725
3OAS12M13,0.0,0.0
3OAS12M14,6.954840989677662,6.95484098967772
3OAS13M14,6.954840989677662,6.9548409896777175
3OAS140,6.954840989677662,6.954840989677725
3OAS160,6.954840989677662,6.954840989677722
3OAS180,6.954840989677662,6.95484098967772
3OAS2M3,0.0,0.0
3OAS3M4,6.954840989677662,6.954840989677725
3OAS4M3O6,6.954840989677662,6.954840989677722
3OAS4M5,0.0,0.0
3OAS4M6,6.954840989677662,6.954840989677722
3OAS5M6,6.954840989677662,6.954840989677722
3OAS60,6.954840989677664,6.9548409896777255
3OAS6M7,0.0,0.0
3OAS6M8,6.954840989677662,6.954840989677722
3OAS7M8,6.954840989677662,6.954840989677722
3OAS80,6.954840989677664,6.9548409896777255
3OAS8M10,6.954840989677662,6.954840989677722
3OAS8M9,0.0,0.0
3OAS9M10,6.954840989677662,6.95484098967772
4HPRO_LTt,15.051241271189026,15.05124127121393
4HTHRS,0.0,0.0
5AIZCDC,0.0,3.2377090183086763e-11
5APTLPO,0.0,0.0
5DOAN,0.0,5.813288569064562e-12
5MTHCYST,-6.781859722676203e-12,0.0
6P3HXI,0.0,0.0
6PGALSZ2i,0.0,354.53753999810965
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,0.0,0.0
AACGLYDH,0.0,0.0
AB6PGH,0.0,1000.0
AB6PGH2,0.0,1000.0
ABTOXy,0.0,0.0
ABUTD,0.0,999.9999999999998
ABUTR,-1000.0,5.684341886080801e-13
ACACT1r,999.9999999999816,1000.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-294.9971951908202,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.25281349930194497,0.2528134993019461
ACCOACL,139.09681979355327,139.09681979355435
ACEDIPIT,-2.556883194431394e-11,0.0
ACGAMT,0.4423521844721259,0.4423521844721285
ACGApts,0.0,2.7801881071489544e-11
ACGK,20.14180212426605,20.14180212429136
ACGS,3.063446341077401e-15,-6.126892682154802e-15
ACHBPL,-2.8160362139873047e-18,2.8683922258432013e-11
ACKr,-1000.0000000000001,-999.9999999999759
ACLDC,0.0,473.6024823485488
ACLS_a,0.0,947.2049646970901
ACLS_b,-947.204964697087,1.7236686872342136e-12
ACOAAGPAT140,0.0,2.8410114180781565e-12
ACOAAGPAT160,0.0,4.433444894622956e-12
ACOAAGPAT180,0.0,3.4774204948388574
ACOAAGPATAI15,0.0,0.0
