,minimum,maximum
23DHMPO,1.0012196915478461e-10,0.0
2AHBUTI,3.470597243700005e-14,-1.001219691547846e-10
2MBCOATA,2.1752103252287998,2.1752103252247057
3HAD100,2.175210325228796,2.1752103252239694
3HAD10M12,2.175210325228796,2.1752103252249975
3HAD11M12,2.175210325228796,2.1752103252259047
3HAD120,2.175210325228797,2.1752103252245485
3HAD12M14,2.175210325228796,2.1752103252163653
3HAD13M14,2.175210325228796,2.175210325220473
3HAD140,2.1752103252287975,2.1752103252153443
3HAD14M16,2.1752103252287966,2.1752103252287496
3HAD15M16,2.1752103252287966,2.175210325228788
3HAD160,2.1752103252287975,2.175210325228794
3HAD180,2.175210325228797,2.175210325228677
3HAD40,2.1752103252287953,2.1752103252286763
3HAD4M6,2.1752103252287953,2.1752103252287838
3HAD5M6,2.1752103252287953,2.17521032522876
3HAD60,2.1752103252287958,2.175210325228759
3HAD6M8,2.1752103252287953,2.1752103252288135
3HAD7M8,2.1752103252287953,2.1752103252287442
3HAD80,2.175210325228796,2.1752103252287527
3HAD8M10,2.1752103252287958,2.1752103252287514
3HAD9M10,2.1752103252287958,2.175210325228751
3MOBS,0.0,0.0
3OAR100,2.175210325228796,2.175210325228756
3OAR10M11,0.0,0.0
3OAR10M12,2.175210325228796,2.1752103252287514
3OAR11M12,2.175210325228796,2.1752103252287514
3OAR120,2.175210325228797,2.1752103252287562
3OAR12M13,0.0,0.0
3OAR12M14,2.175210325228796,2.1752103252287514
3OAR13M14,2.175210325228796,2.1752103252287514
3OAR140,2.175210325228797,2.1752103252287562
3OAR14M15,0.0,0.0
3OAR14M16,2.1752103252287966,2.1752103252287522
3OAR15M16,2.1752103252287966,2.1752103252287522
3OAR160,2.1752103252287975,2.175210325228757
3OAR180,2.175210325228798,2.1752103252287576
3OAR40,2.1752103252287953,2.175210325228755
3OAR4M5,0.0,0.0
3OAR4M6,2.1752103252287953,2.1752103252287505
3OAR5M6,2.1752103252287953,2.17521032522875
3OAR60,2.1752103252287958,2.175210325228755
3OAR6M7,0.0,0.0
3OAR6M8,2.1752103252287953,2.175210325228751
3OAR7M8,2.1752103252287953,2.1752103252287505
3OAR80,2.175210325228796,2.175210325228755
3OAR8M10,2.1752103252287958,2.1752103252287514
3OAR8M9,0.0,0.0
3OAR9M10,2.1752103252287958,2.175210325228751
3OAS100,2.175210325228796,2.1752103252287553
3OAS10M11,0.0,0.0
3OAS10M12,2.175210325228796,2.1752103252287514
3OAS11M12,2.175210325228796,2.1752103252287514
