,minimum,maximum
15DAPtex,-1000.0,1.7819286017199348e-11
15DAPtpp,0.0,1000.0
1HIBUPGLU_St2pp,0.0,999.9999999999998
1HIBUPGLU_Stex,0.0,999.9999999999998
1HIBUP_S_GLCAASE,0.0,999.9999999999998
1HIBUP_Stepp,0.0,999.9999999999999
1HIBUP_Stex,-1000.0,0.0
1HMDGLUC_GLCAASE,0.0,1000.0000000000001
1HMDGLUCt2pp,0.0,1000.0000000000001
1HMDGLUCtex,0.0,1000.0000000000001
1OHMDZtepp,0.0,1000.0
1OHMDZtex,-1000.0,-3.4001850214453616e-13
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,3.58034460979729,1000.0
26DAPt2rpp,3.5803446097976295,999.9999999999998
2AHBUTI,1.643407770080907e-13,1000.0
2DDGLCNtex,-999.9999999999999,1.8548216038626744e-11
2DDPENGAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DH3DGLCA,-995.4271909074091,0.0
2DHPL,-1.5562575688790096e-11,1000.0
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,999.9999999999997
2HATVACIDGLUCt2pp,0.0,999.9999999999998
2HATVACIDGLUCtex,0.0,999.9999999999998
2HATVACIDtepp,0.0,999.9999999999999
2HATVACIDtex,-1000.0,0.0
2HATVLACGLUC_GLCAASE,0.0,1000.0000000000001
2HATVLACGLUCt2pp,0.0,1000.0000000000001
2HATVLACGLUCtex,0.0,1000.0000000000001
2HATVLACtepp,0.0,1000.0
2HATVLACtex,-1000.0,-6.049259727497008e-13
2HBO,0.0,0.0
2HIBUPGLU_St2pp,0.0,999.9999999999998
2HIBUPGLU_Stex,0.0,999.9999999999998
2HIBUP_S_GLCAASE,0.0,999.9999999999998
2HIBUP_Stepp,0.0,999.9999999999999
2HIBUP_Stex,-1000.0,2.8633137022698035e-13
2HYOXPLACt2rpp,-977.8803386866368,0.0
2HYOXPLACtex,-977.8803386866349,0.0
2IPDPIPT,0.0,0.0
