,minimum,maximum
15DAPtex,-344.51764051315695,3.079415160728687e-12
15DAPtpp,0.0,951.493245332336
1HIBUPGLU_St2pp,0.0,999.9999999999999
1HIBUPGLU_Stex,0.0,1000.0000000000001
1HIBUP_S_GLCAASE,0.0,1000.0000000000001
1HIBUP_Stepp,0.0,1000.0000000000001
1HIBUP_Stex,-1000.0,-8.023327613645151e-14
1HMDGLUC_GLCAASE,0.0,1000.0000000000001
1HMDGLUCt2pp,0.0,1000.0000000000005
1HMDGLUCtex,0.0,1000.0000000000005
1OHMDZtepp,0.0,1000.0000000000002
1OHMDZtex,-1000.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0000000000001,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0000000000001
2DDGLCNtex,-1000.0,3.801497182095209e-12
2DDPENGAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DH3DGLCA,-1.2285028975883092e-12,0.0
2DHPL,-2.2935344003057757e-12,1000.0
2DMMQ8abcpp,0.0,8.707155180554278e-13
2DMMQ8tex,0.0,2.395169693097895e-12
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,1000.0000000000001
2HATVACIDGLUCt2pp,0.0,1000.0000000000001
2HATVACIDGLUCtex,0.0,1000.0000000000001
2HATVACIDtepp,0.0,1000.0000000000001
2HATVACIDtex,-1000.0,-8.023327613645152e-14
2HATVLACGLUC_GLCAASE,0.0,1000.0
2HATVLACGLUCt2pp,0.0,1000.0000000000005
2HATVLACGLUCtex,0.0,1000.0000000000005
2HATVLACtepp,0.0,1000.0000000000002
2HATVLACtex,-1000.0,1.6046655227290305e-13
2HBO,0.0,0.0
2HIBUPGLU_St2pp,0.0,1000.0000000000001
2HIBUPGLU_Stex,0.0,1000.0000000000001
2HIBUP_S_GLCAASE,0.0,1000.0000000000001
2HIBUP_Stepp,0.0,1000.0000000000001
2HIBUP_Stex,-1000.0,0.0
2HYOXPLACt2rpp,-344.51764051307754,0.0
2HYOXPLACtex,-344.5176405132104,0.0
2IMZS,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,14.475894722570507,14.47589472256529
2OBUTt2rpp,-309.7015027046711,1000.0
2OBUTtex,-309.70150270467445,1000.0
2OH_CBZ_GLC_GLCAASE,0.0,1000.0
2OH_CBZ_GLCt2pp,0.0,1000.0000000000005
2OH_CBZ_GLCtex,0.0,1000.0000000000005
2OH_CBZtepp,0.0,1000.0000000000002
2OH_CBZtex,-1000.0,4.813996568187093e-13
2OH_MTZ_GLC_GLCAASE,0.0,1000.0
2OH_MTZ_GLCt2pp,0.0,1000.0000000000005
2OH_MTZ_GLCtex,0.0,1000.0000000000005
2OH_MTZtepp,0.0,1000.0000000000002
2OH_MTZtex,-1000.0,-2.4069982840935457e-13
2OMMBOX,0.5262092412714082,0.5262092412710236
2OMPHH,0.5262092412709691,0.5262092412710259
2S6HCC,-1000.0,5.3025643711526855e-14
33HPHACt2rpp,0.0,998.4213722761862
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,-998.4213722761862,0.0
34DHPHAtex,-998.4213722761888,0.0
34DHPHEtex,0.0,0.0
34HPPOR,0.0,0.0
34HPPORdc,0.0,172.25882025660096
3CARLPDH,-1.0311740146345444e-12,0.0
3DGUR,0.0,1000.0
3FCHDCOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,-2.882112823083716e-14
3HACPR2,0.0,-1.2857177298432593e-14
3HAD100,61.25371258393751,61.253712583954595
3HAD10M12,14.475894722570509,14.475894722574736
3HAD11M12,14.475894722570509,14.475894722577815
3HAD120,61.253712583940306,61.25371258394642
3HAD12M14,14.475894722570509,14.475894722575768
3HAD13M14,14.475894722570509,14.475894722580579
3HAD140,18.72618354331113,965.9779767675041
3HAD14M16,14.475894722570509,14.475894722570503
3HAD15M16,14.475894722570509,14.47589472257049
3HAD160,14.475894722568587,14.475894722570485
3HAD180,14.475894722569253,14.475894722570485
3HAD40,61.25371258394001,61.25371258392554
3HAD4M6,14.475894722570509,14.475894722570231
3HAD5M6,14.475894722570509,14.475894722571345
3HAD60,61.25371258394155,61.25371258393788
3HAD6M8,14.475894722570509,14.475894722568523
3HAD7M8,14.475894722570509,14.475894722567862
3HAD80,61.25371258394155,61.25371258394154
3HAD8M10,14.475894722570509,14.475894722571722
3HAD9M10,14.475894722570509,14.475894722567862
3HBCOAE,-999.9999999999999,1000.0
3HCINNMH,0.0,0.0
3HIBUPGLU_St2pp,0.0,1000.0000000000001
3HIBUPGLU_Stex,0.0,1000.0000000000001
3HIBUP_S_GLCAASE,0.0,1000.0000000000001
3HIBUP_Stepp,0.0,1000.0000000000001
3HIBUP_Stex,-1000.0,5.982079787702292e-13
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,998.4213722761871
3HPHACtex,0.0,998.421372276187
3HPPD,0.0,0.0
3HPPPNH,0.0,0.0
3MEACMPtepp,0.0,1000.0000000000002
3MEACMPtex,-1000.0,0.0
3MOBS,-344.5176405132014,0.0
3OAACPR1,0.0,8.01979220336339e-13
3OAACPR2,0.0,7.217812983027044e-13
3OAR100,61.253712583939155,61.25371258394843
3OAR10M11,0.0,0.0
3OAR10M12,14.475894722570507,14.475894722576687
3OAR11M12,14.475894722570507,14.475894722576417
3OAR120,61.25371258394085,61.253712583949444
3OAR12M13,0.0,0.0
3OAR12M14,14.475894722570507,14.475894722578628
3OAR13M14,14.475894722570507,14.47589472257999
