,minimum,maximum
15DAPtex,-340.78128372995985,1.8727008456085916e-11
15DAPtpp,0.0,951.2558797754128
1HIBUPGLU_St2pp,0.0,1000.0000000000001
1HIBUPGLU_Stex,0.0,1000.0000000000001
1HIBUP_S_GLCAASE,0.0,1000.0000000000001
1HIBUP_Stepp,0.0,1000.0000000000001
1HIBUP_Stex,-1000.0,0.0
1HMDGLUC_GLCAASE,0.0,1000.0000000000001
1HMDGLUCt2pp,0.0,1000.0000000000005
1HMDGLUCtex,0.0,1000.0000000000005
1OHMDZtepp,0.0,1000.0000000000002
1OHMDZtex,-1000.0,1.2043213175405197e-13
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-999.9999999999997,1000.0000000000002
2DDGLCNtex,-1000.0,4.149569576838985e-11
2DDPENGAL,0.0,0.0
2DH3DGLCA,-1.7403791049167713e-11,-3.0625668411950173e-27
2DHPL,-2.466916908428708e-11,1000.0
2DMMQ8abcpp,0.0,2.0864103386278295e-11
2DMMQ8tex,0.0,1.9373317545333074e-11
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,1000.0000000000001
2HATVACIDGLUCt2pp,0.0,1000.0000000000001
2HATVACIDGLUCtex,0.0,1000.0000000000001
2HATVACIDtepp,0.0,1000.0000000000001
2HATVACIDtex,-1000.0,3.8802111957878043e-13
2HATVLACGLUC_GLCAASE,0.0,1000.0000000000001
2HATVLACGLUCt2pp,0.0,1000.0000000000005
2HATVLACGLUCtex,0.0,1000.0000000000005
2HATVLACtepp,0.0,1000.0000000000002
2HATVLACtex,-1000.0,1.47151040226932e-13
2HBO,0.0,0.0
2HIBUPGLU_St2pp,0.0,1000.0000000000001
2HIBUPGLU_Stex,0.0,1000.0000000000001
2HIBUP_S_GLCAASE,0.0,1000.0000000000001
2HIBUP_Stepp,0.0,1000.0000000000001
2HIBUP_Stex,-1000.0,-1.638421215997108e-13
2IMZS,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,14.54673184281184,14.546731842811889
2OBUTt2rpp,-283.44179433733274,999.9999999999998
2OBUTtex,-283.441794337345,1000.0
2OH_CBZ_GLC_GLCAASE,0.0,1000.0000000000001
2OH_CBZ_GLCt2pp,0.0,1000.0000000000005
2OH_CBZ_GLCtex,0.0,1000.0000000000005
2OH_CBZtepp,0.0,1000.0000000000002
2OH_CBZtex,-1000.0,-8.866668161211215e-14
2OH_MTZ_GLC_GLCAASE,0.0,1000.0
2OH_MTZ_GLCt2pp,0.0,1000.0000000000005
2OH_MTZ_GLCtex,0.0,1000.0000000000005
2OH_MTZtepp,0.0,1000.0000000000002
2OH_MTZtex,-1000.0,-2.699277353591516e-13
2OMMBOX,0.528784221810455,0.52878422181709
2OMPHH,0.5287842218103136,0.5287842218170895
2S6HCC,-1000.0,1.089223961221321e-12
33HPHACt2rpp,0.0,998.4136473345596
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,-998.4136473345621,340.7812837301158
34DHPHAtex,-998.4136473345617,340.78128373017785
34DHPHEtex,0.0,0.0
34HPPORdc,0.0,170.39064186506724
3CARLPDH,0.0,0.0
3DGUR,0.0,1000.0
3FCHDCOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,-5.5219827994366287e-14
3HACPR2,0.0,7.283545785893113e-14
3HAD100,61.5534547889201,61.55345478898995
3HAD10M12,14.54673184281184,14.546731842811885
3HAD11M12,14.54673184281184,14.546731842811873
3HAD120,61.553454788916326,61.55345478898118
3HAD12M14,14.54673184281184,14.546731842811885
3HAD13M14,14.54673184281184,14.546731842811873
3HAD140,18.817819254979486,965.8114915728501
3HAD14M16,14.54673184281184,14.54673184281188
3HAD15M16,14.54673184281184,14.54673184281188
3HAD160,14.546731842782592,14.54673184281188
3HAD180,14.546731842786574,14.546731842811877
3HAD40,61.55345478892012,61.5534547889601
3HAD4M6,14.54673184281184,14.546731842811882
3HAD5M6,14.54673184281184,14.54673184281188
3HAD60,61.55345478892177,61.55345478896272
3HAD6M8,14.54673184281184,14.546731842811882
3HAD7M8,14.54673184281184,14.546731842811882
3HAD80,61.55345478892178,61.55345478896272
3HAD8M10,14.54673184281184,14.546731842811882
3HAD9M10,14.54673184281184,14.54673184281188
3HBCOAE,0.0,0.0
3HCINNMH,0.0,0.0
3HIBUPGLU_St2pp,0.0,1000.0000000000001
3HIBUPGLU_Stex,0.0,1000.0000000000001
3HIBUP_S_GLCAASE,0.0,1000.0000000000001
3HIBUP_Stepp,0.0,1000.0000000000001
3HIBUP_Stex,-1000.0,-1.1094352385967362e-13
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,998.4136473345584
3HPHACtex,0.0,998.4136473345604
3HPPD,0.0,0.0
3HPPPNH,0.0,0.0
3MEACMPtepp,0.0,1000.0
3MEACMPtex,-1000.0,0.0
3MOBS,-340.78128373002545,0.0
3OAACPR1,0.0,9.158474122590074e-13
3OAACPR2,0.0,9.158474122590074e-13
3OAR100,61.55345478892152,61.55345478896733
3OAR10M11,0.0,0.0
3OAR10M12,14.54673184281184,14.546731842811884
3OAR11M12,14.54673184281184,14.5467318428119
3OAR120,61.553454788922174,61.55345478897479
3OAR12M13,0.0,0.0
