,minimum,maximum
15DAPtex,-341.4221469879397,-1.944281044969183e-11
15DAPtpp,0.0,951.2641738053422
1HIBUPGLU_St2pp,0.0,1000.0000000000001
1HIBUPGLU_Stex,0.0,1000.0
1HIBUP_S_GLCAASE,0.0,1000.0000000000001
1HIBUP_Stepp,0.0,1000.0
1HIBUP_Stex,-1000.0,0.0
1HMDGLUC_GLCAASE,0.0,1000.0000000000001
1HMDGLUCt2pp,0.0,1000.0000000000003
1HMDGLUCtex,0.0,1000.0000000000006
1OHMDZtepp,0.0,1000.0000000000001
1OHMDZtex,-1000.0,4.029736954801758e-14
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-999.9999999999999,1000.0
2DDPENGAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DH3DGLCA,2.3100772873377305e-11,-1.0025049348407902e-13
2DHPL,2.3667257626186975e-11,999.9999999999994
2DMMQ8abcpp,0.0,-2.2975438944302315e-11
2DMMQ8tex,0.0,-2.2048878524247332e-11
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,1000.000000000001
2HATVACIDGLUCt2pp,0.0,1000.0000000000001
2HATVACIDGLUCtex,0.0,1000.0
2HATVACIDtepp,0.0,1000.0
2HATVACIDtex,-1000.0,0.0
2HATVLACGLUC_GLCAASE,0.0,1000.0
2HATVLACGLUCt2pp,0.0,1000.0000000000003
2HATVLACGLUCtex,0.0,1000.0000000000006
2HATVLACtepp,0.0,1000.0000000000001
2HATVLACtex,-1000.0,-6.334915514760822e-12
2HBO,0.0,0.0
2HIBUPGLU_St2pp,0.0,1000.0000000000002
2HIBUPGLU_Stex,0.0,1000.0
2HIBUP_S_GLCAASE,0.0,1000.0000000000001
2HIBUP_Stepp,0.0,1000.0
2HIBUP_Stex,-1000.0,1.6118947819207026e-13
2HYDOGDH,0.0,0.0
2HYOXPLACt2rpp,-341.42214698787507,0.0
2HYOXPLACtex,-341.42214698788587,0.0
2IMZS,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,14.544256651361486,14.544256651361442
2OBUTt2rpp,-284.62110841250393,1000.0000000000001
2OBUTtex,-284.6211084125096,1000.0
2OH_CBZ_GLC_GLCAASE,0.0,1000.0
2OH_CBZ_GLCt2pp,0.0,1000.0000000000003
2OH_CBZ_GLCtex,0.0,1000.0000000000006
2OH_CBZtepp,0.0,1000.0000000000001
2OH_CBZtex,-1000.0,-1.5080461717747706e-13
2OH_MTZ_GLC_GLCAASE,0.0,1000.0000000000001
2OH_MTZ_GLCt2pp,0.0,1000.0000000000003
2OH_MTZ_GLCtex,0.0,1000.0000000000006
2OH_MTZtepp,0.0,1000.0000000000001
2OH_MTZtex,-1000.0,-1.145320128103366e-27
2OMMBOX,0.5286942468244594,0.5286942468179552
2OMPHH,0.5286942468242604,0.5286942468179556
2S6HCC,-1000.0,-1.2808407199122064e-12
33HPHACt2rpp,0.0,998.4139172595354
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,-998.4139172594628,0.0
34DHPHAtex,-998.4139172595341,0.0
34DHPHEtex,0.0,0.0
34HPPOR,0.0,0.0
34HPPORdc,0.0,170.71107349395473
3CARLPDH,0.0,0.0
3DGUR,0.0,1000.0
3FCHDCOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,-2.939689716985054e-14
3HACPR2,0.0,1.449804214431645e-13
3HAD100,61.54298119348096,61.5429811934337
3HAD10M12,14.54425665136149,14.544256651361438
3HAD11M12,14.54425665136149,14.544256651361437
3HAD120,61.54298119347808,61.542981193428595
3HAD12M14,14.54425665136149,14.544256651361438
3HAD13M14,14.54425665136149,14.544256651361437
3HAD140,18.81461731896563,965.8173089003902
3HAD14M16,14.54425665136149,14.544256651361438
3HAD15M16,14.54425665136149,14.544256651361444
3HAD160,14.544256651384835,14.544256651361438
3HAD180,14.544256651384835,14.544256651361442
3HAD40,61.54298119347809,61.54298119342867
3HAD4M6,14.54425665136149,14.544256651361438
3HAD5M6,14.54425665136149,14.544256651361444
3HAD60,61.54298119347808,61.54298119342866
3HAD6M8,14.54425665136149,14.544256651361438
3HAD7M8,14.54425665136149,14.544256651361444
3HAD80,61.54298119347809,61.54298119342866
3HAD8M10,14.54425665136149,14.544256651361438
3HAD9M10,14.54425665136149,14.544256651361444
3HBCOAE,-999.9999999999769,1000.0
3HCINNMH,0.0,0.0
3HIBUPGLU_St2pp,0.0,1000.0000000000002
3HIBUPGLU_Stex,0.0,1000.0
3HIBUP_S_GLCAASE,0.0,1000.0000000000001
3HIBUP_Stepp,0.0,1000.0
3HIBUP_Stex,-1000.0,-4.928956888535e-13
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,998.4139172595354
3HPHACtex,0.0,998.4139172595347
3HPPD,0.0,0.0
3HPPPNH,0.0,0.0
3MEACMPtepp,0.0,1000.0000000000001
3MEACMPtex,-999.9999999999999,0.0
3MOBS,-341.42214698788064,0.0
3OAACPR1,0.0,3.425155498623612e-12
3OAACPR2,0.0,3.4251554986236116e-12
3OAR100,61.54298119347895,61.542981193433384
3OAR10M11,0.0,0.0
3OAR10M12,14.544256651361488,14.544256651361438
3OAR11M12,14.544256651361488,14.544256651361419
3OAR120,61.54298119347785,61.54298119342484
3OAR12M13,0.0,0.0
3OAR12M14,14.544256651361488,14.544256651361438
3OAR13M14,14.544256651361488,14.54425665136142
3OAR140,52.997308418575365,1000.0000000000001
3OAR14M15,0.0,0.0
3OAR14M16,14.544256651361488,14.544256651361424
3OAR15M16,14.544256651361488,14.544256651361428
3OAR160,14.544256651384607,14.544256651361428
3OAR180,14.544256651384607,14.544256651361424
3OAR40,61.5429811934778,61.54298119342484
3OAR4M5,0.0,0.0
3OAR4M6,14.544256651361488,14.544256651361438
3OAR5M6,14.544256651361488,14.544256651361414
3OAR60,61.5429811934778,61.54298119342484
3OAR6M7,0.0,0.0
3OAR6M8,14.544256651361488,14.544256651361438
3OAR7M8,14.544256651361488,14.544256651361414
3OAR80,61.5429811934778,61.54298119342484
3OAR8M10,14.544256651361488,14.544256651361438
3OAR8M9,0.0,0.0
3OAR9M10,14.544256651361488,14.544256651361415
3OAS100,61.542981193477814,61.542981193424836
3OAS10M11,0.0,0.0
3OAS10M12,14.544256651361485,14.544256651361435
3OAS11M12,14.544256651361485,14.544256651361422
3OAS120,61.542981193477836,61.542981193424836
3OAS12M13,0.0,0.0
3OAS12M14,14.544256651361485,14.544256651361435
3OAS13M14,14.544256651361485,14.544256651361422
3OAS140,52.99730841857536,1000.0
3OAS160,14.544256651384599,14.544256651361417
3OAS180,14.54425665138461,14.544256651361422
3OAS2M3,0.0,0.0
3OAS3M4,14.544256651361488,14.544256651361405
3OAS4M3O6,14.544256651361488,14.54425665136142
3OAS4M5,0.0,0.0
3OAS4M6,14.544256651361485,14.544256651361449
3OAS5M6,14.544256651361485,14.544256651361428
3OAS60,61.54298119347779,61.542981193433576
3OAS6M7,0.0,0.0
3OAS6M8,14.544256651361485,14.544256651361438
3OAS7M8,14.544256651361485,14.544256651361435
3OAS80,61.54298119347779,61.54298119342993
3OAS8M10,14.544256651361485,14.544256651361438
3OAS8M9,0.0,0.0
3OAS9M10,14.544256651361485,14.54425665136144
3OH_CBZ_GLC_GLCAASE,0.0,1000.0
3OH_CBZ_GLCt2pp,0.0,1000.0000000000003
3OH_CBZ_GLCtex,0.0,1000.0000000000006
3OH_CBZtepp,0.0,1000.0000000000001
3OH_CBZtex,-1000.0,-8.059473909603514e-14
3OH_DLOR_GLC_GLCAASE,0.0,1000.0
3OH_DLOR_GLCt2pp,0.0,1000.0000000000003
3OH_DLOR_GLCtex,0.0,1000.0000000000006
3OH_DLORtepp,0.0,1000.0000000000001
3OH_DLORtex,-1000.0,8.059473909603514e-14
3OH_MDEA_GLC_GLCAASE,0.0,1000.0
3OH_MDEA_GLCt2pp,0.0,1000.0000000000003
3OH_MDEA_GLCtex,0.0,1000.0000000000006
3OH_MDEAtepp,0.0,1000.0000000000001
3OH_MDEAtex,-1000.0,-3.2237895638414047e-13
3OH_MXN_GLC_GLCAASE,0.0,1000.0
3OH_MXN_GLCt2pp,0.0,1000.0000000000003
3OH_MXN_GLCtex,0.0,1000.0000000000006
3OH_MXNtepp,0.0,1000.0000000000001
3OH_MXNtex,-1000.0,-8.059473909603512e-14
3OXCOAT,0.0,998.4139172595294
3SCITMCOAHL,0.0,0.0
4ABUTtex,-1000.0,999.999999999989
4ABZt2pp,1.586082740462023,1.586082740446004
4ABZtex,1.5860827404624598,1.586082740445805
4C2HM6SADH,0.0,0.0
4DH_TPNO_1GLC_GLCAASE,0.0,1000.0000000000001
4DH_TPNO_1GLCt2pp,0.0,1000.0000000000001
4DH_TPNO_1GLCtex,0.0,1000.0
4DH_TPNOtepp,0.0,1000.0
4DH_TPNOtex,-1000.0,0.0
4FCHDCOR,0.0,0.0
4GBTAH,-341.4221469878615,341.42214698787166
4HBZCL,0.0,0.0
4HMDGLUC_GLCAASE,0.0,1000.0
4HMDGLUCt2pp,0.0,1000.0000000000003
4HMDGLUCtex,0.0,1000.0000000000006
4HOXPACDt2rpp,0.0,0.0
4HOXPACDtex,0.0,0.0
4HP34DHPD,0.0,341.4221469878902
4HTHDR,4.270360667580791,4.270360667566672
4HTHDS,4.270360667580792,4.270360667569219
4HTHRS,0.0,0.0
4OHMDZtepp,0.0,1000.0000000000001
4OHMDZtex,-1000.0,2.890371162097247e-12
4OH_DCF_GLC_GLCAASE,0.0,1000.0000000000008
4OH_DCF_GLCt2pp,0.0,1000.0000000000001
4OH_DCF_GLCtex,0.0,1000.0
4OH_DCFtepp,0.0,1000.0
4OH_DCFtex,-1000.0,0.0
4OH_KP_GLC_GLCAASE,0.0,1000.0000000000002
4OH_KP_GLCt2pp,0.0,1000.0000000000001
4OH_KP_GLCtex,0.0,1000.0
4OH_KPtepp,0.0,1000.0
4OH_KPtex,-1000.0,0.0
4OH_LEVOLE_GLC_GLCAASE,0.0,1000.0000000000001
4OH_LEVOLE_GLCt2pp,0.0,1000.0000000000003
4OH_LEVOLE_GLCtex,0.0,1000.0000000000006
4OH_LEVOLEtepp,0.0,1000.0000000000001
4OH_LEVOLEtex,-1000.0,0.0
4OH_METH_GLC_GLCAASE,0.0,1000.0000000000002
4OH_METH_GLCt2pp,0.0,1000.0000000000001
4OH_METH_GLCtex,0.0,1000.0
4OH_METHtepp,0.0,1000.0
4OH_METHtex,-1000.0,0.0
4OH_PROPL_GLC_GLCAASE,0.0,1000.0000000000001
4OH_PROPL_GLCt2pp,0.0,1000.0000000000003
4OH_PROPL_GLCtex,0.0,1000.0000000000006
4OH_PROPLtepp,0.0,1000.0000000000001
4OH_PROPLtex,-1000.0,-6.923843795569704e-13
4OH_TRZ_GLC_GLCAASE,0.0,1000.0
4OH_TRZ_GLCt2pp,0.0,1000.0000000000003
4OH_TRZ_GLCtex,0.0,1000.0000000000006
4OH_TRZtepp,0.0,1000.0000000000001
4OH_TRZtex,-1000.0,1.1322029942801245e-12
4OH_VCZ_GLC_GLCAASE,0.0,1000.0000000000002
4OH_VCZ_GLCt2pp,0.0,1000.0000000000001
4OH_VCZ_GLCtex,0.0,1000.0
4OH_VCZtepp,0.0,1000.0
4OH_VCZtex,-1000.0,0.0
56DFURADH,-1000.0000000000005,999.9999999999987
5AIZCDC,0.0,-2.318736275228135e-11
5ASAppp,0.0,999.9999999999999
5ASAtex,0.0,999.9999999999999
5CM2HMUDI,0.0,0.0
5DGLCNR,-1000.0,1000.0
5DOAN,0.0,-7.124638439037487e-12
5FCHDCOR,0.0,0.0
5FURAtex,-1000.0,999.9999999999999
5FURAtpp,-1000.0,999.9999999999999
5GLUP5T1,0.0,0.0
5GLUP5T2,0.0,0.0
5HISAH,0.0,0.0
5HLTDL,0.0,0.0
5HXKYNDCL,0.0,0.0
5MTHCYST,-22.349176967080396,-4.077197414203157e-15
5MTHFGLUNFT,0.0,0.0
5MTHFtex,7.685826768586709e-12,0.0
5OHFVSGLU_GLCAASE,0.0,1000.0000000000001
5OHFVSGLUt2pp,0.0,1000.0000000000003
5OHFVSGLUtex,0.0,1000.0000000000006
5OHFVStepp,0.0,1000.0000000000001
