,minimum,maximum
15DAPtex,-1000.0,2.2102205365681226e-13
15DAPtpp,0.0,1000.0
1HIBUPGLU_St2pp,0.0,999.9999999999999
1HIBUPGLU_Stex,0.0,999.9999999999999
1HIBUP_S_GLCAASE,0.0,1000.0
1HIBUP_Stepp,0.0,999.9999999999999
1HIBUP_Stex,-1000.0,2.2737367544323206e-13
1HMDGLUC_GLCAASE,0.0,1000.0000000000001
1HMDGLUCt2pp,0.0,1000.0000000000001
1HMDGLUCtex,0.0,1000.0000000000001
1OHMDZtepp,0.0,1000.0
1OHMDZtex,-1000.0,-3.621225184372597e-14
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,4.2411099720319845,1000.0
26DAPt2rpp,4.241109972026895,1000.0000000000001
2AHBUTI,6.1717783478979326e-12,1000.0
2DDGLCNtex,-1000.0,-7.921608281132381e-12
2DDPENGAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DH3DGLCA,1.1762208070351848e-11,0.0
2DHPL,6.451329736272457e-12,1000.0
2DOHMC5DPT,0.0,0.0
2H3OGL,0.0,0.0
2HATVACIDGLUC_GLCAASE,0.0,1000.0000000000001
2HATVACIDGLUCt2pp,0.0,999.9999999999999
2HATVACIDGLUCtex,0.0,999.9999999999999
2HATVACIDtepp,0.0,999.9999999999999
2HATVACIDtex,-1000.0,2.2737367544323206e-12
2HATVLACGLUC_GLCAASE,0.0,1000.0000000000001
2HATVLACGLUCt2pp,0.0,1000.0000000000001
2HATVLACGLUCtex,0.0,1000.0000000000001
2HATVLACtepp,0.0,1000.0
2HATVLACtex,-1000.0,-1.0792472872626867e-12
2HBO,0.0,0.0
2HIBUPGLU_St2pp,0.0,1000.0000000000001
2HIBUPGLU_Stex,0.0,999.9999999999999
2HIBUP_S_GLCAASE,0.0,1000.0
2HIBUP_Stepp,0.0,999.9999999999999
2HIBUP_Stex,-1000.0,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-973.7980763313093,0.0
2HYOXPLACtex,-973.7980763313245,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,14.444632835829436,14.444632835829413
2OBUTt2rpp,-908.7622971936705,1000.0
2OBUTtex,-908.7622971937035,1000.0
2OH_CBZ_GLC_GLCAASE,0.0,1000.0000000000001
2OH_CBZ_GLCt2pp,0.0,1000.0000000000001
2OH_CBZ_GLCtex,0.0,1000.0000000000001
2OH_CBZtepp,0.0,1000.0
2OH_CBZtex,-1000.0,-4.808702711310729e-13
2OH_MTZ_GLC_GLCAASE,0.0,1000.0000000000001
2OH_MTZ_GLCt2pp,0.0,1000.0000000000001
2OH_MTZ_GLCtex,0.0,1000.0000000000001
2OH_MTZtepp,0.0,1000.0
2OH_MTZtex,-1000.0,5.770443253572867e-13
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
2S6HCC,-1000.0,-4.611751835410806e-13
34DHOXPEGOX,0.0,0.0
34HPPOR,0.0,0.0
34HPPORdc,0.0,0.0
3CARLPDH,0.0,0.0
3DGUR,0.0,1000.0
3FCHDCOR,0.0,0.0
3HACOAOR,0.0,0.0
3HAD100,61.12143014740485,999.9999999999995
3HAD10M12,14.444632835829436,14.44463283582939
3HAD11M12,14.444632835829436,14.44463283582911
3HAD120,61.12143014739745,1000.0000000000002
3HAD12M14,14.444632835829436,14.444632835829113
3HAD13M14,14.444632835829436,14.444632835829113
3HAD140,18.6857428078678,957.5643126604715
3HAD14M16,14.444632835829436,14.444632835829404
3HAD15M16,14.444632835829436,14.444632835829115
3HAD160,14.444632835843354,953.3232026884464
3HAD180,14.44463283584336,953.3232026884465
3HAD40,61.12143014739761,1000.0000000000006
3HAD4M6,14.444632835829436,14.444632835829404
3HAD5M6,14.444632835829436,14.444632835829307
3HAD60,61.12143014739738,999.9999999999999
3HAD6M8,14.444632835829436,14.444632835829305
3HAD7M8,14.444632835829436,14.444632835829312
3HAD80,61.12143014739739,999.9999999999999
3HAD8M10,14.444632835829436,14.444632835829305
3HAD9M10,14.444632835829436,14.444632835829315
3HBCOAE,-999.9999999999861,1000.0
3HIBUPGLU_St2pp,0.0,1000.0000000000001
3HIBUPGLU_Stex,0.0,999.9999999999999
3HIBUP_S_GLCAASE,0.0,1000.0
3HIBUP_Stepp,0.0,999.9999999999999
3HIBUP_Stex,-1000.0,0.0
3HPCOAHL,0.0,0.0
3HPPD,0.0,0.0
3MEACMPtepp,0.0,1000.0
3MEACMPtex,-1000.0,0.0
3MOBS,-1000.0,0.0
3OAR100,61.1214301473942,1000.0
3OAR10M11,0.0,0.0
3OAR10M12,14.444632835829436,14.444632835829399
3OAR11M12,14.444632835829436,14.444632835829205
3OAR120,61.12143014739422,1000.0000000000002
3OAR12M13,0.0,0.0
3OAR12M14,14.444632835829436,14.44463283582921
3OAR13M14,14.444632835829436,14.44463283582921
3OAR140,52.63429267948832,991.5128625320945
3OAR14M15,0.0,0.0
3OAR14M16,14.444632835829436,14.444632835829395
3OAR15M16,14.444632835829436,14.444632835829218
3OAR160,14.444632835840169,953.3232026884461
3OAR180,14.444632835840187,953.3232026884465
3OAR40,61.12143014739426,1000.0000000000003
3OAR4M5,0.0,0.0
3OAR4M6,14.444632835829436,14.444632835829392
3OAR5M6,14.444632835829436,14.444632835829198
3OAR60,61.12143014739414,999.9999999999999
3OAR6M7,0.0,0.0
3OAR6M8,14.444632835829436,14.4446328358292
3OAR7M8,14.444632835829436,14.444632835829198
3OAR80,61.12143014739417,999.9999999999999
3OAR8M10,14.444632835829436,14.444632835829204
3OAR8M9,0.0,0.0
3OAR9M10,14.444632835829436,14.444632835829198
3OAS100,61.121430147394186,1000.0
3OAS10M12,14.444632835829434,14.44463283582921
3OAS11M12,14.444632835829434,14.44463283582921
3OAS120,61.12143014739421,1000.0000000000001
3OAS12M14,14.444632835829434,14.444632835829216
3OAS13M14,14.444632835829434,14.444632835829216
3OAS140,52.634292679488304,991.5128625320945
3OAS160,14.444632835840157,953.3232026884463
3OAS180,14.44463283584018,953.3232026884465
3OAS3M4,14.444632835829434,14.44463283582939
3OAS4M3O6,14.444632835829434,14.444632835829198
3OAS4M6,14.444632835829434,14.4446328358292
3OAS5M6,14.444632835829434,14.4446328358292
3OAS60,61.12143014739413,999.9999999999997
3OAS6M8,14.444632835829434,14.444632835829204
3OAS7M8,14.444632835829434,14.4446328358292
3OAS80,61.12143014739416,999.9999999999997
