,minimum,maximum
26DAP_Mtex,43.60391209558785,63.519615366634824
26DAPt2rpp,43.603912095592946,63.51961536663806
2MBCOATA,1.8597187887485123,1.8597187887484798
3HAD10M12,1.8597187887485112,1.8597187887484916
3HAD11M12,1.8597187887681679,1.8597187887484903
3HAD12M14,1.8597187887485107,1.8597187887484856
3HAD13M14,1.8597187887694195,1.8597187887484812
3HAD14M16,1.8597187887485105,1.859718788748487
3HAD15M16,1.8597187887694195,1.859718788748481
3HAD4M6,1.859718788748512,1.859718788748489
3HAD5M6,1.8597187887694209,1.8597187887484825
3HAD6M8,1.8597187887485118,1.8597187887484885
3HAD7M8,1.8597187887694206,1.8597187887484823
3HAD8M10,1.8597187887485114,1.8597187887484883
3HAD9M10,1.8597187887694202,1.8597187887484816
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,1.8597187887485112,1.8597187887484878
3OAR11M12,1.8597187887694198,1.8597187887484814
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,1.8597187887485107,1.8597187887484874
3OAR13M14,1.8597187887694195,1.859718788748481
3OAR140,4.3708107201188815,4.370810720118827
3OAR14M15,0.0,0.0
3OAR14M16,1.8597187887485103,1.859718788748487
3OAR15M16,1.8597187887694195,1.8597187887484807
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,1.8597187887485123,1.859718788748489
3OAR5M6,1.8597187887694209,1.8597187887484825
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,1.8597187887485118,1.8597187887484885
3OAR7M8,1.8597187887694206,1.859718788748482
3OAR80,0.0,0.0
3OAR8M10,1.8597187887485116,1.859718788748488
3OAR8M9,0.0,0.0
3OAR9M10,1.8597187887694202,1.8597187887484814
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,1.859718788748511,1.8597187887484867
3OAS11M12,1.8597187887694195,1.859718788748483
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,1.859718788748511,1.8597187887484863
3OAS13M14,1.8597187887485052,1.8597187887484832
3OAS140,4.370810720118882,4.370810720118819
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,1.8597187887485072,1.8597187887484776
3OAS4M3O6,1.8597187887485123,1.859718788748481
3OAS4M5,0.0,0.0
3OAS4M6,1.8597187887485118,1.8597187887484796
3OAS5M6,1.859718788748507,1.8597187887484758
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,1.8597187887485116,1.8597187887484812
3OAS7M8,1.8597187887485065,1.8597187887484778
3OAS80,0.0,0.0
3OAS8M10,1.8597187887485112,1.8597187887484738
3OAS8M9,0.0,0.0
3OAS9M10,1.8597187887485058,1.859718788748481
5AIZCDC,0.0,-1.5192555817133638e-11
5DOAN,0.0,-4.7850988838014336e-12
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
A5PISO,2.7314401391891954,2.7314401391891376
AACOAT,0.0,0.0
AB6PGH,0.0,-3.6629904516156447e-11
AB6PGH2,0.0,-5.606012847443713e-11
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACBIPGT,0.06760212280897543,0.06760212280897406
ACCOACL,21.223922784952375,21.223922784952094
ACGAMtex,0.0,-2.146065016500006e-11
ACGAptspp,0.0,-3.191253297336081e-11
ACGK,0.0,-2.128016908196028e-11
ACKr,-113.56132575630328,-73.72991921421868
ACNML,4.599327970862203e-12,0.0
ACOAAGPAT140,0.0,-5.408180169826764e-12
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.9298593943742341
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,0.9298593943742551,0.9298593943742411
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,3.0569444714398975e-15,0.0
ACOAAGPATI17,0.9298593943742551,0.9298593943742401
ACOAD1,0.0,0.0
ACOAD20,0.0,0.0
ACOADH2,0.0,0.0
ACOATA,0.0,0.0
ACOTA,0.0,0.0
ACPS1,0.06760212280897542,0.06760212280897418
ACtex,-115.7467311163653,-75.91532457424913
ACtrpp,-115.74673111636768,-75.91532457428944
ADCPS1,0.0,-9.596742069152636e-12
ADCPS2,0.0,0.0
ADCYRS,0.0,0.0
ADK1,22.561678520912675,22.696882766511212
ADK2,0.06760212280897543,0.06760212280897383
ADMDC,0.0,0.0
ADOCBIK,0.0,0.06760212280897461
