,minimum,maximum
12PPDSDH,0.0,0.0
15DAPtex,1.2128642530803939e-11,0.0
15DAPtpp,0.0,2.2909658113740754e-11
2HYDOGCOAD,0.0,914.9802699229709
2HYDOGCOAT,0.0,914.9802699228055
2HYDOGDH,0.0,914.9802699228054
2IMZS,2.9433019178567797e-12,-4.713093497196244e-12
2MBCOATA,5.2520806798396e-13,0.0
35DACAPDH,0.0,7.558482254909157e-12
36DAHXI,0.0,-1.3867076778862374e-10
3ABUTCOAL,0.0,-1.3867076778862377e-10
3HACPR1,0.0,-4.845091051815965e-12
3HACPR2,0.0,3.141830960294667e-13
3HAD100,16.560618746489215,16.56061874648955
3HAD10M11,0.0,0.0
3HAD10M12,0.0,0.0
3HAD11M12,0.0,0.0
3HAD120,16.560618746489215,16.56061874649064
3HAD12M13,0.0,0.0
3HAD12M14,0.0,0.0
3HAD13M14,0.0,0.0
3HAD140,0.0,-5.6274578317868355e-12
3HAD14M15,0.0,0.0
3HAD14M16,0.0,-1.4488727530227794e-27
3HAD15M16,0.0,0.0
3HAD160,0.0,-2.0157308953632557e-12
3HAD180,0.0,-7.136874927241336e-13
3HAD40,16.560618746489215,16.560618746488558
3HAD4M5,0.0,0.0
3HAD4M6,0.0,4.1896288759100076e-14
3HAD5M6,0.0,0.0
3HAD60,16.560618746489215,16.56061874648485
3HAD6M7,0.0,0.0
3HAD6M8,0.0,0.0
3HAD7M8,0.0,0.0
3HAD80,16.560618746489215,16.560618746486313
3HAD8M10,0.0,0.0
3HAD8M9,0.0,0.0
3HAD9M10,0.0,0.0
3OAACPR1,0.0,-2.2852598692576837e-12
3OAACPR2,0.0,-1.6411513539545125e-12
3OAR100,16.56061874648922,16.560618746485726
3OAR10M11,0.0,0.0
3OAR10M12,0.0,0.0
3OAR11M12,0.0,0.0
3OAR120,16.56061874648922,16.560618746491574
3OAR12M13,0.0,0.0
3OAR12M14,0.0,0.0
3OAR13M14,0.0,0.0
3OAR140,13.24849499719137,13.24849499719373
3OAR14M15,0.0,1.2355831048437714e-12
3OAR14M16,0.0,-1.0091918289888656e-12
3OAR15M16,0.0,-7.419164665057719e-13
3OAR160,0.0,-1.0902886034175058e-12
3OAR180,0.0,-8.102662968455633e-13
3OAR40,16.56061874648922,16.56061874648853
3OAR4M5,0.0,-9.651275677669658e-15
3OAR4M6,0.0,-1.1123667961444784e-14
3OAR5M6,0.0,0.0
3OAR60,16.56061874648922,16.560618746491574
3OAR6M7,0.0,0.0
3OAR6M8,0.0,0.0
3OAR7M8,0.0,0.0
3OAR80,16.56061874648922,16.56061874649157
3OAR8M10,0.0,0.0
3OAR8M9,0.0,0.0
3OAR9M10,0.0,0.0
3OAS100,16.56061874648921,16.560618746491567
3OAS10M11,0.0,0.0
3OAS10M12,0.0,0.0
3OAS11M12,0.0,0.0
3OAS120,16.56061874648921,16.56061874649157
3OAS12M13,0.0,1.2355831048437714e-12
3OAS12M14,0.0,-1.0091918289888656e-12
3OAS13M14,0.0,-7.419164665057718e-13
3OAS140,13.24849499719137,13.2484949971889
3OAS160,0.0,1.061147842983474e-12
