,minimum,maximum
26DAPLLATi,0.0,0.0
26DAPt2r,11.570940092420726,11.57094009241151
2DHPL,0.0,0.0
2DMMQ8abc,0.28223677851749257,191.97338614734454
2HBO,0.0,0.0
2MBCOATA,2.9556212819003282,2.955621281897971
34DHOXPEGOX,0.0,0.0
34DHPHEt2,0.0,0.0
3HAD10M12,2.9556212819003287,2.9556212818979746
3HAD11M12,2.9556212819003367,2.9556212818979803
3HAD12M14,2.9556212819003282,2.955621281897974
3HAD13M14,2.955621281900337,2.955621281897981
3HAD14M16,2.9556212819003287,2.9556212818979746
3HAD15M16,2.955621281900337,2.955621281897981
3HAD4M6,2.9556212819003287,2.9556212818979732
3HAD5M6,2.9556212819003367,2.95562128189798
3HAD6M8,2.9556212819003282,2.9556212818979737
3HAD7M8,2.9556212819003367,2.9556212818979795
3HAD8M10,2.9556212819003282,2.955621281897974
3HAD9M10,2.9556212819003367,2.9556212818979795
3MOPt2r,-987.4312583212983,1000.0
3OAR10M12,2.9556212819003287,2.9556212818979692
3OAR11M12,2.955621281900338,2.955621281897982
3OAR12M14,2.9556212819003282,2.9556212818979755
3OAR13M14,2.9556212819003385,2.9556212818979826
3OAR14M16,2.9556212819003287,2.9556212818979755
3OAR15M16,2.955621281900339,2.955621281897983
3OAR4M6,2.9556212819003287,2.955621281897975
3OAR5M6,2.9556212819003376,2.9556212818979817
3OAR6M8,2.9556212819003282,2.955621281897975
3OAR7M8,2.9556212819003376,2.9556212818979817
3OAR8M10,2.9556212819003282,2.9556212818979755
3OAR9M10,2.9556212819003376,2.9556212818979817
3OAS10M12,2.955621281900329,2.9556212818979755
3OAS11M12,2.9556212819003385,2.9556212818979835
3OAS12M14,2.955621281900329,2.9556212818979755
3OAS13M14,2.955621281900339,2.955621281897983
3OAS3M4,2.9556212819003376,2.955621281897982
3OAS4M3O6,2.955621281900329,2.9556212818979746
3OAS4M6,2.955621281900329,2.9556212818979746
3OAS5M6,2.9556212819003376,2.9556212818979817
3OAS6M8,2.955621281900329,2.955621281897975
3OAS7M8,2.9556212819003376,2.9556212818979817
3OAS8M10,2.955621281900329,2.9556212818979755
3OAS9M10,2.955621281900338,2.955621281897982
4HBZCL,0.0,0.0
4HTHDR,0.0,0.0
4HTHDS,0.0,0.0
4HTHRS,0.0,0.0
5AIZCDC,0.0,1000.0
5APTLPO,0.0,0.0
5HLTDL,0.0,-2.3906060212775614e-09
5HTRPt2,0.0,-2.3907168823171198e-09
5HXKYNDCL,0.0,0.0
5MTHCYST,-268.3676091163537,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,0.0
ACACT1r,0.7062264698269308,0.7062264698263682
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-995.252487812705,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.28223677851749257,0.28223677851726775
ACCOALYS2,0.0,0.0
ACEDIPIT,0.0,0.0
ACGAMT,0.1926072190437083,0.1926072190435546
ACGApts,0.0,-2.3915420670580243e-09
ACKr,-1000.0000000000001,108.19889560787425
ACLDC,0.0,0.0
ACNML,0.0,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,0.0
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,1.4778106409501643,1.4778106409489837
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,1.4778106409501643,1.4778106409489893
ACOCT,0.0,0.0
ACPS1,0.28223677851749257,0.2822367785172679
ACTNDH,-995.252487812708,1000.0
ACTNdiff,-995.2524878127133,1000.0000000000001
ACtr,-1000.0,-1000.0000000023902
ADAD,-0.6707109257357091,0.0
ADEt2r,3.5869668653026485,3.586966865299229
ADK1,-920.9694505273075,1000.0
ADK10,-0.9529477042529737,-0.6707109257362429
ADK11,0.0,0.6707109257357087
ADK2,0.2822367785174927,0.9529477042531352
ADK3,-2.7450447829646913,-1.7895589845803477
ADK5,-31.385094488848516,-29.865135133451723
ADK7,-923.0437843845324,997.9256661427693
ADK8,-0.9554857983857694,0.670710925735711
ADK9,-0.9554857983857695,0.0
ADNCYC,0.0,0.0
ADNK1,0.0,0.0
ADOCBIK,0.2822367785174926,0.28223677851726775
ADOCBLS,0.2822367785174926,0.28223677851726786
ADPRDP,0.0,0.0
ADPT,3.5869668653028883,271.9545759816601
ADSL1r,0.0,0.0
