,minimum,maximum
23DHMPO,6.4995185959501715e-12,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,0.0,25.6385160706762
2AHBUTI,-1.0628237508653833e-43,7.663611478806894e-12
2MBCOATA,7.034898753634164,7.034898753634221
3CARLPDH,0.0,0.0
3HAD100,0.0,6.587785771196978e-13
3HAD10M12,7.034898753634164,7.034898753634517
3HAD11M12,7.034898753634164,7.034898753634535
3HAD120,0.0,3.6046198853177473e-13
3HAD12M14,7.034898753634164,7.034898753634449
3HAD13M14,7.034898753634164,7.0348987536342955
3HAD140,0.0,979.3327551231374
3HAD14M16,7.034898753634164,7.034898753634162
3HAD15M16,7.034898753634164,7.034898753634169
3HAD160,0.0,1.0504119372652623e-12
3HAD180,0.0,1.123415142044868e-12
3HAD40,0.0,5.284197324989154e-13
3HAD4M6,7.034898753634164,7.034898753634375
3HAD5M6,7.034898753634164,7.0348987536344465
3HAD60,0.0,3.172805914145789e-13
3HAD6M8,7.034898753634164,7.034898753634375
3HAD7M8,7.034898753634164,7.0348987536344465
3HAD80,0.0,3.172805914145789e-13
3HAD8M10,7.034898753634164,7.034898753634375
3HAD9M10,7.034898753634164,7.0348987536344465
3MOBS,-2.8317842858640495e-12,0.0
3OAR100,0.0,3.172805914145789e-13
3OAR10M11,0.0,0.0
3OAR10M12,7.034898753634163,7.034898753634374
3OAR11M12,7.034898753634163,7.034898753634445
3OAR120,0.0,3.172805914145789e-13
3OAR12M13,0.0,0.0
3OAR12M14,7.034898753634163,7.034898753634374
3OAR13M14,7.034898753634163,7.034898753634445
3OAR140,16.533795901490574,995.8665510246277
3OAR14M15,0.0,0.0
3OAR14M16,7.034898753634163,7.034898753634168
3OAR15M16,7.034898753634163,7.0348987536341605
3OAR160,0.0,-3.7417271234681e-13
3OAR180,0.0,9.426865888173006e-13
3OAR40,0.0,3.3412106797182267e-13
3OAR4M5,0.0,0.0
3OAR4M6,7.034898753634163,7.03489875363152
3OAR5M6,7.034898753634163,7.034898753634445
3OAR60,0.0,1.5119508327337348e-13
3OAR6M7,0.0,0.0
3OAR6M8,7.034898753634163,7.03489875363152
3OAR7M8,7.034898753634163,7.034898753634445
3OAR80,0.0,1.511950832733735e-13
3OAR8M10,7.034898753634163,7.03489875363152
3OAR8M9,0.0,0.0
3OAR9M10,7.034898753634163,7.034898753634445
3OAS100,0.0,1.5119508327337348e-13
3OAS10M11,0.0,0.0
3OAS10M12,7.034898753634163,7.03489875363152
3OAS11M12,7.034898753634163,7.034898753634446
3OAS120,0.0,1.5577675246347572e-13
3OAS12M13,0.0,0.0
3OAS12M14,7.034898753634163,7.034898753634173
3OAS13M14,7.034898753634163,7.034898753634154
3OAS140,16.533795901490578,995.866551024627
3OAS160,0.0,1.4908396184975806e-12
3OAS180,0.0,1.76158021501321e-12
3OAS2M3,0.0,0.0
3OAS3M4,7.034898753634163,7.03489875363432
3OAS4M3O6,7.034898753634163,7.034898753634304
3OAS4M5,0.0,0.0
3OAS4M6,7.034898753634163,7.034898753634355
3OAS5M6,7.034898753634163,7.034898753634465
3OAS60,0.0,1.2828673732286232e-13
3OAS6M7,0.0,0.0
3OAS6M8,7.034898753634163,7.0348987536343195
3OAS7M8,7.034898753634163,7.034898753634456
3OAS80,0.0,2.645913957284037e-13
3OAS8M10,7.034898753634163,7.0348987536343195
3OAS8M9,0.0,0.0
3OAS9M10,7.034898753634163,7.034898753634344
4ABZtex,0.0,0.0
4HTHRS,0.0,0.0
5AIZCDC,0.0,2.167129526918351e-12
5MTHCYST,-1.5715398607720707e-12,0.0
A5PISO,10.332424959657105,10.33242495965712
AACOAT,0.0,0.0
ACBIPGT,0.25572365691477483,0.2557236569147756
ACCOACL,80.28533606823409,80.2853360682433
ACGAMT,0.0,0.0
ACGAMtex,0.0,84.41639008606131
ACGAptspp,0.0,84.41639008606353
ACGK,0.0,3.8073861828995524e-12
ACGS,0.0,4.4612209416971613e-13
ACHBPL,0.0,3.884600547872362e-13
ACKr,-907.3167119631959,-907.3167119631883
ACLS_a,0.0,117.06127704322067
ACLS_b,-117.06127704324827,-1.5021298693715207e-13
ACNAMabcpp,0.0,2.5378176082704333e-12
ACNAMtex,0.0,2.3833793927362895e-12
ACNML,0.0,2.38337939273629e-12
ACOAAGPAT140,0.0,1.1548216195518606e-12
ACOAAGPAT160,0.0,1.5439087862486827e-12
ACOAAGPAT180,0.0,3.5174493768170843
ACOAAGPATAI15,0.0,-1.2043290478418437e-13
ACOAAGPATAI17,3.5174493768170803,3.517449376817084
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,8.411012022913752e-13
ACOAAGPATI16,0.0,1.142694658700825e-12
ACOAAGPATI17,3.5174493768170803,3.5174493768170843
ACOATA,0.0,3.69015239144216e-12
ACODAr,0.0,2.099525616582394e-12
ACOTA,-2.3708616438248592e-12,-1.3811258150142819e-14
ACPS1,0.2557236569147749,0.25572365691477394
ACS,0.0,-6.4995185959501756e-12
ACtex,-1000.0,-915.583609913938
ACtrpp,-1000.0,-915.5836099139408
ADCL,0.0,-1.0514909085601336e-12
ADCS,0.0,-8.46832494835704e-14
ADEtex,0.0,0.0
ADK1,60.3694471838194,60.88089449765203
ADK2,0.2557236569147749,0.25572365691477505
ADMDC,0.0,1.5715253918566028e-12
ADNCYC,0.0,0.0
ADOCBIK,0.2557236569147749,0.2557236569147753
ADOCBLS,0.2557236569147749,0.25572365691477517
ADPRDP,0.0,0.0
ADPT,1.5343419414884298,1.534341941492366
