,minimum,maximum
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,21.903947656233356,21.90394765622405
2AHBUTI,-1000.0,1000.0
2DMMQ8abcpp,0.0,-2.4036322527956393e-11
2DMMQ8tex,0.0,1.0488464402660158e-11
2MBCOATA,4.6227432031230595,4.622743203123972
34DHPHEtex,0.0,0.0
3CARLPDH,0.0,0.0
3HACPR1,0.0,-4.40724776159206e-14
3HACPR2,0.0,0.0
3HAD100,16.84957355140267,16.84957355140461
3HAD10M12,4.6227432031230595,4.622743203124576
3HAD11M12,4.6227432031230595,4.622743203124773
3HAD120,16.849573551402667,16.84957355140463
3HAD12M14,4.6227432031230595,4.622743203124506
3HAD13M14,4.6227432031230595,4.622743203124238
3HAD140,0.0,1.952021818262885e-12
3HAD14M16,4.6227432031230595,4.622743203123068
3HAD15M16,4.6227432031230595,4.622743203123065
3HAD160,0.0,2.22044549911835e-12
3HAD180,0.0,8.77935029663204e-12
3HAD40,16.84957355140267,16.849573551403473
3HAD4M6,4.6227432031230595,4.622743203124728
3HAD5M6,4.6227432031230595,4.622743203124503
3HAD60,16.84957355140267,16.849573551404557
3HAD6M8,4.6227432031230595,4.622743203124621
3HAD7M8,4.6227432031230595,4.622743203124439
3HAD80,16.84957355140267,16.849573551404635
3HAD8M10,4.6227432031230595,4.622743203124728
3HAD9M10,4.6227432031230595,4.622743203124503
3MOBS,-3.80199627500934e-11,0.0
3OAACPR1,-1.1787571366321766e-13,-4.980662209003055e-14
3OAACPR2,0.0,0.0
3OAR100,16.84957355140267,16.849573551404557
3OAR10M11,0.0,0.0
3OAR10M12,4.6227432031230595,4.622743203124621
3OAR11M12,4.6227432031230595,4.622743203124439
3OAR120,16.84957355140267,16.84957355140463
3OAR12M13,0.0,0.0
3OAR12M14,4.6227432031230595,4.622743203124728
3OAR13M14,4.6227432031230595,4.622743203124503
3OAR140,13.479658841122134,13.479658841124017
3OAR14M15,0.0,0.0
3OAR14M16,4.6227432031230595,4.622743203123069
3OAR15M16,4.6227432031230595,4.622743203123057
3OAR160,0.0,-3.4139349548944913e-12
3OAR180,0.0,1.7944910883853922e-11
3OAR40,16.84957355140267,16.849573551405125
3OAR4M5,0.0,0.0
3OAR4M6,4.6227432031230595,4.622743203124335
3OAR5M6,4.6227432031230595,4.622743203123855
3OAR60,16.84957355140267,16.84957355140462
3OAR6M7,0.0,0.0
3OAR6M8,4.6227432031230595,4.622743203125067
3OAR7M8,4.6227432031230595,4.622743203124362
3OAR80,16.84957355140267,16.849573551404397
3OAR8M10,4.6227432031230595,4.622743203124335
3OAR8M9,0.0,0.0
3OAR9M10,4.6227432031230595,4.622743203123855
3OAS100,16.849573551402667,16.84957355140462
