,minimum,maximum
23DHMPO,0.0,0.0
26DAP_Mtex,25.625957339645847,25.62595733964574
2AHBUTI,0.0,0.0
2MBCOATA,7.031452789716836,7.0314527897168295
3HAD10M12,7.031452789716871,7.031452789716876
3HAD11M12,7.031452789716871,7.031452789716877
3HAD12M14,7.031452789716869,7.031452789716848
3HAD13M14,7.031452789716869,7.031452789716869
3HAD14M16,7.031452789716868,7.031452789716865
3HAD15M16,7.031452789716868,7.031452789716863
3HAD4M6,7.03145278971688,7.031452789716868
3HAD5M6,7.03145278971688,7.031452789716871
3HAD6M8,7.031452789716877,7.031452789716866
3HAD7M8,7.031452789716877,7.03145278971687
3HAD8M10,7.031452789716874,7.031452789716866
3HAD9M10,7.031452789716874,7.031452789716869
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.03145278971687,7.031452789716865
3OAR11M12,7.03145278971687,7.031452789716867
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.031452789716868,7.031452789716865
3OAR13M14,7.031452789716868,7.031452789716865
3OAR140,16.52569701249619,16.52569701249618
3OAR14M15,0.0,0.0
3OAR14M16,7.031452789716867,7.031452789716864
3OAR15M16,7.031452789716867,7.031452789716862
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.0314527897168375,7.031452789716845
3OAR5M6,7.031452789716879,7.03145278971687
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.031452789716877,7.031452789716865
3OAR7M8,7.031452789716877,7.0314527897168695
3OAR80,0.0,0.0
3OAR8M10,7.031452789716874,7.031452789716865
3OAR8M9,0.0,0.0
3OAR9M10,7.031452789716874,7.031452789716868
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,7.031452789716869,7.031452789716859
3OAS11M12,7.031452789716869,7.031452789716859
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,7.031452789716867,7.031452789716857
3OAS13M14,7.031452789716867,7.031452789716857
3OAS140,16.525697012496188,16.525697012496163
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,7.031452789716879,7.031452789716863
3OAS4M3O6,7.0314527897168375,7.0314527897168615
3OAS4M5,0.0,0.0
3OAS4M6,7.031452789716877,7.03145278971685
3OAS5M6,7.031452789716877,7.031452789716856
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,7.031452789716873,7.031452789716862
3OAS7M8,7.031452789716873,7.031452789716862
3OAS80,0.0,0.0
3OAS8M10,7.031452789716871,7.031452789716861
3OAS8M9,0.0,0.0
3OAS9M10,7.031452789716871,7.031452789716862
5AIZCDC,0.0,-3.0762617133241847e-12
5DGLCNR,0.0,0.0
5FURAtex,-1000.0,3.1985865919757374e-13
5FURAtpp,-1000.0,0.0
5MTHCYST,2.197229771007073e-12,0.0
7A_CZPtex,-999.9999999999999,1000.0000000000003
AACOAT,0.0,-1.0069907505684825e-12
ACALD,83.86384290493514,1000.0
ACALDtex,-916.1361570950652,1000.0
ACALDtpp,-916.1361570950658,1000.0
ACBIPGT,0.25559839363446507,0.25559839363446474
ACCOACL,80.24600922348581,80.24600922347844
ACGAMT,0.0,0.0
ACGAMtex,0.0,0.0
ACGAptspp,0.0,0.0
ACGK,0.0,0.0
ACHBPL,0.0,0.0
ACKr,-991.7371514937522,-991.7371514937438
ACLS_a,0.0,813.8119441112711
