,minimum,maximum
26DAP_Mtex,0.033314015840060204,333.73474192336755
26DAPt2rpp,0.03331401584006021,333.7347419233716
2HMCOXT,0.0,0.0
2MBCOATA,1.2671315449650895,1.267131544961857
3HAD100,6.34758813036521,6.347588130362037
3HAD10M12,1.2671315449650897,1.2671315449619256
3HAD11M12,1.2671315449650897,1.2671315449617722
3HAD120,6.34758813036521,6.347588130362118
3HAD12M14,1.2671315449650897,1.2671315449618723
3HAD13M14,1.2671315449650897,1.2671315449622937
3HAD140,1.728982850329841,1.728982850327226
3HAD14M16,1.2671315449650897,1.2671315449650458
3HAD15M16,1.2671315449650897,1.2671315449650575
3HAD160,1.26713154496509,1.2671315449634495
3HAD180,1.26713154496509,1.2671315449650515
3HAD40,6.34758813036521,6.347588130363126
3HAD4M6,1.2671315449650897,1.2671315449622305
3HAD5M6,1.2671315449650897,1.2671315449619962
3HAD60,6.34758813036521,6.347588130362744
3HAD6M8,1.2671315449650897,1.2671315449622305
3HAD7M8,1.2671315449650897,1.2671315449619962
3HAD80,6.34758813036521,6.347588130362744
3HAD8M10,1.2671315449650897,1.2671315449622305
3HAD9M10,1.2671315449650897,1.2671315449619962
3MOBS,0.0,0.0
3OAR100,6.347588130365208,6.347588130362743
3OAR10M11,0.0,0.0
3OAR10M12,1.2671315449650897,1.2671315449622302
3OAR11M12,1.2671315449650897,1.267131544961996
3OAR120,6.347588130365208,6.347588130362743
3OAR12M13,0.0,0.0
3OAR12M14,1.2671315449650897,1.2671315449622302
3OAR13M14,1.2671315449650897,1.267131544961996
3OAR140,5.423867074358135,5.42386707435567
3OAR14M15,0.0,0.0
3OAR14M16,1.2671315449650897,1.2671315449650526
3OAR15M16,1.2671315449650897,1.267131544965056
3OAR160,1.2671315449650957,1.2671315449634537
3OAR180,1.2671315449650897,1.2671315449650382
3OAR40,6.347588130365209,6.347588130363129
3OAR4M5,0.0,0.0
3OAR4M6,1.2671315449650897,1.2671315449619123
3OAR5M6,1.2671315449650897,1.2671315449625045
3OAR60,6.347588130365208,6.347588130362489
3OAR6M7,0.0,0.0
3OAR6M8,1.2671315449650897,1.2671315449619123
3OAR7M8,1.2671315449650897,1.2671315449625045
3OAR80,6.347588130365208,6.347588130362489
3OAR8M10,1.2671315449650897,1.2671315449619123
3OAR8M9,0.0,0.0
3OAR9M10,1.2671315449650897,1.2671315449625045
3OAS100,6.3475881303652075,6.347588130362489
3OAS10M11,0.0,0.0
3OAS10M12,1.2671315449650897,1.2671315449624359
3OAS11M12,1.2671315449650897,1.2671315449625045
3OAS120,6.3475881303652075,6.347588130362465
3OAS12M13,0.0,0.0
3OAS12M14,1.2671315449650897,1.2671315449650542
3OAS13M14,1.2671315449650897,1.2671315449650578
3OAS140,5.423867074358134,5.423867074356186
3OAS160,1.2671315449650957,1.267131544963492
3OAS180,1.2671315449650897,1.2671315449650542
3OAS2M3,0.0,0.0
3OAS3M4,1.2671315449650897,1.267131544965062
3OAS4M3O6,1.2671315449650897,1.2671315449650655
3OAS4M5,0.0,0.0
3OAS4M6,1.2671315449650897,1.267131544965065
3OAS5M6,1.2671315449650897,1.267131544965065
3OAS60,6.3475881303652075,6.3475881303637
3OAS6M7,0.0,0.0
3OAS6M8,1.2671315449650897,1.267131544962196
3OAS7M8,1.2671315449650897,1.2671315449623788
3OAS80,6.3475881303652075,6.347588130363171
3OAS8M10,1.2671315449650897,1.2671315449615814
3OAS8M9,0.0,0.0
3OAS9M10,1.2671315449650897,1.2671315449617928
4HTHRS,0.0,0.0
5AIZCDC,0.0,-3.035969848422509e-11
5DOAN,0.0,-2.211475541948227e-12
5MTHCYST,5.7136338278542905e-12,0.0
A5PISO,2.3092934173788926,2.3092934173788215
AACGLYDH,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0000000000001,0.0
AC2DHOR,0.0,0.0
ACBIPGT,0.14644997041433255,0.14644997041432845
