,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0
2CLDHOFAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,2.409617554654772,2.409617554656749
2RCDHOFAL,0.0,0.0
34DHOXPEGOX,0.0,0.0
3HAD100,96.43636170041461,96.43636170060219
3HAD10M12,2.4096175546547722,2.4096175548952337
3HAD11M12,2.4096175546547722,2.4096175548774372
3HAD120,96.43636170040448,96.4363617006037
3HAD12M14,2.4096175546547722,2.409617554887659
3HAD13M14,2.4096175546547722,2.4096175548808776
3HAD140,3.1171089222762793,3.1171089224650173
3HAD14M16,2.4096175546547722,2.40961755465675
3HAD15M16,2.4096175546547722,2.409617554656668
3HAD160,2.4096175546547722,2.4096175546566676
3HAD180,2.4096175546547722,2.4096175546567538
3HAD40,96.43636170040445,96.43636170060421
3HAD4M6,2.4096175546547722,2.409617554893148
3HAD5M6,2.4096175546547722,2.409617554878646
3HAD60,96.43636170040446,96.43636170060427
3HAD6M8,2.4096175546547722,2.409617554893148
3HAD7M8,2.4096175546547722,2.409617554878646
3HAD80,96.43636170040448,96.4363617006043
3HAD8M10,2.4096175546547722,2.409617554893148
3HAD9M10,2.4096175546547722,2.409617554878646
3HPCOAHL,0.0,0.0
3OAR100,96.43636170040446,96.4363617006043
3OAR10M11,0.0,0.0
3OAR10M12,2.409617554654772,2.409617554893332
3OAR11M12,2.409617554654772,2.4096175548766148
3OAR120,96.43636170040402,96.43636170060431
3OAR12M13,0.0,0.0
3OAR12M14,2.409617554654772,2.4096175549020966
3OAR13M14,2.409617554654772,2.4096175548763297
3OAR140,77.7725111447785,77.7725111449504
3OAR14M15,0.0,0.0
3OAR14M16,2.4096175546547722,2.4096175546568666
3OAR15M16,2.4096175546547722,2.409617554656763
3OAR160,2.4096175546547722,2.4096175546568155
3OAR180,2.4096175546547722,2.4096175546568386
3OAR40,96.43636170040419,96.43636170060347
3OAR4M5,0.0,0.0
3OAR4M6,2.409617554654772,2.4096175548942314
3OAR5M6,2.409617554654772,2.4096175548864402
3OAR60,96.43636170040232,96.4363617006046
3OAR6M7,0.0,0.0
3OAR6M8,2.409617554654772,2.409617554891553
3OAR7M8,2.409617554654772,2.4096175548704766
3OAR80,96.43636170040055,96.43636170060479
3OAR8M10,2.409617554654772,2.409617554891553
3OAR8M9,0.0,0.0
3OAR9M10,2.409617554654772,2.409617554877436
3OAS100,96.436361700408,96.43636170060262
3OAS10M11,0.0,0.0
3OAS10M12,2.409617554654772,2.4096175548907146
3OAS11M12,2.409617554654772,2.409617554879208
3OAS120,96.436361700408,96.43636170059867
3OAS12M13,0.0,0.0
3OAS12M14,2.409617554654772,2.409617554656857
3OAS13M14,2.409617554654772,2.4096175546567054
3OAS140,77.77251114478389,77.77251114494754
3OAS160,2.409617554654772,2.409617554827713
3OAS180,2.409617554654772,2.409617554656609
3OAS2M3,0.0,0.0
3OAS3M4,2.409617554654772,2.40961755465677
3OAS4M3O6,2.409617554654772,2.409617554656775
