,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0,1000.0
2CLDHOFAL,0.0,0.0
2DDPENTHL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,3.490218198867301,3.4902181988672747
2RCDHOFAL,0.0,0.0
34DHOXPEGOX,0.0,0.0
3HAD100,14.768608538947671,14.768608538930367
3HAD10M12,3.4902181988673022,3.490218198867293
3HAD11M12,3.4902181988673022,3.490218198867286
3HAD120,14.768608538947674,14.768608538925427
3HAD12M14,3.4902181988673022,3.490218198867299
3HAD13M14,3.4902181988673022,3.4902181988672836
3HAD140,4.5149863169630695,4.514986316963028
3HAD14M16,3.4902181988673022,3.4902181988672862
3HAD15M16,3.4902181988673022,3.490218198867287
3HAD160,3.490218198867299,3.49021819886729
3HAD180,3.4902181988673027,3.490218198867287
3HAD40,14.768608538947662,14.76860853894193
3HAD4M6,3.4902181988673022,3.490218198867293
3HAD5M6,3.4902181988673022,3.490218198867286
3HAD60,14.768608538947666,14.768608538941933
3HAD6M8,3.4902181988673022,3.490218198867293
3HAD7M8,3.4902181988673022,3.490218198867286
3HAD80,14.768608538947667,14.768608538941935
3HAD8M10,3.4902181988673022,3.490218198867293
3HAD9M10,3.4902181988673022,3.4902181988672862
3HPCOAHL,0.0,0.0
3OAR100,14.76860853894767,14.768608538941939
3OAR10M11,0.0,0.0
3OAR10M12,3.490218198867302,3.4902181988672933
3OAR11M12,3.490218198867302,3.4902181988672862
3OAR120,14.768608538947673,14.768608538941939
3OAR12M13,0.0,0.0
3OAR12M14,3.490218198867302,3.4902181988672933
3OAR13M14,3.490218198867302,3.4902181988672862
3OAR140,12.717884094550753,12.7178840945483
3OAR14M15,0.0,0.0
3OAR14M16,3.490218198867302,3.4902181988673044
3OAR15M16,3.490218198867302,3.4902181988672862
3OAR160,3.490218198867299,3.4902181988672893
3OAR180,3.490218198867299,3.49021819886729
3OAR40,14.768608538947662,14.76860853894193
3OAR4M5,0.0,0.0
3OAR4M6,3.490218198867302,3.4902181988672933
3OAR5M6,3.490218198867302,3.490218198867285
3OAR60,14.768608538947664,14.768608538941933
3OAR6M7,0.0,0.0
3OAR6M8,3.490218198867302,3.4902181988672933
3OAR7M8,3.490218198867302,3.490218198867285
3OAR80,14.768608538947667,14.768608538941935
3OAR8M10,3.490218198867302,3.4902181988672933
3OAR8M9,0.0,0.0
3OAR9M10,3.490218198867302,3.490218198867286
3OAS100,14.768608538947667,14.768608538941935
3OAS10M11,0.0,0.0
3OAS10M12,3.4902181988673013,3.4902181988672933
3OAS11M12,3.4902181988673013,3.490218198867283
3OAS120,14.768608538947667,14.768608538940462
3OAS12M13,0.0,0.0
3OAS12M14,3.4902181988673013,3.490218198867295
3OAS13M14,3.4902181988673013,3.4902181988672836
3OAS140,12.717884094550769,12.717884094547875
3OAS160,3.4902181988673022,3.490218198866666
3OAS180,3.4902181988673022,3.4902181988672893
3OAS2M3,0.0,0.0
3OAS3M4,3.4902181988673013,3.490218198867301
3OAS4M3O6,3.4902181988673013,3.4902181988672836
