,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-999.9999999999999,999.9999999999999
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-1000.0000000000001,1000.0000000000002
2DDPENTHL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,3.366883594774296,3.3668835947743108
34DHOXPEGOX,0.0,0.0
3HAD100,14.246726987889728,14.246726987953394
3HAD10M12,3.3668835947742997,3.36688359477433
3HAD11M12,3.3668835947742997,3.366883594774341
3HAD120,14.246726987889733,14.246726987908099
3HAD12M14,3.3668835947743005,3.366883594774324
3HAD13M14,3.3668835947743005,3.3668835947743028
3HAD140,4.355439257679337,4.355439257679367
3HAD14M16,3.366883594774302,3.3668835947743205
3HAD15M16,3.366883594774302,3.36688359477432
3HAD160,3.366883594774331,3.3668835947743694
3HAD180,3.366883594774301,3.3668835947743214
3HAD40,14.24672698788972,14.246726987896798
3HAD4M6,3.366883594774298,3.366883594774356
3HAD5M6,3.366883594774298,3.3668835947743165
3HAD60,14.246726987889723,14.2467269878968
3HAD6M8,3.3668835947742983,3.366883594774357
3HAD7M8,3.3668835947742983,3.366883594774317
3HAD80,14.246726987889726,14.246726987896803
3HAD8M10,3.366883594774299,3.3668835947743574
3HAD9M10,3.366883594774299,3.366883594774318
3HPCOAHL,0.0,0.0
3OAR100,14.24672698788973,14.246726987896807
3OAR10M11,0.0,0.0
3OAR10M12,3.3668835947743,3.3668835947743583
3OAR11M12,3.3668835947743,3.3668835947743188
3OAR120,14.246726987889735,14.24672698789681
3OAR12M13,0.0,0.0
3OAR12M14,3.366883594774301,3.3668835947743587
3OAR13M14,3.366883594774301,3.3668835947743196
3OAR140,12.268469441847655,12.2684694418507
3OAR14M15,0.0,0.0
3OAR14M16,3.3668835947743023,3.3668835947743183
3OAR15M16,3.3668835947743023,3.36688359477432
3OAR160,3.366883594774331,3.36688359477437
3OAR180,3.3668835947743014,3.3668835947743214
3OAR40,14.246726987889723,14.246726987896798
3OAR4M5,0.0,0.0
3OAR4M6,3.3668835947742983,3.366883594774356
3OAR5M6,3.3668835947742983,3.3668835947743165
