,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2AHBUTI,-999.9999999999999,1000.0
2DDPENTHL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,3.415464076540715,3.4154640765422783
34DHOXPEGOX,0.0,0.0
3HAD100,0.0,74.03333242083386
3HAD10M12,3.415464076540716,3.4154640765422433
3HAD11M12,3.4154640765407156,3.4154640765422504
3HAD120,0.0,74.03333242083384
3HAD12M14,3.4154640765407156,3.4154640765422437
3HAD13M14,3.4154640765407156,3.4154640765422584
3HAD140,1.0028194494254428,1.002819449877893
3HAD14M16,3.4154640765407147,3.4154640765422624
3HAD15M16,3.4154640765407147,3.4154640765422637
3HAD40,0.0,74.03333242083369
3HAD4M6,3.4154640765407174,3.4154640765422473
3HAD5M6,3.4154640765407174,3.4154640765422637
3HAD60,0.0,74.03333242083369
3HAD6M8,3.415464076540717,3.415464076542247
3HAD7M8,3.415464076540717,3.4154640765422637
3HAD80,0.0,74.03333242083369
3HAD8M10,3.4154640765407165,3.4154640765422464
3HAD9M10,3.4154640765407165,3.4154640765422637
3HPCOAHL,0.0,0.0
3OAR100,0.0,74.03333242083369
3OAR10M11,0.0,0.0
3OAR10M12,3.4154640765407165,3.4154640765422464
3OAR11M12,3.4154640765407165,3.4154640765422637
3OAR120,0.0,74.03333242083369
3OAR12M13,0.0,0.0
3OAR12M14,3.4154640765407156,3.415464076542246
3OAR13M14,3.4154640765407156,3.4154640765422637
3OAR140,9.030026084238068,9.030026084692732
3OAR14M15,0.0,0.0
3OAR14M16,3.4154640765407147,3.415464076542262
3OAR15M16,3.4154640765407147,3.4154640765422637
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,74.03333242083369
3OAR4M5,0.0,0.0
3OAR4M6,3.415464076540718,3.4154640765422473
3OAR5M6,3.415464076540718,3.4154640765422637
3OAR60,0.0,74.03333242083369
3OAR6M7,0.0,0.0
3OAR6M8,3.4154640765407174,3.415464076542247
3OAR7M8,3.4154640765407174,3.4154640765422637
3OAR80,0.0,74.03333242083369
3OAR8M10,3.415464076540717,3.4154640765422464
3OAR8M9,0.0,0.0
3OAR9M10,3.415464076540717,3.4154640765422637
3OAS100,0.0,74.03333242083369
3OAS10M11,0.0,0.0
3OAS10M12,3.4154640765407156,3.4154640765422455
3OAS11M12,3.4154640765407156,3.4154640765422632
3OAS120,0.0,74.03333242083369
3OAS12M13,0.0,0.0
3OAS12M14,3.4154640765407147,3.4154640765422437
3OAS13M14,3.4154640765407147,3.415464076542267
3OAS140,9.030026084237708,9.030026084692741
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.4154640765407174,3.415464076542263
3OAS4M3O6,3.4154640765407174,3.415464076542263
3OAS4M5,0.0,0.0
3OAS4M6,3.415464076540717,3.4154640765422726
3OAS5M6,3.415464076540717,3.4154640765422735
3OAS60,0.0,74.03333242083426
3OAS6M7,0.0,0.0
3OAS6M8,3.4154640765407165,3.4154640765422455
3OAS7M8,3.4154640765407165,3.4154640765422335
