,minimum,maximum
12PPDSDH,0.0,0.0
12PPD_Stex,3.204696838266914e-11,1000.0
12PPDtpp,3.7384458364418897e-11,1000.0
13PPDHr,0.0,0.0
15DAPtex,-911.0836249257012,0.0
1H2NPTH,0.0,0.0
23DHMPO,-1000.0,1000.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25K5O2AI,0.0,0.0
2AHBUTI,-1000.0,1000.0
2DDGLCNtex,-1000.0000000000003,-4.008886581743264e-11
2DH3DGLCA,-1000.0,0.0
2DMMQ8abcpp,0.696361847677186,0.6963618476585403
2DMMQ8tex,0.6963618476774297,0.6963618476585725
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-911.0836249256959,0.0
2HYOXPLACtex,-911.0836249257003,0.0
2IMZS,0.0,0.0
2INSD,0.0,-3.9558352124443806e-11
2MBCOATA,6.025143340078958,6.025143340070895
2OMMBOX,0.696361847682886,0.6963618476730237
2OMPHH,0.6963618476820401,0.696361847673028
33HPHACt2rpp,0.0,998.6072763046352
34DCCBR,0.0,0.0
34DHPHAt2rpp,-998.6072763046352,0.0
34DHPHAtex,-998.607276304634,0.0
34DHPHEtex,0.0,0.0
34HPPOR,0.0,0.0
3CARLPDH,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD10M12,6.025143340078958,6.025143340072568
3HAD11M12,6.025143340078957,6.025143340072689
3HAD12M14,6.025143340078958,6.025143340072213
3HAD13M14,6.025143340078957,6.025143340072529
3HAD14M16,6.025143340078958,6.025143340078908
3HAD15M16,6.025143340078958,6.025143340078915
3HAD4M6,6.025143340078958,6.025143340078913
3HAD5M6,6.025143340078957,6.025143340078908
3HAD6M8,6.025143340078958,6.025143340078916
3HAD7M8,6.025143340078957,6.025143340078893
3HAD8M10,6.025143340078958,6.025143340078897
3HAD9M10,6.025143340078957,6.025143340078945
3HBCOAE,0.0,0.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,998.6072763046316
3HPHACtex,0.0,998.6072763046346
3HPPPNH,0.0,0.0
3MOBS,-911.0836249256987,0.0
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.025143340078959,6.0251433400789
3OAR11M12,6.025143340078959,6.025143340078906
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.025143340078959,6.025143340078896
3OAR13M14,6.025143340078959,6.025143340078906
3OAR140,17.568978661469767,17.56897866146959
3OAR14M15,0.0,0.0
3OAR14M16,6.025143340078959,6.0251433400788965
3OAR15M16,6.025143340078959,6.025143340078906
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.025143340078959,6.025143340078896
3OAR5M6,6.02514334007896,6.025143340078906
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.025143340078959,6.025143340078896
3OAR7M8,6.025143340078959,6.025143340078906
3OAR80,0.0,0.0
3OAR8M10,6.025143340078959,6.025143340078896
3OAR8M9,0.0,0.0
3OAR9M10,6.025143340078959,6.025143340078906
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.025143340078958,6.0251433400789125
3OAS11M12,6.025143340078957,6.025143340078909
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,6.025143340078958,6.025143340078918
3OAS13M14,6.025143340078957,6.02514334007891
3OAS140,17.568978661469767,17.568978661469654
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.025143340078959,6.02514334007891
3OAS4M3O6,6.025143340078958,6.025143340078918
3OAS4M5,0.0,0.0
3OAS4M6,6.025143340078958,6.025143340078933
