,minimum,maximum
12PPDSDH,0.0,0.0
12PPD_Stex,1.0523994833279412e-11,1000.0
12PPDtpp,2.645966589111284e-13,1000.0000000000001
13PPDHr,0.0,0.0
15DAPtex,-908.9113756944129,0.0
1H2NPTH,0.0,0.0
23DHMPO,-7.36502648656077,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25K5O2AI,0.0,0.0
26DAP_Mtex,2.237146920763118,911.1485226151684
26DAPt2rpp,2.2371469207614147,911.1485226151707
2AHBUTI,2.533917894136191e-14,7.365026486565541
2DDGLCNtex,-1000.0,-2.3061451908102805e-13
2DH3DGLCA,-1000.0000000000005,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-908.9113756944087,0.0
2HYOXPLACtex,-908.9113756944157,0.0
2INSD,0.0,-2.509293109705958e-12
2MBCOATA,7.619412390476366,7.619412390476246
2OMMBOX,0.0,0.0
2OMPHH,0.0,0.0
33HPHACt2rpp,0.0,999.7230288496997
34DCCBR,0.0,0.0
34DHPHAt2rpp,-999.7230288497011,0.0
34DHPHAtex,-999.723028849701,0.0
34HPPOR,0.0,0.0
3CARLPDH,-3.73834459738565e-13,0.0
3HAD10M12,7.6194123904763735,7.619412390475903
3HAD11M12,7.619412390476381,7.6194123904759286
3HAD12M14,7.619412390476374,7.619412390475566
3HAD13M14,7.619412390476381,7.619412390475732
3HAD14M16,7.619412390476374,7.619412390476367
3HAD15M16,7.619412390476379,7.619412390476379
3HAD4M6,7.619412390476369,7.61941239047637
3HAD5M6,7.619412390476381,7.619412390476076
3HAD6M8,7.61941239047637,7.619412390476365
3HAD7M8,7.619412390476381,7.619412390476372
3HAD8M10,7.619412390476372,7.6194123904763735
3HAD9M10,7.619412390476381,7.619412390476396
3HBCOAE,0.0,0.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,999.7230288497009
3HPHACtex,0.0,999.7230288496999
3HPPPNH,0.0,0.0
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,7.6194123904763735,7.619412390476367
3OAR11M12,7.619412390476379,7.6194123904763735
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,7.619412390476374,7.619412390476369
3OAR13M14,7.619412390476379,7.6194123904763735
3OAR140,17.907551162459285,17.907551162459267
3OAR14M15,0.0,0.0
3OAR14M16,7.619412390476374,7.619412390476369
3OAR15M16,7.619412390476379,7.6194123904763735
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,7.619412390476369,7.619412390476369
3OAR5M6,7.6194123904763815,7.6194123904763735
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,7.619412390476371,7.619412390476369
3OAR7M8,7.619412390476381,7.6194123904763735
3OAR80,0.0,0.0
3OAR8M10,7.619412390476372,7.619412390476369
3OAR8M9,0.0,0.0
3OAR9M10,7.619412390476379,7.6194123904763735
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,7.619412390476373,7.619412390476369
3OAS11M12,7.619412390476379,7.619412390476373
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,7.619412390476373,7.619412390476368
3OAS13M14,7.619412390476378,7.619412390476373
3OAS140,17.90755116245929,17.907551162459267
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
