,minimum,maximum
10DMMCNFDOR,0.0,0.0
12PPDSDH,0.0,0.0
12PPD_Stex,-1000.0,999.9999999999999
12PPDtpp,-1000.0,1000.0
13PPDH,0.0,1000.0
13PPDtex,-999.9999999999999,0.0
13PPDtpp,-1000.0,0.0
15DAPtex,-539.1430877060104,-2.000542098735759e-11
15DAPtpp,0.0,964.9530439874803
1H2NPTH,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23DHMPO,-1000.0,1000.0000000000001
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
25K5O2AI,0.0,0.0
2AHBUTI,-1000.0000000000001,1000.0
2DDPENGAL,0.0,0.0
2DH3DGLCA,-998.8594145954188,0.0
2DHPL,1.0403831561647848e-11,1000.0
2DMMQ8abcpp,0.0,-6.049443742036714e-12
2DMMQ8tex,0.0,-5.97656047388417e-12
2DOHMC5DPT,0.0,0.0
2FBZOR,0.0,0.0
2FBZTOR,0.0,0.0
2H3OGL,0.0,0.0
2HAGH,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2HYOXPLACt2rpp,-539.1430877060724,0.0
2HYOXPLACtex,-539.1430877060242,0.0
2IMZS,0.0,0.0
2INSD,0.0,-3.795751705222367e-11
2IPDPIPT,0.0,0.0
2MBCOATA,10.459080370549744,10.459080370515313
2OMMBOX,0.38019513485826784,0.3801951348539797
2OMPHH,0.3801951348569022,0.3801951348539796
2OXOADOX,0.0,0.0
33HPHACt2rpp,0.0,999.9999999999999
34DCCBR,0.0,0.0
34DHOXPEGOX,0.0,0.0
34DHPHAt2rpp,-999.9999999999998,539.1430877061146
34DHPHAtex,-1000.0,539.1430877060204
34DHPHEtex,0.0,0.0
34HPPOR,0.0,0.0
34HPPORdc,0.0,269.5715438530156
3CARLPDH,2.84295470956812e-12,0.0
3FBZOR,0.0,0.0
3FBZTOR,0.0,0.0
3FCHDCOR,0.0,0.0
3FCHLOR,0.0,0.0
3HACOAOR,0.0,0.0
3HACPR1,0.0,0.0
3HACPR2,0.0,0.0
3HAD100,44.256850107599725,44.25685010755582
3HAD10M12,10.459080370549751,10.459080370515016
3HAD11M12,10.459080370549751,10.459080370549717
3HAD120,44.256850107602105,44.25685010755985
3HAD12M14,10.459080370549753,10.459080370515018
3HAD13M14,10.459080370549753,10.459080370549719
3HAD140,13.529986399253954,975.4185090333218
3HAD14M16,10.459080370549755,10.459080370549719
3HAD15M16,10.459080370549755,10.45908037054972
3HAD180,10.459080370564763,10.459080370549717
3HAD40,44.25685010760325,44.25685010757143
3HAD4M6,10.459080370549747,10.459080370514878
3HAD5M6,10.459080370549747,10.459080370549714
3HAD60,44.25685010760302,44.25685010757143
3HAD6M8,10.459080370549747,10.45908037051488
3HAD7M8,10.459080370549747,10.459080370549714
3HAD80,44.256850107603015,44.256850107571424
3HAD8M10,10.45908037054975,10.459080370514881
3HAD9M10,10.45908037054975,10.459080370549716
3HBCOAE,0.0,0.0
3HCINNMH,0.0,0.0
3HPCOAHL,0.0,0.0
3HPHACOX,0.0,1000.0
3HPHACtex,0.0,1000.0
3HPPD,0.0,0.0
3HPPPNH,0.0,0.0
3MOBS,-539.143087706009,0.0
3OAACPR1,0.0,0.0
3OAACPR2,0.0,0.0
3OAR100,44.25685010760424,44.256850107571196
3OAR10M11,0.0,0.0
3OAR10M12,10.45908037054975,10.459080370508243
3OAR11M12,10.45908037054975,10.459080370549717
3OAR120,44.25685010760423,44.25685010757406
3OAR12M13,0.0,0.0
3OAR12M14,10.459080370549751,10.459080370508245
3OAR13M14,10.459080370549751,10.459080370549717
3OAR140,38.1114773659346,999.9999999999999
3OAR14M15,0.0,0.0
3OAR14M16,10.459080370549753,10.459080370549719
3OAR15M16,10.459080370549753,10.459080370549724
3OAR160,0.0,0.0
3OAR180,10.459080370567564,10.459080370549723
3OAR40,44.25685010760447,44.256850107574046
3OAR4M5,0.0,0.0
3OAR4M6,10.459080370549746,10.459080370508238
3OAR5M6,10.459080370549746,10.459080370549712
3OAR60,44.25685010760412,44.256850107574046
3OAR6M7,0.0,0.0
3OAR6M8,10.459080370549747,10.45908037050824
3OAR7M8,10.459080370549747,10.459080370549714
3OAR80,44.256850107604116,44.256850107574046
3OAR8M10,10.45908037054975,10.459080370508241
3OAR8M9,0.0,0.0
3OAR9M10,10.45908037054975,10.459080370549716
3OAS100,44.25685010760422,44.25685010757407
3OAS10M11,0.0,0.0
3OAS10M12,10.45908037054975,10.459080370508243
3OAS11M12,10.45908037054975,10.459080370549716
3OAS120,44.25685010760424,44.25685010757406
3OAS12M13,0.0,0.0
3OAS12M14,10.459080370549751,10.459080370549708
3OAS13M14,10.459080370549751,10.459080370549724
3OAS140,38.11147736593479,1000.0
3OAS160,0.0,0.0
3OAS180,10.459080370567564,10.459080370549723
3OAS2M3,0.0,0.0
3OAS3M4,10.459080370549744,10.45908037054972
3OAS4M3O6,10.459080370549744,10.459080370549724
3OAS4M5,0.0,0.0
3OAS4M6,10.459080370549746,10.45908037054972
3OAS5M6,10.459080370549746,10.459080370549724
3OAS60,44.2568501076049,44.25685010757406
3OAS6M7,0.0,0.0
3OAS6M8,10.459080370549747,10.459080370549716
3OAS7M8,10.459080370549747,10.459080370549708
3OAS80,44.256850107604116,44.25685010756962
3OAS8M10,10.45908037054975,10.459080370549716
3OAS8M9,0.0,0.0
3OAS9M10,10.45908037054975,10.459080370549712
3OPCPOOR,0.0,0.0
3SCITMCOAHL,0.0,0.0
4ABUTtex,-539.1430877060288,1000.0000000000063
4C2HM6SADH,0.0,539.1430877060307
4FBZOR,0.0,0.0
4FCHDCOR,0.0,0.0
4FCHLOR,0.0,0.0
4GBTAH,-999.9999999999997,969.7096270729777
4HBZCL,0.0,0.0
4HOXPACDt2rpp,-1000.0,0.0
4HOXPACDtex,-999.9999999999999,0.0
4HP34DHPD,0.0,539.1430877060153
4HPROI,0.0,0.0
4HTHDR,3.0709060286887175,3.0709060286825123
4HTHDS,3.070906028688718,3.070906028681868
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,1.2282628344527962e-11,-1.1296334336742364e-11
5ASAabcpp,0.0,-1.3767559776218515e-11
5ASAppp,1.7102810314278638e-11,1000.0000000000001
