,minimum,maximum
12DGR180ti,1.6281854549322172,1.6281854549322163
23DHMPO,-13.847675622976983,-13.847675622977809
26DAPLLAT,-999.9999999999998,0.0
2AHBUTI,13.847675622977798,13.847675622977635
2MBCOATA,3.256370909864431,3.256370909864135
3HAD10M12,3.2563709098644353,3.256370909864135
3HAD11M12,3.2563709098644353,3.2563709098633327
3HAD12M14,3.2563709098644353,3.256370909862981
3HAD13M14,3.2563709098644353,3.2563709098632176
3HAD14M16,3.2563709098644353,3.2563709098644273
3HAD15M16,3.2563709098644353,3.256370909864435
3HAD4M6,3.2563709098644353,3.2563709098644353
3HAD5M6,3.2563709098644353,3.25637090986443
3HAD6M8,3.2563709098644353,3.256370909864431
3HAD7M8,3.2563709098644353,3.256370909864431
3HAD8M10,3.2563709098644353,3.256370909864431
3HAD9M10,3.2563709098644353,3.256370909864431
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.256370909864435,3.2563709098644305
3OAR11M12,3.256370909864435,3.2563709098644305
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.256370909864435,3.2563709098644305
3OAR13M14,3.256370909864435,3.2563709098644305
3OAR140,-8.37557320659369e-29,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.256370909864435,3.2563709098644305
3OAR15M16,3.256370909864435,3.2563709098644305
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.256370909864431,3.256370909864433
3OAR5M6,3.256370909864435,3.2563709098644305
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.256370909864435,3.2563709098644305
3OAR7M8,3.256370909864435,3.2563709098644305
3OAR80,0.0,0.0
3OAR8M10,3.256370909864435,3.2563709098644305
3OAR8M9,0.0,0.0
3OAR9M10,3.256370909864435,3.2563709098644305
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.2563709098644353,3.2563709098644305
3OAS11M12,3.2563709098644353,3.2563709098644305
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.2563709098644353,3.2563709098644305
3OAS13M14,3.2563709098644353,3.2563709098644305
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.2563709098644353,3.2563709098644305
3OAS4M3O6,3.2563709098644256,3.2563709098644336
3OAS4M5,0.0,0.0
3OAS4M6,3.2563709098644353,3.2563709098644305
3OAS5M6,3.2563709098644353,3.2563709098644305
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.2563709098644353,3.2563709098644305
3OAS7M8,3.2563709098644353,3.2563709098644305
3OAS80,0.0,0.0
3OAS8M10,3.2563709098644353,3.2563709098644305
3OAS8M9,0.0,0.0
3OAS9M10,3.2563709098644353,3.2563709098644305
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-1.1298416842588235e-11
5DOAN,0.0,-3.283575773693748e-13
5MTHCYST,-0.31095581862383553,-0.31095581862480576
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AACOAT,0.0,0.0
AB6PGH,0.0,549.2543743805842
AB6PGH2,0.0,549.2543743805833
ABTOXy,0.0,0.0
ACALD,47.47924891682641,155.42799784277216
