,minimum,maximum
12DGR180ti,1.5262958136837734,1.526295813683766
13PPDHr,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPt2r,0.0663088093439524,0.06630880933174205
2MBCOATA,3.052591627367548,3.052591627364722
3HAD10M12,3.052591627367548,3.052591627361053
3HAD11M12,3.0525916273675366,3.0525916273610516
3HAD12M14,3.052591627367548,3.0525916273624616
3HAD13M14,3.0525916273675366,3.052591627362512
3HAD14M16,3.052591627367548,3.0525916273675286
3HAD15M16,3.0525916273675366,3.0525916273675313
3HAD4M6,3.052591627367548,3.052591627367538
3HAD5M6,3.0525916273675366,3.0525916273675335
3HAD6M8,3.052591627367548,3.05259162736753
3HAD7M8,3.0525916273675366,3.0525916273675193
3HAD8M10,3.052591627367548,3.0525916273675358
3HAD9M10,3.0525916273675366,3.052591627367527
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.0525916273675473,3.0525916273675353
3OAR11M12,3.0525916273675366,3.0525916273675264
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.0525916273675473,3.0525916273675353
3OAR13M14,3.0525916273675366,3.0525916273675264
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.0525916273675473,3.052591627367536
3OAR15M16,3.0525916273675366,3.0525916273675264
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.0525916273675473,3.0525916273675353
3OAR5M6,3.0525916273675366,3.0525916273675264
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.0525916273675473,3.0525916273675353
3OAR7M8,3.0525916273675366,3.0525916273675264
3OAR80,0.0,0.0
3OAR8M10,3.0525916273675473,3.0525916273675353
3OAR8M9,0.0,0.0
3OAR9M10,3.0525916273675366,3.0525916273675264
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.0525916273675477,3.0525916273675233
3OAS11M12,3.0525916273675366,3.0525916273675238
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.0525916273675477,3.0525916273675278
3OAS13M14,3.0525916273675366,3.0525916273675273
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.0525916273675366,3.0525916273675273
3OAS4M3O6,3.0525916273675477,3.0525916273675273
3OAS4M5,0.0,0.0
