,minimum,maximum
12DGR180ti,3.9771067048543354,3.977106704875145
2S6HCC,0.5071577216108829,0.5071577216135363
4HBZt2,0.25357886080544134,0.25357886080676795
AACPS2,0.0,0.0
AACPS4,0.0,0.0
AACPS7,0.0,431.8384467517168
AACPS8,0.0,0.0
ACACT1r,7.2859490762419945,7.2859490834326355
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,902.6719297395787,986.7417609103671
ACALDt,999.9999999686119,1000.0
ACBIPGT,0.25357886080544145,0.25357886080676767
ACGALt2r,0.0,0.0
ACGAMT,0.3272881137031081,0.32728811370482097
ACGAMt2,0.0,0.0
ACGApts,0.0,3.1406385060115864e-08
ACKr,-957.8663804709701,-957.8663804552765
ACNAMabc,0.0,0.0
ACOATA,0.0,0.0
ACODAr,0.0,0.0
ACPS1,0.25357886080544145,0.2535788608067676
ACtr,-957.8663804866627,-957.866380455273
ADK1,29.941854442804754,461.7803012258862
ADK2,0.2535788608054415,0.2535788608067679
ADNCYC,0.0,0.0
ADNUC,0.0,0.0
ADOCBIK,0.25357886080544145,0.2535788608067683
ADOCBLS,0.25357886080544145,0.2535788608067683
ADPRDP,0.0,0.0
ADPT,0.0,0.0
ADSL1r,4.3827666266364105,4.38276662665718
ADSL2r,0.0,0.0
ADSS,4.382766626636412,4.382766626657172
AGDC,0.0,3.139569706994694e-08
AGDC2,0.0,0.0
AGM3PA,0.0,0.0
AGM4PA,0.0,0.0
AHC,0.0,0.0
AHCYSNS_r,0.0,0.0
AHCYSts,1.0143154432217658,1.0143154432270713
AICAMPRT,0.0,0.0
ALAALA,0.10909603790103606,0.1090960379016069
ALAASP1c,0.0,1000.0
ALAASPabc,0.0,1000.0000000000001
ALAGLN1c,-1.8159390408119743e-13,19.266308839678178
ALAGLNabc,0.0,19.266308839678043
ALAGLU1c,0.0,19.26630883967872
ALAGLUabc,0.0,19.266308839678025
ALAGLY1c,0.0,886.3778950911056
ALAGLYabc,0.0,886.3778950911191
ALAHIS1c,0.0,1000.0
ALAHISabc,0.0,1000.0
ALALEU1c,0.0,1000.0
ALALEUabc,0.0,999.9999999999999
ALAPGPL,0.10909603790103604,0.10909603790160671
ALAR,113.62210490892363,1000.0
ALATHR1c,-9.28695373083038e-15,1000.0
ALATHRabc,0.0,1000.0000000000005
ALCD19,939.7668037870354,939.7668038184172
ALCD2x,-97.32807026043581,-13.258239073942093
ALCDPPAL,0.0,0.0
ALLTNt2r,0.0,0.0
AM3PA,0.0,0.0
AM4PA,0.0,0.0
AMAGLL,0.0,0.0
AMMQT8,0.25357886080544145,0.25357886153532105
AMPTASECG,0.0,2.514347197853397
AMPTASEGC,0.0,2.5143471978533913
ARBTpts,0.0,0.0
ARGt2,6.815859196944168,6.8158591969798366
ARSENBabc,0.0,0.0
ASNS1,0.0,5.227489114209005
ASNS2,0.0,5.227489114208991
ASPCT,0.0,0.0
ASPR,0.0,0.0
ASPt2r,-1000.0,14.837744855073966
ATPS4r,417.7482727055617,1000.0
BPNT,0.25357886080544145,0.25357886080676834
BTNt2,0.25357886080544145,0.25357886080676834
CAt4i,0.25357886080544145,0.25357886080676834
CBIAT,0.25357886080544145,0.25357886080676834
CBPS,0.0,0.0
CD2t6r,0.0,0.0
CDPGLYCGPT,0.32728811370310806,0.3272881137048207
CGLYabc,0.2535788608054415,2.767926058660171
CHOLD,0.0,0.0
CHORt,0.5071577216108828,0.5071577216135363
CLPNS180,0.8851806383125476,0.8851806383171791
CLt4r,0.12678943040272075,0.12678943040338414
CO2t,-104.19178054417573,-20.121949389062948
COBALTt,0.25357886080544145,0.2535788608067678
CRTNIH,0.0,0.0
CSND,0.0,1.570000668683448e-08
CSNt2,0.0,1.5694849420575904e-08
CTBTabc,0.0,0.0
CTPS1,0.0,1.8679048913468792
CTPS2,0.0,1.867904891346878
CYTDH,-1.56854987097062e-08,0.0
CYTDK1,0.0,0.0
CYTDK2,0.0,0.0
CYTDK3,0.0,0.0
CYTDK4,0.0,0.0
CYTK1,28.741907308389646,28.741907339791833
CYTK2,-0.6346431872761759,0.0
Cuabc,0.2535788608054413,432.09202561249185
Cut1,0.0,431.838446751683
DADNK,0.0,0.0
DAGK180,3.5407225532501903,3.5407225532687097
DALAt2r,-992.2541813090266,-105.87628621790947
DAPabc,0.10909603790103607,0.10909603790160666
DASYN120,0.0,0.0
DASYN140,0.0,0.0
DASYN141,0.0,0.0
DASYN160,0.0,0.0
DASYN161,0.0,0.0
DASYN180,3.54072255325019,3.540722553268719
DASYN181,0.0,0.0
DASYNAI15,0.0,0.0
DASYNAI17,0.0,0.0
DASYNI14,0.0,0.0
DASYNI15,0.0,0.0
DASYNI16,0.0,0.0
DASYNI17,0.0,0.0
DCMPDAi,0.0,0.6346431872761784
DEXTRINASE,0.0,18.804552005362737
DEXTRINabc,0.0,18.80455200536095
DGK1,0.0,0.0
DHAPT,0.0,0.0
DHFOR2,-0.7607365824203041,-0.760736571953483
DHFR,1.3953797696891812,1.3953797696964794
DHFS,0.0,0.0
DHNAOT4,0.5071577216108829,0.5071577216135364
DHNPA,0.0,0.0
DHORD6,0.0,0.0
DHORTS,0.0,0.0
DHPS,0.0,0.0
DHQTi,0.0,0.0
DMATT,0.8698326203173603,0.869832620321911
DMQMT,0.25357886080544145,0.25357886080676767
DM_atp_c_,0.0,863.6768935034089
DM_teich_45_BS(c),0.0,0.0
DPCOAK,0.5071577216108859,0.5071577216135359
DPMVDc,7.285949076241991,7.285949076280122
DRBK,0.0,0.0
DSERt2r,0.0,0.0
DTMPK,0.6346431872728573,0.6346431872761785
DURIK1,0.0,0.0
DUTPDP,0.0,3.139846041783247e-08
ENO,995.9799082563818,995.9799082720684
ETOHt2r,-97.3280702604459,-13.258239073947102
EX_12dgr180(e),-3.977106704875127,-3.9771067048543345
EX_26dap_M(e),-0.10909603790160692,-0.10909603790103607
EX_4abut(e),0.0,0.0
EX_4hbz(e),-0.2535788608067679,-0.25357886080544106
EX_Ser_Thr(e),0.0,1000.0
EX_T_antigen(e),-1000.0,1000.0
EX_Tn_antigen(e),-1000.0,1000.0
EX_ac(e),957.8663804552745,957.866380486666
EX_acald(e),-1000.0,-999.9999999686135
