,minimum,maximum
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2HBO,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,5.308235976796182,5.308235976796182
34DHOXPEGOX,0.0,0.0
3HAD10M12,5.308235976796182,5.308235976796184
3HAD11M12,5.308235976796187,5.308235976796174
3HAD12M14,5.3082359767961815,5.308235976796183
3HAD13M14,5.308235976796187,5.308235976796174
3HAD14M16,5.308235976796182,5.308235976796184
3HAD15M16,5.308235976796189,5.308235976796174
3HAD4M6,5.308235976796182,5.308235976796184
3HAD5M6,5.308235976796188,5.308235976796174
3HAD6M8,5.3082359767961815,5.308235976796183
3HAD7M8,5.308235976796188,5.308235976796174
3HAD8M10,5.3082359767961815,5.308235976796183
3HAD9M10,5.308235976796186,5.308235976796174
3OAR10M12,5.3082359767961815,5.308235976796184
3OAR11M12,5.308235976796188,5.308235976796174
3OAR12M14,5.3082359767961815,5.308235976796184
3OAR13M14,5.308235976796188,5.308235976796174
3OAR14M16,5.3082359767961815,5.308235976796184
3OAR15M16,5.308235976796188,5.308235976796174
3OAR4M6,5.3082359767961815,5.308235976796184
3OAR5M6,5.308235976796188,5.308235976796174
3OAR6M8,5.3082359767961815,5.308235976796184
3OAR7M8,5.308235976796188,5.308235976796174
3OAR8M10,5.3082359767961815,5.308235976796184
3OAR9M10,5.308235976796188,5.308235976796174
3OAS10M12,5.308235976796181,5.308235976796183
3OAS11M12,5.308235976796187,5.308235976796174
3OAS12M14,5.308235976796181,5.308235976796183
3OAS13M14,5.308235976796187,5.308235976796174
3OAS3M4,5.308235976796187,5.3082359767961735
3OAS4M3O6,5.3082359767961815,5.308235976796183
3OAS4M6,5.308235976796181,5.308235976796183
3OAS5M6,5.308235976796187,5.308235976796174
3OAS6M8,5.308235976796181,5.308235976796183
3OAS7M8,5.308235976796187,5.308235976796174
3OAS8M10,5.308235976796181,5.308235976796183
3OAS9M10,5.308235976796187,5.308235976796174
4ABZt2r,1.7319191691291362,1.731919169129137
4GBTAH,0.0,0.0
4HBZt2,0.1929582163569377,0.1929582163569383
4NTPPH2,0.0,0.0
5DOAN,0.0,0.0
5FURAt,-1000.0000000000001,-785.4323017018538
5HISAH,0.0,0.0
5MTHFGLUNFT,0.0,0.0
A6PT,0.0,0.0
AACPS6,13.270589941990458,13.270589941990401
ACACT1r,19.07373118418525,19.073731184185313
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACAH,0.0,0.0
ACALD,102.3695838111888,402.791521395848
ACALDt,699.5780624153348,1000.0
ACBIPGT,0.19295821635693766,0.19295821635693688
ACGALt2r,0.0,0.0
ACGAMT,0.3376223530508278,0.33762235305082783
ACGAMt2,0.0,0.0
ACGApts,0.0,9.15387780545859e-12
ACKr,-999.9999999999999,-1000.0000000000153
ACNAM9PL,0.0,-1.5425790599861052e-11
