,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
2DMMQ8abc,0.4522071689862797,0.4522071689809117
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,4.735573937255567,4.73557393725557
2OMMBOX,0.0,3.33556061991834e-13
2S6HCC,-8.594995846060622e-14,4.4938786088348445e-13
34DHOXPEGOX,0.0,0.0
3HAD100,0.0,144.54024580374804
3HAD10M12,4.735573937255567,4.7355739372555625
3HAD11M12,4.7355739372555785,4.735573937255969
3HAD120,0.0,144.54024580367184
3HAD12M14,4.735573937255566,4.73557393725556
3HAD13M14,4.735573937255579,4.735573937255795
3HAD140,0.0,144.540245803731
3HAD14M16,4.735573937255566,4.73557393725556
3HAD15M16,4.735573937255566,4.735573937255569
3HAD160,0.0,144.540245803731
3HAD180,0.0,144.54024580370933
3HAD40,0.0,144.54024580370918
3HAD4M6,4.735573937255566,4.73557393725556
3HAD5M6,4.735573937255569,4.735573937255794
3HAD60,0.0,144.54024580373098
3HAD6M8,4.735573937255566,4.73557393725556
3HAD7M8,4.735573937255569,4.735573937255794
3HAD80,0.0,144.540245803731
3HAD8M10,4.735573937255566,4.73557393725556
3HAD9M10,4.73557393725557,4.735573937255794
3MOPt2r,945.8301496343764,945.830149634498
3OAR100,0.0,144.5402458037482
3OAR10M11,0.0,0.0
3OAR10M12,4.735573937255566,4.73557393725556
3OAR11M12,4.735573937255578,4.735573937255796
3OAR120,0.0,144.540245803731
3OAR12M13,0.0,0.0
3OAR12M14,4.735573937255566,4.73557393725556
3OAR13M14,4.735573937255578,4.735573937255796
3OAR140,-1.7289056688961582e-12,144.540245803731
3OAR14M15,0.0,0.0
3OAR14M16,4.735573937255566,4.73557393725556
3OAR15M16,4.7355739372555705,4.735573937255797
3OAR160,-2.1710315327202317e-12,144.540245803731
3OAR180,-2.1710315327202317e-12,144.54024580370933
3OAR40,0.0,144.54024580370918
3OAR4M5,0.0,0.0
3OAR4M6,4.735573937255566,4.73557393725556
3OAR5M6,4.73557393725557,4.735573937255794
3OAR60,0.0,144.54024580373098
3OAR6M7,0.0,0.0
3OAR6M8,4.735573937255566,4.73557393725556
3OAR7M8,4.73557393725557,4.735573937255794
3OAR80,0.0,144.540245803731
3OAR8M10,4.735573937255566,4.73557393725556
3OAR8M9,0.0,0.0
3OAR9M10,4.73557393725557,4.735573937255794
3OAS100,0.0,144.540245803731
3OAS10M12,4.735573937255566,4.73557393725556
3OAS11M12,4.7355739372555705,4.735573937255795
3OAS120,0.0,144.540245803731
3OAS12M14,4.735573937255566,4.73557393725556
3OAS13M14,4.7355739372555705,4.735573937255796
3OAS140,-2.171031532720232e-12,144.540245803731
3OAS160,-2.171031532720232e-12,144.54024580370933
3OAS180,-2.1710315327202317e-12,144.54024580370933
3OAS3M4,4.73557393725557,4.735573937255969
3OAS4M3O6,4.735573937255566,4.735573937255567
3OAS4M6,4.735573937255566,4.735573937255567
3OAS5M6,4.73557393725557,4.735573937255794
3OAS60,0.0,144.54024580373095
3OAS6M8,4.735573937255566,4.73557393725556
3OAS7M8,4.73557393725557,4.735573937255794
3OAS80,0.0,144.54024580373098
