,minimum,maximum
13PPDHr,0.0,0.0
1P4H2CBXLAH,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,23.676439497312042,23.914972184797023
2DHPL,0.0,0.0
2DOHMC5DPT,0.0,0.0
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2HYDOGDH,0.0,0.0
2IPDPIPT,0.0,0.0
2MBCOATA,6.561979154811496,6.5619791548090785
2MBOHOR,0.0,0.0
2S6HCC,0.0,-2.0488084574157283e-12
33HPHACt2r,0.0,999.9999999999856
34DHOXPEGOX,0.0,0.0
34DHPHAt2r,-999.9999999999885,0.0
34HPPORdc,0.0,-3.957441585213775e-12
3HAD10M12,6.5619791548115085,6.561979154807815
3HAD11M12,6.5619791548115085,6.561979154811236
3HAD12M14,6.561979154811512,6.561979154815453
3HAD13M14,6.561979154811512,6.561979154811203
3HAD14M16,6.561979154811516,6.56197915481153
3HAD15M16,6.561979154811516,6.5619791548116355
3HAD4M6,6.561979154811498,6.561979154811621
3HAD5M6,6.561979154811498,6.561979154811538
3HAD6M8,6.561979154811501,6.5619791548115
3HAD7M8,6.561979154811501,6.561979154811501
3HAD8M10,6.561979154811505,6.561979154811502
3HAD9M10,6.561979154811505,6.561979154811503
3HPHACOX,0.0,1000.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,6.5619791548115085,6.561979154811451
3OAR11M12,6.5619791548115085,6.5619791548114845
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,6.561979154811512,6.561979154811488
3OAR13M14,6.561979154811512,6.561979154811488
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,6.561979154811516,6.561979154811491
3OAR15M16,6.561979154811516,6.561979154811491
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,6.561979154811497,6.5619791548114765
3OAR5M6,6.561979154811573,6.561979154811529
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,6.5619791548115005,6.561979154811497
3OAR7M8,6.5619791548115005,6.561979154811486
3OAR80,0.0,0.0
3OAR8M10,6.561979154811504,6.561979154811488
3OAR8M9,0.0,0.0
3OAR9M10,6.561979154811504,6.561979154811489
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,6.561979154811509,6.5619791548115
3OAS11M12,6.561979154811509,6.5619791548115005
3OAS120,0.0,0.0
3OAS12M13,9.456349767244328e-12,0.0
3OAS12M14,6.561979154811514,6.5619791548115085
3OAS13M14,6.561979154811514,6.5619791548115085
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,6.561979154811686,6.56197915481152
3OAS4M3O6,6.561979154811496,6.561979154811493
3OAS4M5,0.0,0.0
3OAS4M6,6.5619791548115,6.561979154811492
3OAS5M6,6.5619791548115,6.5619791548114925
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,6.561979154811502,6.561979154811494
3OAS7M8,6.561979154811502,6.561979154811495
3OAS80,0.0,0.0
3OAS8M10,6.561979154811507,6.5619791548115
3OAS8M9,0.0,0.0
3OAS9M10,6.561979154811507,6.561979154811513
4ABZt2,0.7155980625307762,0.7155980625310764
4HP34DHPD,0.0,-4.8718459852697456e-12
4HTHDR,23.914972184804537,23.914972184798597
4HTHDS,23.91497218480454,23.91497218479892
4HTHRS,0.0,0.0
4NTPPH2,0.0,0.0
5AIZCDC,0.0,-5.616936789375946e-12
5DOAN,0.0,-9.737166337867653e-13
5HISAH,0.0,0.0
5MTHCYST,1.2198007281527362e-12,0.0
5MTHFGLUNFT,0.0,0.0
6PHBG,0.0,-9.034246637737583e-12
6PHBG2,0.0,-6.53718617647313e-12
A6PT,0.0,0.0
AACGLYDH,0.0,0.0
AAPAT,0.0,0.0
AB6PGH,0.0,-9.715181735718595e-12
AB6PGH2,0.0,-1.1440075808827977e-11
ABGAFT,0.0,0.0
ABNTHL,0.0,0.0
ABTOXy,0.0,0.0
ABUTD,0.0,1000.0
ABUTR,-1000.0,2.2737367544323206e-13
ABZOOR,0.0,0.0
ABZOR,0.0,0.0
ACACT1r,21.670461635479047,21.670461635477892
ACAH,0.0,0.0
ACALD,-1000.0,-788.1427622643977
ACALDt,-1000.0,211.85723773557038
ACBIPGT,0.23853268751025844,0.2385326875102583
ACCOACL,0.0,-8.479266714695027e-13
ACCOALYS2,0.0,0.0
ACEDIPIT,-0.23853268751172838,0.0
ACGAMT,0.41736479926710174,0.41736479926710124
ACGApts,0.0,0.23853268749725495
ACGK,0.0,0.23853268750710463
ACGS,0.0,0.23853268750285544
ACHBS,0.0,0.0
ACKr,-1000.0,-1000.0000000000024
ACLDC,0.0,0.0
ACLS,0.0,0.0
ACLS_a,0.0,0.0
ACNAM9PL,0.0,0.0
ACNAMS,0.0,-5.161683038783817e-12
ACNML,0.0,-4.902889632354848e-12
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,3.280989577405752
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,3.2809895774057583,3.280989577405754
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,0.0
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,3.2809895774057583,3.2809895774057547
ACOAANAT,0.0,0.0
ACOAAT,0.0,0.0
ACOAH,0.0,0.0
ACOANAT,0.0,0.0
ACOASL,0.0,0.0
ACOATA,6.561979154811515,6.561979154811477
ACOCT,0.0,0.0
ACODAr,-4.9081400176008277e-14,0.23853268751418863
ACOTA,-0.23853268750527923,-3.807868288928739e-17
ACPS1,0.23853268751025847,0.2385326875102581
ACS,0.0,-5.935486700286531e-12
ACTNR,0.0,0.0
ACtr,-1000.0,-999.7614673124981
ADAPH,0.0,0.0
ADCOBASr,0.0,0.0
ADD,0.0,-4.253721348587383e-12
ADK1,-1000.0,1000.0
ADK10,-1000.0,998.6275800546803
ADK11,-1000.0,1000.0
ADK2,0.23853268751025844,0.23853268750625164
ADK3,-1000.0,977.0836451232981
ADK5,-1000.0,1000.0
ADK7,-1000.0,1000.0
ADK8,-1000.0,1000.0
ADK9,-1000.0,1000.0
ADMDC,0.0,-7.190011331369791e-12
ADNK1,0.2385326875318992,0.2385326874995733
ADNUC,0.0,-3.409225879121659e-11
ADOCBIK2,0.23853268751025844,0.23853268751025572
ADOCBLS,0.23853268751025847,0.23853268751025744
ADP1P,-1000.0,1000.0
ADPRDP,0.0,-1.3506260552692817e-11
ADPT,0.0,-3.9661995020070966e-11
ADSK,0.0,-3.363038642356009e-11
ADSL1r,11.292652777513945,11.292652777497095
ADSL2r,1.2887898447863256e-11,-1.1298885622121369e-11
ADSS,11.292652777513268,11.292652777499333
AEPPT,3.804053558711203e-12,0.0
AGDC,0.0,0.23853268747779907
AGLPET,0.0,0.0
AGMIGH,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,3.28098957740573
AGPAT181,0.0,0.0
AGPR,-0.23853268750133932,0.0
AHC,0.23853268755963633,0.2385326875015369
AHCYSNS_r,1.370235165400558e-13,-7.585562997592388e-11
AHGDH,0.0,0.0
