,minimum,maximum
12PPDSDH,0.0,999.9999999999999
12PPDt,0.0,1000.0
13PPDH,0.0,999.9999999999998
13PPDt,-999.9999999999998,0.0
26DAPt2r,2.398120661368983,1000.0
2HMCOXT,0.0,0.0
2MBCOATA,8.167666645342257,8.167666645343424
2S6HCC,0.0,2.0060293564741117e-11
3HAD10M12,8.167666645342257,8.167666645343425
3HAD11M12,8.167666645342257,8.167666645343452
3HAD12M14,8.167666645342257,8.167666645343454
3HAD13M14,8.167666645342257,8.167666645343452
3HAD140,1.5044757230459952e-14,1.351012160361731e-10
3HAD14M16,8.167666645342257,8.167666645343422
3HAD15M16,8.167666645342257,8.16766664534344
3HAD160,1.504475723045995e-14,1.3393548920014114e-10
3HAD180,1.504475723045995e-14,1.318858313617502e-10
3HAD4M6,8.167666645342257,8.167666645343424
3HAD5M6,8.167666645342257,8.16766664534344
3HAD6M8,8.167666645342257,8.167666645343438
3HAD7M8,8.167666645342257,8.16766664534344
3HAD8M10,8.167666645342257,8.167666645343438
3HAD9M10,8.167666645342257,8.16766664534344
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,8.167666645342257,8.167666645343436
3OAR11M12,8.167666645342257,8.167666645343436
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,8.167666645342257,8.167666645343443
3OAR13M14,8.167666645342257,8.167666645343443
3OAR140,4.179944911652454e-14,4.357360830651687e-10
3OAR14M15,0.0,0.0
3OAR14M16,8.167666645342257,8.167666645343425
3OAR15M16,8.167666645342257,8.167666645343447
3OAR160,1.5044757230459952e-14,1.3453498639297246e-10
3OAR180,1.504475723045995e-14,1.3172023232687093e-10
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,8.167666645342257,8.167666645343424
3OAR5M6,8.167666645342257,8.167666645343447
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,8.167666645342257,8.167666645343438
3OAR7M8,8.167666645342257,8.167666645343441
3OAR80,0.0,0.0
3OAR8M10,8.167666645342257,8.16766664534344
3OAR8M9,0.0,0.0
3OAR9M10,8.167666645342257,8.16766664534344
3OAS10M12,8.167666645342258,8.16766664534344
3OAS11M12,8.167666645342258,8.16766664534344
3OAS12M14,8.167666645342258,8.16766664534344
3OAS13M14,8.167666645342258,8.16766664534344
3OAS140,0.0,1.334756334304166e-10
3OAS160,0.0,1.3172023232687098e-10
3OAS180,0.0,1.3166503264857787e-10
3OAS3M4,8.167666645342258,8.167666645343424
3OAS4M3O6,8.167666645342258,8.16766664534344
3OAS4M6,8.167666645342258,8.16766664534344
3OAS5M6,8.167666645342258,8.16766664534344
3OAS6M8,8.167666645342258,8.16766664534344
3OAS7M8,8.167666645342258,8.16766664534344
3OAS8M10,8.167666645342258,8.16766664534344
3OAS9M10,8.167666645342258,8.16766664534344
4ABZt2,0.0,9.6390951926156e-11
4HBZCL,-5.714147376248293e-10,0.0
4HBZt2,-5.729221490721207e-10,1.9707642895040573e-11
4HPL,-2.863366116022404e-10,1000.0000000000196
4NTPPH2,0.0,0.0
5AIZCDC,0.0,0.0
5DOAN,0.0,4.772580395629497e-11
5MTHCYST,0.5938011775705433,977.5514294096939
5MTHGLUS,0.5938011775718383,977.5514294096972
AACPS7,4.513427169137987e-14,4.325668598901846e-10
AATAi,0.0,0.0
ABTOXy,0.0,0.0
ACACT1r,26.97312845919202,26.97312845933173
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
ACACT7r,0.0,0.0
ACALD,-570.9746299189576,1000.0
ACALDt,-1000.0,1000.0
ACBIPGT,0.2969005889286991,0.2969005889287403
ACCOACL,0.0,0.0
ACEDIPIT,-5.548631529949895e-10,0.0
ACGAMT,0.5194921333168712,0.5194921333169463
ACGApts,0.0,0.0
ACKr,-1000.0000000005565,-680.5611262918384
ACLDC,-1.1996036039113765e-13,817.923570463536
ACLS_a,0.0,817.9235704635373
ACLS_b,-817.9235704635167,0.0
ACOAAGPAT140,0.0,0.0
ACOAAGPAT160,0.0,0.0
ACOAAGPAT180,0.0,4.083833322671719
ACOAAGPATAI15,0.0,0.0
ACOAAGPATAI17,4.083833322671127,4.083833322671722
