,minimum,maximum
12DGR180tex,2.6652627674825147,2.66526276748258
12DGR180tipp,2.6652627674825142,2.6652627674825795
23DHMPO,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,19.426969652228458,19.42696965222896
2AHBUTI,0.0,0.0
2MBCOATA,5.330525534965031,5.330525534965179
3HAD10M12,5.330525534965031,5.330525534965158
3HAD11M12,5.330525534965025,5.330525534965141
3HAD12M14,5.33052553496503,5.330525534965153
3HAD13M14,5.330525534965024,5.330525534965163
3HAD14M16,5.330525534965029,5.330525534965164
3HAD15M16,5.330525534965023,5.330525534965156
3HAD4M6,5.330525534965031,5.330525534965158
3HAD5M6,5.330525534965026,5.33052553496516
3HAD6M8,5.330525534965031,5.330525534965158
3HAD7M8,5.330525534965026,5.33052553496516
3HAD8M10,5.330525534965031,5.330525534965157
3HAD9M10,5.330525534965026,5.330525534965158
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.33052553496503,5.330525534965158
3OAR11M12,5.330525534965025,5.330525534965158
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.330525534965029,5.330525534965158
3OAR13M14,5.330525534965024,5.330525534965157
3OAR140,12.528086661839533,12.528086661839849
3OAR14M15,0.0,0.0
3OAR14M16,5.330525534965029,5.330525534965154
3OAR15M16,5.330525534965023,5.330525534965156
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.330525534965032,5.330525534965158
3OAR5M6,5.330525534965026,5.330525534965159
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.330525534965032,5.330525534965158
3OAR7M8,5.330525534965026,5.330525534965159
3OAR80,0.0,0.0
3OAR8M10,5.330525534965032,5.330525534965158
3OAR8M9,0.0,0.0
3OAR9M10,5.330525534965026,5.330525534965159
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.33052553496503,5.330525534965157
3OAS11M12,5.330525534965024,5.330525534965156
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,5.330525534965029,5.330525534965164
3OAS13M14,5.330525534965023,5.330525534965156
3OAS140,12.528086661839533,12.52808666183983
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.330525534965022,5.330525534965159
3OAS4M3O6,5.330525534965031,5.330525534965157
3OAS4M5,0.0,0.0
3OAS4M6,5.330525534965032,5.330525534965153
3OAS5M6,5.330525534965025,5.330525534965159
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.330525534965032,5.330525534965157
3OAS7M8,5.330525534965025,5.330525534965159
3OAS80,0.0,0.0
3OAS8M10,5.330525534965031,5.330525534965157
3OAS8M9,0.0,0.0
3OAS9M10,5.330525534965025,5.330525534965158
4HBZt2pp,0.19376845791485742,0.19376845791486208
4HBZtex,0.19376845791485742,0.1937684579148619
4HTHRS,0.0,0.0
5AIZCDC,0.0,7.079518196616224e-11
5DOAN,0.0,1.572068888918989e-11
6PGALSZ,0.0,2.0939154675199616e-10
6PGALSZ2i,0.0,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
7A_CZPtex,-662.5874267531576,1000.0000000000001
AACPS7,15.660108327299415,15.660108327299804
AB6PGH,0.0,1.8209986859960836e-10
AB6PGH2,0.0,1.9457762813557986e-10
ACALD,27.802504082653734,253.59573386585186
ACALDtex,774.2067702173291,1000.0
ACALDtpp,774.2067702173152,1000.0
