,minimum,maximum
23DHMPO,-19.526644298031375,-19.52664429805674
23PDE2,0.0,5.400368486497206e-12
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAP_Mtex,18.539336019402356,18.539336019402352
2AHBUTI,19.526644298047504,19.526644298031766
2MBCOATA,5.086969600602923,5.086969600602456
3HAD10M12,5.086969600602925,5.086969600602452
3HAD11M12,5.086969600602898,5.086969600602259
3HAD12M14,5.086969600602925,5.086969600602859
3HAD13M14,5.086969600602897,5.086969600602618
3HAD14M16,5.086969600602924,5.086969600602909
3HAD15M16,5.086969600602898,5.086969600602894
3HAD4M6,5.086969600602923,5.086969600602881
3HAD5M6,5.086969600602896,5.086969600602569
3HAD6M8,5.086969600602924,5.086969600602853
3HAD7M8,5.086969600602896,5.086969600602568
3HAD8M10,5.086969600602924,5.086969600602855
3HAD9M10,5.086969600602897,5.08696960060257
3MOBS,0.0,0.0
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,5.086969600602924,5.086969600602855
3OAR11M12,5.086969600602897,5.08696960060257
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,5.086969600602924,5.086969600602855
3OAR13M14,5.086969600602897,5.086969600602569
3OAR140,11.955668457915834,11.95566845791583
3OAR14M15,0.0,0.0
3OAR14M16,5.086969600602924,5.086969600602907
3OAR15M16,5.086969600602897,5.0869696006028935
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,5.086969600602923,5.086969600602881
3OAR5M6,5.086969600602896,5.086969600602568
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,5.086969600602923,5.086969600602849
3OAR7M8,5.086969600602896,5.086969600602568
3OAR80,0.0,0.0
3OAR8M10,5.086969600602923,5.086969600602853
3OAR8M9,0.0,0.0
3OAR9M10,5.086969600602896,5.086969600602569
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,5.086969600602924,5.086969600602859
3OAS11M12,5.086969600602897,5.086969600602569
3OAS120,0.0,0.0
3OAS12M13,4.0060163455709764e-13,0.0
3OAS12M14,5.086969600602934,5.086969600602914
3OAS13M14,5.086969600602897,5.086969600602893
3OAS140,11.955668457915833,11.955668457915825
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,5.086969600602896,5.086969600602868
3OAS4M3O6,5.0869696006029335,5.086969600602662
3OAS4M5,0.0,0.0
3OAS4M6,5.0869696006029335,5.086969600602452
3OAS5M6,5.086969600602895,5.086969600602385
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,5.086969600602934,5.086969600602663
3OAS7M8,5.086969600602895,5.086969600602385
3OAS80,0.0,0.0
3OAS8M10,5.086969600602934,5.0869696006026635
3OAS8M9,0.0,0.0
3OAS9M10,5.086969600602897,5.086969600602385
4HTHRS,0.0,0.0
5AIZCDC,0.0,0.0
5DOAN,0.0,0.0
5MTHCYST,2.548314698416084e-12,0.0
6PGALSZ2i,0.0,-5.4483967896048276e-12
7A_CZPtex,-634.9409664820591,1000.0000000000001
A5PISO,7.4714268834549955,7.471426883455005
AACOAT,0.0,0.0
ACALD,-103.67363958628866,205.8967574659832
ACALDtex,690.4296029476567,1000.0
ACALDtpp,690.4296029476567,1000.0
ACBIPGT,0.18491502357563477,0.18491502357563494
ACCOACL,0.0,0.0
ACEDIPIT,0.0,0.0
ACGAMtex,0.0,-9.805471024589292e-12
ACGAptspp,0.0,4.814141790580045e-13
ACGK,0.18491502357406953,0.18491502357583953
ACGS,0.0,0.0
ACHBPL,19.526644298024248,19.52664429803169
ACKr,-989.105032542822,-989.1050325428132
ACLS_a,40.560914846718774,40.560914846729986
ACLS_b,-21.034270548698807,-21.03427054869986
ACOAAGPAT140,0.0,-9.174592698083383e-14
ACOAAGPAT160,0.0,1.3067566529377596e-13
ACOAAGPAT180,0.0,2.543484800301445
ACOAAGPATAI15,0.0,-3.6557088801251814e-13
ACOAAGPATAI17,2.543484800301447,2.543484800301441
ACOAAGPATI14,0.0,0.0
ACOAAGPATI15,0.0,-1.9263203696731098e-13
ACOAAGPATI16,0.0,0.0
ACOAAGPATI17,2.543484800301448,2.5434848003014454
ACOATA,0.0,0.0
ACONTa,-100.39461519433796,-100.39461519443833
ACONTb,-100.39461519437239,-100.39461519442301
ACOTA,-0.18491502357516634,-0.18491502357563475
ACPS1,0.18491502357563477,0.18491502357350834
ACPpds,0.0,-1.5528323449527336e-12
ACS,0.0,-4.65861407370038e-12
ACTNDH,0.0,0.0
ACtex,-1000.0,-1000.0000000000051
ACtrpp,-1000.0,-1000.0000000000057
ADCPS1,0.0,-1.8542654168698087e-12
ADCPS2,0.0,0.0
ADCS,0.0,0.0
ADCYRS,0.0,0.0
ADK1,120.73833726364062,120.73833726363507
ADK2,0.18491502357563475,0.18491502357563458
ADMDC,0.0,0.0
ADOCBIK,0.0,0.18491502357563452
ADOCBIK2,0.0,0.18491502357563452
ADOCBLS,0.18491502357563477,0.1849150235756342
ADPRDP,0.0,0.0
ADPT,0.3698300471512696,0.36983004714611817
ADSL1r,9.039606608658138,9.039606608658003
ADSL2r,2.5619773604033003e-28,0.0
ADSS,9.039606608658657,9.039606608656458
AGDC,0.0,-5.3413099418211365e-12
AGMHE,5.97437061798831,5.974370617988306
AGMT,0.0,0.0
AGPAT120,0.0,0.0
AGPAT140,0.0,0.0
AGPAT141,0.0,0.0
AGPAT160,0.0,0.0
AGPAT161,0.0,0.0
AGPAT180,0.0,2.5434848003014388
