,minimum,maximum
1P4H2CBXLAH,0.0,0.0
23PDE2,0.0,0.0
23PDE4,0.0,0.0
23PDE7,0.0,0.0
23PDE9,0.0,0.0
26DAPLLATi,0.0,0.0
26DAPt2r,12.347730553644734,12.347730553644729
2DHPL,0.0,0.0
2DMMQ8abc,0.3011841445577494,0.3011841445555116
2HBO,0.0,0.0
2HMCOXT,0.0,0.0
2MBCOATA,3.1540406324831594,3.1540406324834227
2OBUTt2r,0.0,0.0
2S6HCC,-1000.0,-2.53462253304333e-12
34DHOXPEGOX,0.0,0.0
3HAD10M12,3.154040632483151,3.1540406324831496
3HAD11M12,3.154040632483151,3.1540406324831483
3HAD12M14,3.154040632483151,3.154040632483149
3HAD13M14,3.154040632483151,3.154040632483149
3HAD14M16,3.154040632483151,3.154040632483149
3HAD15M16,3.154040632483151,3.154040632483149
3HAD4M6,3.1540406324831567,3.1540406324831585
3HAD5M6,3.154040632483151,3.1540406324831505
3HAD6M8,3.1540406324831567,3.154040632483153
3HAD7M8,3.154040632483151,3.1540406324831505
3HAD8M10,3.1540406324831567,3.154040632483153
3HAD9M10,3.154040632483151,3.1540406324831505
3OAR100,0.0,0.0
3OAR10M11,0.0,0.0
3OAR10M12,3.1540406324831505,3.1540406324831487
3OAR11M12,3.1540406324831505,3.1540406324831487
3OAR120,0.0,0.0
3OAR12M13,0.0,0.0
3OAR12M14,3.1540406324831505,3.1540406324831487
3OAR13M14,3.1540406324831505,3.1540406324831487
3OAR140,0.0,0.0
3OAR14M15,0.0,0.0
3OAR14M16,3.1540406324831505,3.1540406324831487
3OAR15M16,3.1540406324831505,3.1540406324831487
3OAR160,0.0,0.0
3OAR180,0.0,0.0
3OAR40,0.0,0.0
3OAR4M5,0.0,0.0
3OAR4M6,3.1540406324831562,3.1540406324831527
3OAR5M6,3.1540406324831505,3.15404063248315
3OAR60,0.0,0.0
3OAR6M7,0.0,0.0
3OAR6M8,3.1540406324831562,3.1540406324831527
3OAR7M8,3.1540406324831505,3.15404063248315
3OAR80,0.0,0.0
3OAR8M10,3.1540406324831567,3.1540406324831523
3OAR8M9,0.0,0.0
3OAR9M10,3.1540406324831505,3.15404063248315
3OAS100,0.0,0.0
3OAS10M11,0.0,0.0
3OAS10M12,3.154040632483151,3.1540406324831483
3OAS11M12,3.154040632483151,3.1540406324831483
3OAS120,0.0,0.0
3OAS12M13,0.0,0.0
3OAS12M14,3.154040632483151,3.1540406324831496
3OAS13M14,3.154040632483151,3.1540406324831496
3OAS140,0.0,0.0
3OAS160,0.0,0.0
3OAS180,0.0,0.0
3OAS2M3,0.0,0.0
3OAS3M4,3.154040632483151,3.1540406324831483
3OAS4M3O6,3.1540406324831562,3.154040632483157
3OAS4M5,0.0,0.0
3OAS4M6,3.1540406324831562,3.1540406324831562
3OAS5M6,3.154040632483151,3.1540406324831483
3OAS60,0.0,0.0
3OAS6M7,0.0,0.0
3OAS6M8,3.1540406324831562,3.1540406324831562
3OAS7M8,3.154040632483151,3.154040632483149
3OAS80,0.0,0.0
3OAS8M10,3.154040632483151,3.1540406324831483
3OAS8M9,0.0,0.0
3OAS9M10,3.154040632483151,3.1540406324831483
4ABZt2,0.0,-2.511051130528705e-11
4HTHDR,0.0,-1.9954644315673772e-12
