,minimum,maximum
12PPDSDH,0.0,0.0
12PPDt,-999.9999999999999,0.0
23DHMPO,-999.9999999999999,999.9999999999999
26DAPLLATi,19.18717324431069,19.187173244289344
2AHBUTI,-999.9999999999999,1000.0
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,4.9010726118509185,4.901072611848338
2MEBCOADH,-4.901072611847568,-4.9010726118509185
3HAD100,4.9010726118711325,4.901072611847863
3HAD10M11,-3.0252117474441982e-27,-9.704558698549648e-12
3HAD10M12,4.901072611850922,4.901072611848876
3HAD11M12,4.901072611850922,4.90107261184903
3HAD120,4.901072611872247,4.901072611848982
3HAD12M13,0.0,-1.3729447007602935e-11
3HAD12M14,4.901072611850922,4.901072611848874
3HAD13M14,4.901072611850922,4.901072611849301
3HAD140,4.901072611869085,4.901072611849133
3HAD14M15,-3.086986232802787e-27,-1.3734215750281556e-11
3HAD14M16,4.901072611850923,4.901072611849515
3HAD15M16,4.901072611850924,4.901072611849864
3HAD160,4.901072611868526,4.901072611849825
3HAD180,4.90107261185094,4.901072611849834
3HAD40,4.901072611870651,4.901072611848234
3HAD4M5,6.259082698696058e-14,-1.3678534348736729e-11
3HAD4M6,4.901072611850916,4.901072611848855
3HAD5M6,4.901072611850919,4.901072611848706
3HAD60,4.901072611867306,4.9010726118484795
3HAD6M7,6.259082698696061e-14,-8.858802642730421e-12
3HAD6M8,4.901072611850918,4.901072611848856
3HAD7M8,4.90107261185092,4.901072611848707
3HAD80,4.901072611867308,4.90107261184848
3HAD8M10,4.901072611850921,4.901072611849311
3HAD8M9,6.259082698696063e-14,-1.217168046228567e-11
3HAD9M10,4.901072611850919,4.901072611848857
3MEBCOADH,-4.901072611847942,-4.9010726118509
3MOBDC2,0.0,-1.488921001568322e-11
3MOBS,-233.41381892203987,0.0
3MOPDC2,9.802145223701837,9.802145223699773
3OAR100,4.901072611868979,4.901072611848501
3OAR10M11,-4.172721799130692e-14,-8.858802642730426e-12
3OAR10M12,4.901072611850922,4.901072611848841
3OAR11M12,4.901072611850922,4.901072611848709
3OAR120,4.901072611864427,4.901072611848471
3OAR12M13,-4.172721799130694e-14,-8.858802642730424e-12
3OAR12M14,4.901072611850925,4.901072611848842
3OAR13M14,4.901072611850923,4.90107261184871
3OAR140,4.901072611864427,4.901072611848882
3OAR14M15,-2.1714517735377348e-14,-1.0995121940709543e-11
3OAR14M16,4.901072611850923,4.901072611849505
3OAR15M16,4.901072611850924,4.90107261184986
3OAR160,4.901072611868465,4.901072611849618
3OAR180,4.901072611850941,4.901072611849786
3OAR40,4.9010726118706085,4.9010726118481305
3OAR4M5,-4.1727217991306884e-14,-1.0589833044183277e-11
3OAR4M6,4.901072611850917,4.901072611848839
3OAR5M6,4.901072611850919,4.901072611848706
3OAR60,4.901072611864423,4.901072611848467
3OAR6M7,-4.172721799130689e-14,-8.858802642730421e-12
3OAR6M8,4.901072611850919,4.90107261184884
3OAR7M8,4.90107261185092,4.901072611848707
3OAR80,4.901072611864424,4.901072611848468
