,minimum,maximum
12PPDSDH,0.0,0.0
12PPDt,4.008584204746561e-11,0.0
23DHMPO,2.3632749572795413e-11,0.0
26DAPt2r,1.8322881166058451,663.3646588024338
2AHBUTI,0.0,-2.714257750175797e-11
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,6.240519408370212,6.240519408366451
2MEBCOADH,-6.240519408366363,-6.240519408370213
3HAD100,6.240519408370214,6.2405194083701705
3HAD10M12,6.240519408370223,6.240519408370191
3HAD11M12,6.240519408370214,6.240519408370183
3HAD120,6.240519408370214,6.240519408370169
3HAD12M14,6.240519408370214,6.2405194083701785
3HAD13M14,6.240519408370214,6.240519408370196
3HAD140,6.240519408370214,6.240519408370199
3HAD14M16,6.240519408370214,6.240519408370165
3HAD15M16,6.240519408370214,6.240519408370166
3HAD160,6.240519408370214,6.240519408370166
3HAD180,6.240519408370214,6.240519408370165
3HAD40,6.240519408370214,6.240519408370166
3HAD4M6,6.240519408370214,6.240519408370165
3HAD5M6,6.240519408370221,6.240519408370153
3HAD60,6.240519408370214,6.2405194083701865
3HAD6M8,6.240519408370214,6.2405194083701865
3HAD7M8,6.240519408370214,6.2405194083701865
3HAD80,6.240519408370214,6.2405194083701865
3HAD8M10,6.240519408370214,6.2405194083701865
3HAD9M10,6.240519408370214,6.2405194083701865
3MEBCOADH,-6.240519408370175,-6.240519408370221
3MOBDC2,0.0,0.0
3MOBS,0.0,0.0
3MOPDC2,12.481038816740439,12.481038816740357
3OAR100,6.240519408370214,6.240519408370186
3OAR10M11,0.0,0.0
3OAR10M12,6.240519408370214,6.240519408370186
3OAR11M12,6.240519408370214,6.240519408370186
3OAR120,6.240519408370214,6.240519408370186
3OAR12M13,0.0,0.0
3OAR12M14,6.240519408370214,6.240519408370186
3OAR13M14,6.240519408370214,6.240519408370186
3OAR140,6.240519408370214,6.240519408370186
3OAR14M15,0.0,0.0
3OAR14M16,6.240519408370214,6.240519408370186
3OAR15M16,6.240519408370214,6.240519408370186
3OAR160,6.240519408370214,6.240519408370186
3OAR180,6.240519408370214,6.240519408370186
3OAR40,6.240519408370214,6.240519408370186
3OAR4M5,0.0,0.0
3OAR4M6,6.240519408370214,6.240519408370186
3OAR5M6,6.24051940837022,6.240519408370202
3OAR60,6.240519408370214,6.240519408370186
3OAR6M7,0.0,0.0
3OAR6M8,6.240519408370214,6.240519408370186
3OAR7M8,6.24051940837022,6.240519408370202
3OAR80,6.240519408370214,6.240519408370186
3OAR8M10,6.240519408370214,6.240519408370186
3OAR8M9,0.0,0.0
3OAR9M10,6.240519408370214,6.240519408370186
3OAS100,6.240519408370213,6.240519408370186
3OAS10M11,0.0,0.0
3OAS10M12,6.240519408370213,6.240519408370168
3OAS11M12,6.240519408370213,6.240519408370168
3OAS120,6.240519408370213,6.240519408370168
3OAS12M13,0.0,0.0
3OAS12M14,6.240519408370213,6.240519408370168
3OAS13M14,6.240519408370213,6.240519408370168
3OAS140,6.240519408370213,6.240519408370168
3OAS160,6.240519408370213,6.240519408370167
3OAS180,6.240519408370213,6.240519408370167
3OAS2M3,0.0,0.0
3OAS3M4,6.24051940837022,6.240519408370173
3OAS4M3O6,6.240519408370213,6.240519408370167
3OAS4M5,0.0,0.0
3OAS4M6,6.240519408370213,6.240519408370188
3OAS5M6,6.240519408370219,6.240519408370191
3OAS60,6.240519408370213,6.240519408370186
3OAS6M7,0.0,0.0
3OAS6M8,6.240519408370213,6.240519408370161
3OAS7M8,6.240519408370213,6.240519408370162
3OAS80,6.240519408370213,6.240519408370159
3OAS8M10,6.240519408370213,6.240519408370161
3OAS8M9,0.0,0.0
3OAS9M10,6.240519408370213,6.240519408370188
4HPL,-0.22684739326655518,-0.22684739326655565
4HTHRS,0.0,0.0
4MOPDC2,0.0,0.0
5AIZCDC,0.0,-2.290655873821193e-11
5DGCLURI,0.0,0.0
5DOAN,0.0,-6.1087261415402286e-12
5MTHCYST,6.513949332713095e-12,0.0
6PHBG,0.0,0.0
6PHBG2,0.0,0.0
AB6PGH,0.0,-2.49085870670569e-11
AB6PGH2,0.0,-2.7119670355803898e-11
ABTOXy,0.0,0.0
ACACT1r,0.0,0.0
ACACT2r,0.0,0.0
ACACT3r,0.0,0.0
ACACT4r,0.0,0.0
ACACT5r,0.0,0.0
ACACT6r,0.0,0.0
