,minimum,maximum
12PPDSDH,0.0,0.0
12PPDt,-999.9999999999999,0.0
23DHMPO,-999.9999999999999,999.9999999999999
26DAPLLATi,19.260363211573896,19.26036321157223
2AHBUTI,-1000.0,1000.0
2HMCOXT,0.0,0.0
2INSD,0.0,0.0
2MBCOATA,4.919767879754364,4.919767879755048
2MEBCOADH,-4.919767879754705,-4.919767879754126
3HAD100,4.919767879753992,4.91976787975555
3HAD10M11,-1.1092643109884849e-13,6.836126526440146e-12
3HAD10M12,4.9197678797543665,4.91976787975561
3HAD11M12,4.919767879754378,4.919767879756428
3HAD120,4.919767879755354,4.919767879756588
3HAD12M13,-9.453786710763043e-29,6.011936467791652e-12
3HAD12M14,4.919767879754367,4.919767879755639
3HAD13M14,4.91976787975438,4.91976787975662
3HAD140,4.91976787974818,4.919767879756107
3HAD14M15,-9.453786710763046e-29,1.8909195384092305e-12
3HAD14M16,4.919767879754366,4.919767879755241
3HAD15M16,4.9197678797543825,4.919767879755134
3HAD160,4.919767879748979,4.919767879755282
3HAD180,4.919767879754368,4.919767879754966
3HAD40,4.919767879755607,4.919767879755823
3HAD4M5,-5.1214474926593273e-14,6.8413364790945586e-12
3HAD4M6,4.919767879754361,4.919767879755672
3HAD5M6,4.919767879754375,4.919767879755505
3HAD60,4.919767879753161,4.919767879756359
3HAD6M7,0.0,5.900686676588855e-12
3HAD6M8,4.919767879754363,4.919767879755311
3HAD7M8,4.919767879754378,4.919767879755508
3HAD80,4.919767879753162,4.919767879756452
3HAD8M10,4.919767879754366,4.9197678797555975
3HAD8M9,0.0,1.2552813890902731e-11
3HAD9M10,4.919767879754387,4.919767879755315
3MEBCOADH,-4.919767879754595,-4.9197678797543665
3MOBDC2,0.0,6.5712369621897e-12
3MOBS,-235.713570342774,0.0
3MOPDC2,9.839535759508735,9.839535759509927
3OAR100,4.919767879758429,4.919767879756446
3OAR10M11,0.0,7.445973442047519e-12
3OAR10M12,4.919767879754366,4.919767879755656
3OAR11M12,4.91976787975438,4.919767879756119
3OAR120,4.919767879761716,4.919767879756753
3OAR12M13,0.0,6.058606405085702e-12
3OAR12M14,4.9197678797543665,4.919767879755543
3OAR13M14,4.919767879754382,4.919767879756793
3OAR140,4.919767879761717,4.91976787975624
3OAR14M15,1.8487738516474747e-14,6.5847307269106325e-12
3OAR14M16,4.919767879754369,4.91976787975517
3OAR15M16,4.9197678797543825,4.919767879755115
3OAR160,4.919767879760605,4.919767879755169
3OAR180,4.919767879754368,4.919767879755321
3OAR40,4.919767879757858,4.919767879755435
3OAR4M5,0.0,7.450942643935243e-12
3OAR4M6,4.919767879754362,4.919767879755653
3OAR5M6,4.919767879754375,4.919767879756113
3OAR60,4.9197678797617135,4.91976787975675
3OAR6M7,0.0,6.0586064050856976e-12
3OAR6M8,4.919767879754363,4.91976787975554
3OAR7M8,4.919767879754378,4.919767879756787
3OAR80,4.919767879761714,4.919767879756612
3OAR8M10,4.9197678797543665,4.9197678797554705
3OAR8M9,0.0,1.2520028219624022e-11
